序号	动画名称	动画图片前缀	动画帧数	动画播放间隔	动画所在plist文件	缩放系数	UI音效ID	备注
1	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	待机
2	kong	kong	1	0.083	resource/image/effect/kong.plist	1	-1	行走
3	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	受击
4	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	胜利
5	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	死亡
6	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	闪避
7	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	格挡
8	action_chuchangyan_a	action_chuchangyan_a	6	0.083	resource/image/effect/action_chuchangyan_a.plist	1	-1	出场
9	skill_xuanyun_a	skill_xuanyun_a	14	0.083	resource/image/effect/skill_xuanyun_a.plist	2	-1	眩晕
10	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	瞬移
11	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	选人激活
12	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	选人待激活
13	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	选人离场
14	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	选人进场
15	skill_chongsheng_a	skill_chongsheng_a	19	0.083	resource/image/effect/skill_chongsheng_a.plist	2	-1	复活
16	skill_huiyao_a	skill_huiyao_a	17	0.083	resource/image/effect/skill_huiyao_a.plist	2	-1	辉耀
17	skill_kuangzhanshi_a	skill_kuangzhanshi_a	13	0.083	resource/image/effect/skill_kuangzhanshi_a.plist	2	-1	狂战士
18	skill_shanggufengyin_a	skill_shanggufengyin_a	12	0.083	resource/image/effect/skill_shanggufengyin_a.plist	2	-1	上古封印
19	skill_ziranzhixu_a	skill_ziranzhixu_a	12	0.083	resource/image/effect/skill_ziranzhixu_a.plist	2	-1	自然秩序
20	skill_shouliezhiye_a	skill_shouliezhiye_a	14	0.083	resource/image/effect/skill_shouliezhiye_a.plist	2	-1	狩猎之夜
21	skill_chihun_a	skill_chihun_a	12	0.083	resource/image/effect/skill_chihun_a.plist	2	-1	炽魂
22	skill_jinghua_a	skill_jinghua_a	9	0.083	resource/image/effect/skill_jinghua_a.plist	2	-1	净化
