震动ID	半周期时间MS	震动类型	振幅X	振幅Y	震动持续时间	注释
1	30	0	0.5	4	90	通用震屏
2	30	0	5	0	60	集中火力大受击
101	30	0	0.5	4	90	待机
102	30	0	0.5	4	90	行走
103	30	0	0.5	4	90	受击
104	30	0	0.5	4	90	胜利
105	30	0	0.5	4	90	死亡
106	30	0	0.5	4	90	闪避
107	30	0	0.5	4	90	格挡
108	30	0	0	-5	90	出场
109	30	0	0.5	4	90	眩晕
110	30	0	0.5	4	90	瞬移
111	30	0	0.5	4	90	选人激活
112	30	0	0.5	4	90	选人待激活
113	30	0	0.5	4	90	选人离场
114	30	0	0.5	4	90	选人进场
115	30	0	0.5	4	90	复活
116	30	0	0	-3	90	辉耀
117	30	0	0	-3	90	狂战士
118	30	0	2	-2	90	上古封印
119	30	0	2	0.5	90	自然秩序
120	30	0	0	-3	90	狩猎之夜
121	30	0	0	-3	90	炽魂
122	30	0	0.5	4	90	净化
123	30	0	0.5	4	90	幻影突袭
124	30	0	1.5	0	1800	集中火力
125	60	0	3	0	540	淘汰之刃
126	30	0	0.5	4	90	双刃剑
127	30	0	0.5	4	90	地震
128	30	0	0.5	4	420	火焰爆轰
129	30	0	0.5	4	90	雷霆之击
130	30	0	0.5	5	90	神灭斩
131	30	0	0.5	4	90	洪流
132	30	0	0.5	4	90	诅咒
133	30	0	0.5	4	90	静默诅咒
134	30	0	0.5	4	90	割裂
135	30	0	0.5	4	90	投掷
136	30	0	0.5	4	90	法力燃烧
137	30	0	0.5	4	90	决斗
138	30	0	0.5	4	90	肉钩
139	30	0	0.5	4	90	盛宴
140	30	0	0.5	4	90	法力毁损
141	30	0	0.5	4	90	吸血
142	30	0	0.5	4	90	怒意狂击
143	30	0	0.5	4	90	秘法天球
144	30	0	0.5	4	90	重击
145	30	0	0.5	4	90	暗杀
146	30	0	0.5	4	90	静电场
147	30	0	0.5	4	90	妖术
148	30	0	0.5	4	90	冰封魔印
149	30	0	0.5	4	90	守护天使
150	30	0	0.5	4	90	虚无
151	30	0	0.5	4	90	折射
152	30	0	0.5	4	90	反击螺旋
153	30	0	0.5	4	90	洗礼
154	30	0	0.5	4	90	刺针扫射
155	60	0	0.5	4	1080	真地震
156	60	0	0	3	960	受击-投掷
157	30	0	0.5	4	90	普通攻击·单手
158	30	0	0.5	4	90	普通攻击·双刀
159	30	0	0.5	4	90	普通攻击·棍棒
160	30	0	0.5	4	90	普通攻击·重武
161	30	0	0.5	4	90	普通攻击·弓箭
162	30	0	0.5	4	90	普通攻击·枪刺
163	30	0	0.5	4	90	普通攻击·空手
503	30	0	0.5	4	90	箭受击
