id	按钮名称	按钮音效
1	lobby/startgame	resource/media/button.mp3
2	result/back	resource/media/button.mp3
3	result/restart	resource/media/button.mp3
4	result/quit	resource/media/button.mp3
5	pause/resume	resource/media/button.mp3
6	pause/restart	resource/media/button.mp3
7	pause/quit	resource/media/button.mp3
8	login/startgame	resource/media/button.mp3
9	lobby/back	resource/media/button.mp3
10	lobby/help	resource/media/button.mp3
11	lobby/turnleft	resource/media/turn.mp3
12	lobby/turnright	resource/media/turn.mp3
13	arena/showgrid	resource/media/button.mp3
14	arena/speed	resource/media/button.mp3
15	arena/stop	resource/media/button.mp3
16	arena/pause	resource/media/button.mp3
17	bosslobby/back	resource/media/button.mp3
18	bosslobby/startgame	resource/media/button.mp3
19	result/next	resource/media/button.mp3
20	result/arrow	resource/media/button.mp3
21	bossresult/quitwin	resource/media/button.mp3
22	bossresult/share	resource/media/button.mp3
23	bossresult/scenelobby_back	resource/media/button.mp3
24	feed/right	resource/media/button.mp3
25	freeshop/Exchange01	resource/media/button.mp3
26	freeshop/Exchange02	resource/media/button.mp3
27	freeshop/Exchange03	resource/media/button.mp3
28	freeshop/Exchange04	resource/media/button.mp3
29	freeshop/domob	resource/media/button.mp3
30	freeshop/limei	resource/media/button.mp3
31	freeshop/tapjoy	resource/media/button.mp3
32	freeshop/back	resource/media/button.mp3
33	gateunlocked/goto	resource/media/button.mp3
34	gateunlocked/cancel	resource/media/button.mp3
35	guide/next	resource/media/button.mp3
36	guide/finish	resource/media/button.mp3
37	info/help	resource/media/button.mp3
38	info/monster	resource/media/button.mp3
39	info/solider	resource/media/button.mp3
40	info/back	resource/media/button.mp3
41	login/NormalMode	resource/media/button.mp3
42	login/BossMode	resource/media/button.mp3
43	login/ShowPet	resource/media/button.mp3
44	login/pengyou	resource/media/button.mp3
45	login/feedback	resource/media/button.mp3
46	login/systemsetting	resource/media/button.mp3
47	login/snsshare	resource/media/button.mp3
48	login/estimate	resource/media/button.mp3
49	login/help	resource/media/button.mp3
50	messagebox/ok	resource/media/button.mp3
51	messagebox/shop	resource/media/button.mp3
52	messagebox/cancel	resource/media/button.mp3
53	pause/music	resource/media/button.mp3
54	pause/effect	resource/media/button.mp3
55	petgrowup/ok	resource/media/button.mp3
56	petgrowup/cancel	resource/media/button.mp3
57	petreward/ok	resource/media/button.mp3
58	quitwin	resource/media/button.mp3
59	result/share	resource/media/button.mp3
60	result/scenelobby_back	resource/media/button.mp3
61	shop/buy1	resource/media/buy.mp3
62	shop/buy2	resource/media/buy.mp3
63	shop/buy3	resource/media/buy.mp3
64	shop/buy4	resource/media/buy.mp3
65	shop/buy5	resource/media/buy.mp3
66	shop/items01/buy	resource/media/buy.mp3
67	shop/items02/buy	resource/media/buy.mp3
68	shop/items03/buy	resource/media/buy.mp3
69	shop/items04/buy	resource/media/buy.mp3
70	shop/back	resource/media/button.mp3
71	shop/free	resource/media/button.mp3
72	syssetting/music	resource/media/button.mp3
73	syssetting/effect	resource/media/button.mp3
74	syssetting/sns	resource/media/button.mp3
75	syssetting/cancel	resource/media/button.mp3
76	pet/back	resource/media/button.mp3
77	pet/share	resource/media/button.mp3
78	pet/shop	resource/media/button.mp3
