id	音效id	音效触发时间	数量	效果1类型	效果1索引	效果1触发点	效果2类型	效果2索引	效果2触发点	效果3类型	效果3索引	效果3触发点	效果4类型	效果4索引	效果4触发点	效果5类型	效果5索引	效果5触发点	效果6类型	效果6索引	效果6触发点	注释
1	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	待机
2	6	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	行走
3	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	无声行走
4	10	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	受击
5	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	胜利
6	7	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	死亡
7	11	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	闪避
8	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	无声受击
9	9	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	格挡
10	8	0	5	1	10	500	1	501	500	-1	0	0	4	1	500	6	-1	0	-1	-1	-1	出场
13	12	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	眩晕
15	-1	0	5	1	15	0	1	-1	0	1	-1	0	4	110	0	6	-1	0	-1	-1	-1	瞬移
17	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	选人激活
18	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	选人待激活
19	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	选人离场
20	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	选人进场
22	13	0	5	1	22	0	1	531	0	1	84	0	4	-1	0	6	-1	0	-1	-1	-1	复活
45	14	0	5	1	45	0	1	-1	0	1	-1	0	4	116	600	6	-1	0	-1	-1	-1	辉耀
46	15	0	5	1	46	332	1	-1	0	1	-1	0	4	117	600	6	-1	0	-1	-1	-1	狂战士
47	16	0	5	1	47	249	1	-1	0	1	-1	0	4	118	600	6	-1	0	-1	-1	-1	上古封印
48	17	0	5	1	48	332	1	-1	0	1	-1	0	4	119	600	6	-1	0	-1	-1	-1	自然秩序
49	18	0	5	1	49	166	1	548	0	1	-1	0	4	120	600	6	-1	0	-1	-1	-1	狩猎之夜
50	19	0	5	1	50	0	1	-1	0	1	-1	0	4	-1	0	6	21	600	-1	-1	-1	炽魂
51	20	0	5	1	51	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	净化
52	21	0	5	1	52	166	1	-1	0	5	-1	0	4	123	1600	6	23	0	-1	-1	-1	幻影突袭
53	22	0	5	1	53	0	1	-1	0	1	-1	0	4	124	0	6	-1	0	-1	-1	-1	集中火力
54	23	0	5	1	54	0	1	561	1245	1	-1	0	4	125	1162	6	25	1328	-1	-1	-1	淘汰之刃
55	24	400	5	1	55	415	1	-1	0	1	-1	0	4	126	2100	6	26	0	-1	-1	-1	双刃剑
56	25	0	5	1	56	0	1	-1	0	1	-1	0	4	127	0	6	27	0	-1	-1	-1	地震
57	26	500	5	1	57	1411	1	-1	0	1	-1	0	4	128	1600	6	-1	0	-1	-1	-1	火焰爆轰
58	-1	0	5	1	58	0	1	-1	0	1	-1	0	4	129	0	6	-1	0	-1	-1	-1	雷霆之击
59	28	400	5	1	59	249	1	560	996	1	-1	0	4	130	1245	6	30	0	-1	-1	-1	神灭斩
60	29	0	5	1	60	0	1	-1	0	1	-1	0	4	131	0	6	-1	0	-1	-1	-1	洪流
61	30	0	5	1	61	243	1	-1	0	1	-1	0	4	132	0	6	-1	0	-1	-1	-1	诅咒
62	31	0	5	1	62	0	1	533	0	1	-1	0	4	133	0	6	-1	0	-1	-1	-1	静默诅咒
63	32	0	5	1	63	166	1	-1	0	1	-1	0	4	134	0	6	-1	0	-1	-1	-1	割裂
64	33	0	5	1	64	332	1	-1	0	1	-1	0	4	135	0	6	-1	0	-1	-1	-1	投掷
65	34	0	5	1	65	0	1	-1	0	1	-1	0	4	136	0	6	-1	0	-1	-1	-1	法力燃烧
66	35	0	5	1	66	249	1	-1	0	1	-1	0	4	137	0	6	-1	0	-1	-1	-1	决斗
67	36	0	5	1	67	0	1	-1	0	1	-1	0	4	138	0	6	-1	0	-1	-1	-1	肉钩
68	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	139	0	6	-1	0	-1	-1	-1	盛宴
69	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	140	0	6	-1	0	-1	-1	-1	法力毁损
70	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	141	0	6	-1	0	-1	-1	-1	吸血
71	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	142	0	6	-1	0	-1	-1	-1	怒意狂击
72	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	143	0	6	-1	0	-1	-1	-1	秘法天球
73	37	1000	5	1	73	0	1	-1	0	1	-1	0	4	144	0	6	-1	0	-1	-1	-1	重击
74	38	0	5	1	74	166	1	-1	0	1	-1	0	4	145	1328	6	-1	0	-1	-1	-1	暗杀
75	39	0	5	1	75	249	1	-1	0	1	-1	0	4	146	0	6	-1	0	-1	-1	-1	静电场
76	40	0	5	1	76	0	1	-1	0	1	-1	0	4	147	0	6	-1	0	-1	-1	-1	妖术
77	41	0	5	1	77	0	1	-1	0	1	-1	0	4	148	0	6	-1	0	-1	-1	-1	冰封魔印
78	42	0	5	1	78	0	1	-1	0	1	-1	0	4	149	0	6	-1	0	-1	-1	-1	守护天使
79	43	0	5	1	79	0	1	-1	0	1	-1	0	4	150	0	6	-1	0	-1	-1	-1	虚无
80	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	151	0	6	-1	0	-1	-1	-1	折射
81	44	0	5	1	81	498	1	-1	0	1	-1	0	4	152	0	6	-1	0	-1	-1	-1	反击螺旋
82	45	0	5	1	82	0	1	531	0	1	547	0	4	-1	0	6	-1	0	-1	-1	-1	洗礼
83	46	0	5	1	83	0	1	-1	0	1	-1	0	4	154	0	6	-1	0	-1	-1	-1	刺针扫射
84	68	800	5	1	507	747	1	550	747	1	-1	0	4	155	0	6	-1	0	-1	-1	-1	真地震
85	-1	0	5	1	-1	0	1	-1	0	1	-1	0	4	156	996	6	-1	0	-1	-1	-1	受击-投掷
86	47	0	5	1	86	415	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·单手
87	48	0	5	1	87	332	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·双刀
88	70	0	5	1	88	581	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·棍棒
89	50	0	5	1	89	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·重武
90	51	0	5	1	90	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·弓箭
91	52	0	5	1	91	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·刺击
92	47	0	5	1	92	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·空手
93	53	0	5	1	93	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·双拳
94	49	0	5	1	94	547	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·远程法术
95	52	0	5	1	95	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·标枪
96	48	300	5	1	96	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·双斧
97	53	0	5	1	97	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·空手双爪
98	70	0	5	1	98	581	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·单手钝器
99	48	0	5	1	99	830	1	556	415	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·盾击
100	53	0	5	1	100	0	1	-1	0	1	-1	0	4	-1	0	6	-1	0	-1	-1	-1	普通攻击·双爪连击
101	-1	0	2	1	562	200	1	520	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	羊掉下来
102	-1	0	5	1	58	0	1	-1	0	1	-1	0	4	129	0	6	25	800	-1	-1	-1	雷霆之击
103	-1	0	5	1	79	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	衰老
502	-1	0	1	1	502	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·刺击
503	-1	0	1	1	503	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·弓箭
508	-1	0	2	1	508	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	妖术羊
509	-1	0	1	1	509	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	浑耀受击
510	-1	0	1	1	510	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	肉钩受击
512	-1	0	1	1	512	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	重击受击
513	-1	0	1	1	513	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	暗杀受击
514	-1	0	1	1	514	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	火焰爆轰受击
515	-1	0	1	1	515	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·空手
516	-1	0	1	1	516	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·单手
