特效ID	播放类型(0 瞬发 1 持续)	特效层级	动画ID	特效挂点	X偏移	Y偏移	角度偏移	位置跟随	角度跟随	注释
1	0	11	-1	root	262	184	0	0	0	待机
2	0	11	2	root	-100	20	0	0	0	行走
4	0	11	-1	root	262	184	0	0	0	受击
5	0	11	-1	root	262	184	0	0	0	胜利
6	0	11	-1	root	262	184	0	0	0	死亡
7	0	11	-1	root	262	184	0	0	0	闪避
9	0	11	-1	root	262	184	0	0	0	格挡
10	0	11	8	root	262	184	0	0	0	出场
13	0	11	-1	root	262	184	0	0	0	眩晕
15	0	11	-1	root	262	184	0	0	0	瞬移
17	0	11	-1	root	262	184	0	0	0	选人激活
18	0	11	-1	root	262	184	0	0	0	选人待激活
19	0	11	-1	root	262	184	0	0	0	选人离场
20	0	11	-1	root	262	184	0	0	0	选人进场
22	0	12	15	root	262	184	0	0	0	复活
45	0	11	16	root	262	184	0	0	0	辉耀
46	0	11	17	root	262	184	0	0	0	狂战士
47	0	11	18	root	262	184	0	0	0	上古封印
48	0	11	19	root	262	184	0	0	0	自然秩序
49	0	11	20	root	262	184	0	0	0	狩猎之夜
50	0	11	21	root	262	184	0	0	0	炽魂
51	0	11	22	root	262	184	0	0	0	净化
52	0	11	23	root	-92	184	0	0	0	幻影突袭
53	0	11	24	root	262	184	0	0	0	集中火力
54	0	12	25	root	-92	184	0	0	0	淘汰之刃
55	0	11	26	root	-92	184	0	0	0	双刃剑
56	0	11	27	root	262	184	0	0	0	地震
57	0	11	28	root	292	184	0	0	0	火焰爆轰
58	0	11	29	root	262	184	0	0	0	雷霆之击
59	0	11	30	root	262	184	0	0	0	神灭斩
60	0	11	31	root	262	184	0	0	0	洪流
61	0	11	32	root	262	184	0	0	0	诅咒
62	0	11	33	root	262	184	0	0	0	静默诅咒
63	0	11	34	root	-92	184	0	0	0	割裂
64	0	11	35	root	-92	184	0	0	0	投掷
65	0	11	36	root	262	184	0	0	0	法力燃烧
66	0	5	37	root	262	184	0	0	0	决斗
67	0	11	38	root	262	184	0	0	0	肉钩
68	0	11	39	root	262	184	0	0	0	盛宴
69	0	11	40	root	262	184	0	0	0	法力毁损
70	0	11	41	root	262	184	0	0	0	吸血
71	0	11	42	root	262	184	0	0	0	怒意狂击
72	0	11	43	root	262	184	0	0	0	秘法天球
73	0	11	44	root	-92	184	0	0	0	重击
74	0	11	45	root	262	184	0	0	0	暗杀
75	0	11	46	root	262	184	0	0	0	静电场
76	0	11	47	root	262	184	0	0	0	妖术
77	0	11	48	root	262	184	0	0	0	冰封魔印
78	0	11	49	root	262	184	0	0	0	守护天使
79	0	11	50	root	262	184	0	0	0	虚无
80	0	11	51	root	262	184	0	0	0	折射
81	0	11	52	root	0	184	0	0	0	反击螺旋
82	0	11	53	root	262	184	0	0	0	洗礼
83	0	11	54	root	262	184	0	0	0	刺针扫射
84	0	5	55	root	262	184	0	0	0	重生b
85	0	7	56	root	262	184	0	0	0	受击-投掷
86	0	11	57	root	-92	184	0	0	0	普通攻击·单手
87	0	11	58	root	-92	184	0	0	0	普通攻击·双刀
88	0	11	59	root	-62	170	0	0	0	普通攻击·棍棒
89	0	11	60	root	-92	184	0	0	0	普通攻击·重武
90	0	11	61	root	262	184	0	0	0	普通攻击·弓箭
91	0	11	62	root	-92	184	0	0	0	普通攻击·刺击
92	0	11	63	root	-92	184	0	0	0	普通攻击·空手
93	0	11	-1	root	-92	184	0	0	0	普通攻击·双拳
94	0	11	65	root	262	184	0	0	0	普通攻击·法杖
95	0	11	-1	root	262	184	0	0	0	普通攻击·标枪
96	0	11	-1	root	-92	184	0	0	0	普通攻击·双斧
97	0	11	-1	root	-92	184	0	0	0	普通攻击·空手双爪
98	0	11	553	root	-92	184	0	0	0	普通攻击·单手钝器
99	0	11	555	root	-92	184	0	0	0	普通攻击·盾击
100	0	11	-1	root	-92	184	0	0	0	普通攻击·双爪连击
501	0	5	501	root	262	184	0	0	0	出场b
502	0	11	502	root	262	184	0	0	0	枪刺受击
503	0	11	503	root	262	184	0	0	0	弓箭受击
504	0	9	504	root	-92	184	0	0	0	淘汰之刃b
505	0	5	505	root	-92	184	0	0	0	投掷b
506	0	5	506	root	262	184	0	0	0	投掷受击b
507	0	9	507	root	262	184	0	0	0	真·地震
508	1	7	508	root	0	60	0	0	0	妖术羊
509	0	11	509	root	262	184	0	1	0	浑耀受击
510	0	11	510	root	262	184	0	0	0	肉钩受击
511	0	11	511	root	262	184	0	0	0	静电场受击
512	0	11	512	root	262	184	0	0	0	重击受击
513	0	11	-1	root	262	184	0	0	0	暗杀受击
514	0	11	514	root	262	184	0	0	0	火焰爆轰受击
515	0	11	528	root	262	184	0	0	0	空手受击
516	0	11	516	root	262	184	0	0	0	单手受击
517	0	11	517	root	262	184	0	0	0	双刀受击
518	0	11	518	root	262	184	0	0	0	棍棒受击
519	0	11	519	root	262	184	0	0	0	重武受击
520	0	7	520	root	400	300	0	0	0	妖术烟
521	0	5	521	root	262	184	0	0	0	静电场c
522	0	11	522	root	230	184	0	0	0	集中受击
523	1	5	523	root	262	184	0	0	0	冰封魔印e
524	1	11	524	root	262	184	0	1	0	诅咒b
525	1	11	525	root	262	184	0	1	0	上古封印b
526	1	5	526	root	262	184	0	1	0	虚无
527	1	11	527	root	262	184	0	1	0	自然秩序b
528	0	11	528	root	262	184	0	0	0	通用受击
529	0	11	529	root	262	184	0	0	0	雷霆之击
530	1	11	530	root	262	184	0	1	0	雷霆之击云
531	0	11	531	root	262	184	0	0	0	洗礼b
532	0	11	532	root	262	184	0	0	0	神灭斩受击
533	0	5	533	root	262	184	0	0	0	静默诅咒b
534	1	5	534	root	262	184	0	1	0	静默诅咒c
535	1	11	535	root	262	184	0	1	0	狂战士buff
536	1	11	536	root	262	184	0	1	0	狩猎之夜buff
537	1	11	537	root	262	184	0	1	0	洪流buff
538	1	11	538	root	262	184	0	1	0	割裂buff
539	1	5	539	root	262	184	0	0	0	决斗buff
540	1	11	540	root	262	184	0	1	0	眩晕buff
541	1	11	541	xiong	262	80	0	1	0	守护天使buff
542	0	12	542	root	262	184	0	0	0	割裂掉血
543	0	11	543	root	262	184	0	0	0	反击螺旋受击
