模块	步骤	蒙版透明度	高亮区开始X坐标	高亮区开始Y坐标	高亮区结束X坐标	高亮区结束Y坐标	点击任何区域就直接开始下一步操作	是否显示引导箭头	箭头类型	箭头指令	是否水平翻转箭头	引导箭头X坐标	引导箭头Y坐标	箭头目的X坐标	箭头目的Y坐标	引导箭头旋转角度	是否显示引导员图片	引导员X坐标	引导员Y坐标	是否显示引导文字背景	引导文字背景X坐标	引导文字背景Y坐标	引导文字ID	是否显示跳过按钮	跳过按钮X坐标	跳过按钮Y坐标	音效名称	下个模块ID（0结束）
1	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	496	1	15	70	0	-1
1	1	0	660	370	810	500	0	1	1	zzdaiji	0	660	430	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	2	0	125	510	350	635	0	1	1	zzdaiji	0	340	570	0	0	90	0	78	13	0	130	10	499	1	15	70	0	-1
1	3	0	825	200	970	260	0	1	1	zzdaiji	0	820	235	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	4	0	375	170	520	230	0	1	1	zzdaiji	0	380	200	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	5	0	255	490	330	565	0	1	2	zzdaiji	0	325	440	315	75	-180	0	720	398	0	230	220	0	1	15	70	0	-1
1	6	0	980	630	1035	690	0	1	1	zzdaiji	0	980	660	0	0	-135	0	720	398	0	230	220	0	1	15	70	0	-1
2	0	0	850	115	960	160	0	1	1	zzdaiji	0	900	160	0	0	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	1	0	920	490	1030	540	0	1	1	zzdaiji	1	960	480	210	390	-180	0	720	398	0	230	220	0	1	15	70	0	-1
2	2	0	980	30	1050	110	0	1	1	zzdaiji	0	1010	120	0	0	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	3	0	430	180	1030	430	0	1	1	zzdaiji	0	720	420	290	100	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	4	0	860	110	1010	180	0	1	1	zzdaiji	0	860	140	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
2	5	0	980	580	1050	650	0	1	1	zzdaiji	0	980	610	0	0	-135	0	720	398	0	230	220	0	1	15	70	0	-1
3	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	516	0	15	70	0	-1
4	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	517	0	15	70	0	-1
5	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	518	0	15	70	0	-1
6	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	520	0	15	70	0	-1
7	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	521	0	15	70	0	-1
8	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	519	0	15	70	0	-1
9	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	523	0	15	70	0	-1
10	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	820	260	0	0	0	1	88	243	1	140	240	524	0	15	70	0	-1
