模块	步骤	蒙版透明度	高亮区开始X坐标	高亮区开始Y坐标	高亮区结束X坐标	高亮区结束Y坐标	点击任何区域就直接开始下一步操作	是否显示引导箭头	箭头类型	箭头指令	是否水平翻转箭头	引导箭头X坐标	引导箭头Y坐标	箭头目的X坐标	箭头目的Y坐标	引导箭头旋转角度	是否显示引导员图片	引导员X坐标	引导员Y坐标	是否显示引导文字背景	引导文字背景X坐标	引导文字背景Y坐标	引导文字ID	是否显示跳过按钮	跳过按钮X坐标	跳过按钮Y坐标	音效名称	下个模块ID（0结束）
1	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	496	1	15	70	0	-1
1	1	0	620	420	785	560	0	1	1	zzdaiji	0	650	480	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	2	0	130	555	335	690	0	1	1	zzdaiji	0	330	630	0	0	90	0	78	13	0	130	10	499	1	15	70	0	-1
1	3	0	780	220	930	280	0	1	1	zzdaiji	0	780	250	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	4	0	360	190	490	260	0	1	1	zzdaiji	0	350	220	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	5	0	232	490	307	560	0	1	2	zzdaiji	0	300	480	290	100	-180	0	720	398	0	230	220	0	1	15	70	0	-1
1	6	0	945	655	1000	705	0	1	1	zzdaiji	0	960	670	0	0	-135	0	720	398	0	230	220	0	1	15	70	0	-1
2	0	0	810	130	910	180	0	1	1	zzdaiji	0	860	160	0	0	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	1	0	890	480	1000	540	0	1	1	zzdaiji	1	940	500	210	390	-180	0	720	398	0	230	220	0	1	15	70	0	-1
2	2	0	890	60	960	130	0	1	1	zzdaiji	0	920	120	0	0	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	3	0	380	230	980	480	0	1	1	zzdaiji	0	660	470	290	100	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	4	0	850	140	1000	210	0	1	1	zzdaiji	0	850	180	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
2	5	0	950	630	1010	700	0	1	1	zzdaiji	0	950	650	0	0	-135	0	720	398	0	230	220	0	1	15	70	0	-1
3	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	516	0	15	70	0	-1
4	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	517	0	15	70	0	-1
5	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	518	0	15	70	0	-1
6	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	520	0	15	70	0	-1
7	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	521	0	15	70	0	-1
8	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	519	0	15	70	0	-1
9	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	523	0	15	70	0	-1
10	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	810	280	0	0	0	1	78	263	1	130	260	524	0	15	70	0	-1
