模块	步骤	蒙版透明度	高亮区开始X坐标	高亮区开始Y坐标	高亮区结束X坐标	高亮区结束Y坐标	点击任何区域就直接开始下一步操作	是否显示引导箭头	箭头类型	箭头指令	是否水平翻转箭头	引导箭头X坐标	引导箭头Y坐标	箭头目的X坐标	箭头目的Y坐标	引导箭头旋转角度	是否显示引导员图片	引导员X坐标	引导员Y坐标	是否显示引导文字背景	引导文字背景X坐标	引导文字背景Y坐标	引导文字ID	是否显示跳过按钮	跳过按钮X坐标	跳过按钮Y坐标	音效名称	下个模块ID（0结束）
1	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	496	1	15	70	0	-1
1	1	0	680	355	835	495	0	1	1	zzdaiji	0	690	420	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	2	0	135	490	335	620	0	1	1	zzdaiji	0	330	560	0	0	90	0	78	13	0	130	10	499	1	15	70	0	-1
1	3	0	830	115	975	175	0	1	1	zzdaiji	0	840	140	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	4	0	400	120	540	190	0	1	1	zzdaiji	0	390	150	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	5	0	283	478	360	548	0	1	2	zzdaiji	0	355	440	350	50	-180	0	720	398	0	230	220	0	1	15	70	0	-1
1	6	0	1070	586	1140	635	0	1	1	zzdaiji	0	1080	600	0	0	-135	0	720	398	0	230	220	0	1	15	70	0	-1
2	0	0	910	110	1040	160	0	1	1	zzdaiji	0	960	160	0	0	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	1	0	930	420	1030	470	0	1	1	zzdaiji	1	1000	430	210	390	-180	0	720	398	0	230	220	0	1	15	70	0	-1
2	2	0	1050	10	1110	80	0	1	1	zzdaiji	0	1070	90	0	0	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	3	0	440	160	1040	410	0	1	1	zzdaiji	0	720	400	290	100	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	4	0	890	80	1040	150	0	1	1	zzdaiji	0	900	110	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
2	5	0	1010	560	1070	630	0	1	1	zzdaiji	0	1010	590	0	0	-135	0	720	398	0	230	220	0	1	15	70	0	-1
3	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	516	0	15	70	0	-1
4	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	517	0	15	70	0	-1
5	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	518	0	15	70	0	-1
6	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	520	0	15	70	0	-1
7	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	521	0	15	70	0	-1
8	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	519	0	15	70	0	-1
9	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	523	0	15	70	0	-1
10	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	190	524	0	15	70	0	-1
