NPCTalkID	地图ID	关卡ID	战前对话页数	对话1角色(0 玩家 1 NPC)	对话1内容	对话2角色(0 玩家 1 NPC)	对话2内容	对话3角色(0 玩家 1 NPC)	对话3内容	对话4角色(0 玩家 1 NPC)	对话4内容	对话5角色(0 玩家 1 NPC)	对话5内容	对话6角色(0 玩家 1 NPC)	对话6内容	胜利对话页数	对话1角色(0 玩家 1 NPC)	对话1内容	对话2角色(0 玩家 1 NPC)	对话2内容	对话3角色(0 玩家 1 NPC)	对话3内容	对话4角色(0 玩家 1 NPC)	对话4内容	对话5角色(0 玩家 1 NPC)	对话5内容	对话6角色(0 玩家 1 NPC)	对话6内容	失败对话页数	对话1角色(0 玩家 1 NPC)	对话1内容	对话2角色(0 玩家 1 NPC)	对话2内容	对话3角色(0 玩家 1 NPC)	对话3内容	对话4角色(0 玩家 1 NPC)	对话4内容	对话5角色(0 玩家 1 NPC)	对话5内容	对话6角色(0 玩家 1 NPC)	对话6内容
0	1	1	2	0	10001	1	10002	-1	-1	-1	-1	-1	-1	-1	-1	3	0	10003	1	10004	0	10005	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	1	5	1	1	10100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	10101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	1	10	1	1	10103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	10104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	2	1	3	0	10014	0	10015	0	10016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	2	5	2	0	10105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	10107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	2	10	2	0	10108	0	10109	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	2	15	2	0	10111	0	10112	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10113	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	3	1	2	1	10025	0	10026	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	3	5	2	0	10114	0	10115	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	3	10	2	0	10117	0	10118	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	10031	0	10032	-1	-1	-1	-1	-1	-1	-1	-1
10	3	15	2	1	10120	0	10121	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10122	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	4	1	1	0	10036	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
