iD	Type(0:plist 1:image)	name	path	note	是否完成
0	1	icon_equip_4_01.png	icon_equip_4_01.png		
1	1	icon_equip_4_02.png	icon_equip_4_02.png		
2	1	icon_equip_4_03.png	icon_equip_4_03.png		
3	1	icon_equip_4_04.png	icon_equip_4_04.png		
4	1	icon_equip_4_05.png	icon_equip_4_05.png		
5	1	icon_equip_4_06.png	icon_equip_4_06.png		
6	1	icon_equip_4_07.png	icon_equip_4_07.png		
7	1	icon_equip_4_08.png	icon_equip_4_08.png		
8	1	icon_equip_4_09.png	icon_equip_4_09.png		
9	1	icon_equip_4_10.png	icon_equip_4_10.png		
10	1	icon_equip_4_11.png	icon_equip_4_11.png		
11	1	icon_equip_4_12.png	icon_equip_4_12.png		
12	1	icon_equip_4_13.png	icon_equip_4_13.png		
13	1	icon_equip_4_14.png	icon_equip_4_14.png		
14	1	icon_equip_4_15.png	icon_equip_4_15.png		
15	1	icon_equip_4_16.png	icon_equip_4_16.png		
16	1	icon_hero_1_01.png	icon_hero_1_01.png		
17	1	icon_hero_2_01.png	icon_hero_2_01.png		
18	1	icon_hero_3_01.png	icon_hero_3_01.png		
19	1	skillicon1.png	skillicon1.png		
20	1	skillicon2.png	skillicon2.png		
21	1	skillicon3.png	skillicon3.png		
22	1	skillicon4.png	skillicon4.png		
23	1	skillicon5.png	skillicon5.png		
24	1	skillicon6.png	skillicon6.png		
25	1	skillicon7.png	skillicon7.png		
26	1	skillicon8.png	skillicon8.png		
27	1	skillicon9.png	skillicon9.png		
28	1	skillicon10.png	skillicon10.png		
29	1	skillicon11.png	skillicon11.png		
30	1	skillicon12.png	skillicon12.png		
31	1	skillicon13.png	skillicon13.png		
32	1	skillicon14.png	skillicon14.png		
33	1	skillicon15.png	skillicon15.png		
34	1	skillicon16.png	skillicon16.png		
35	1	skillicon17.png	skillicon17.png		
36	1	skillicon18.png	skillicon18.png		
37	1	skillicon19.png	skillicon19.png		
38	1	skillicon20.png	skillicon20.png		
39	1	skillicon21.png	skillicon21.png		
40	1	skillicon22.png	skillicon22.png		
41	1	skillicon23.png	skillicon23.png		
42	1	skillicon24.png	skillicon24.png		
43	1	skillicon25.png	skillicon25.png		
44	1	skillicon26.png	skillicon26.png		
45	1	skillicon27.png	skillicon27.png		
46	1	skillicon28.png	skillicon28.png		
47	1	skillicon29.png	skillicon29.png		
48	1	skillicon30.png	skillicon30.png		
49	1	skillicon31.png	skillicon31.png		
50	1	skillicon32.png	skillicon32.png		
51	1	skillicon33.png	skillicon33.png		
52	1	skillicon34.png	skillicon34.png		
53	1	skillicon35.png	skillicon35.png		
54	1	skillicon36.png	skillicon36.png		
55	1	skillicon37.png	skillicon37.png		
56	1	skillicon38.png	skillicon38.png		
57	1	skillicon39.png	skillicon39.png		
58	1	skillicon40.png	skillicon40.png		
59	1	anyemowang_touyxiang.png	anyemowang_touyxiang.png		
60	1	anyingemo_touxiang.png	anyingemo_touxiang.png		
61	1	chuanzhang_touxiang.png	chuanzhang_touxiang.png		
62	1	dijingsiliezhe_touxiang.png	dijingsiliezhe_touxiang.png		
63	1	fuwang_touxiang.png	fuwang_touxiang.png		
64	1	fuwang01_touxiang.png	fuwang01_touxiang.png		
65	1	kulouwang_touxiang.png	kulouwang_touxiang.png		
66	1	langren_touxiang.png	langren_touxiang.png		
67	1	longqishi_touxiang.png	longqishi_touxiang.png		
68	1	quannengqishi_touxiang.png	quannengqishi_touxiang.png		
69	1	xukongjiamian_touxiang.png	xukongjiamian_touxiang.png		
70	1	difa_touxiang.png	difa_touxiang.png		
71	1	bingnv_touxiang.png	bingnv_touxiang.png		
72	1	bingnv_touxiang.png	bingnv_touxiang.png		
73	1	pic_error.png	pic_error.png	【废弃】	
74	1	item_suo.png	item_suo.png	锁	
75	0	red_00.png	resource/image/artfont/art_numberival.plist	红色0	
76	0	red_01.png	resource/image/artfont/art_numberival.plist	红色1	
77	0	red_02.png	resource/image/artfont/art_numberival.plist	红色2	
78	0	red_03.png	resource/image/artfont/art_numberival.plist	红色3	
79	0	red_04.png	resource/image/artfont/art_numberival.plist	红色4	
80	0	red_05.png	resource/image/artfont/art_numberival.plist	红色5	
81	0	red_06.png	resource/image/artfont/art_numberival.plist	红色6	
82	0	red_07.png	resource/image/artfont/art_numberival.plist	红色7	
83	0	red_08.png	resource/image/artfont/art_numberival.plist	红色8	
84	0	red_09.png	resource/image/artfont/art_numberival.plist	红色9	
85	0	red_10.png	resource/image/artfont/art_numberival.plist	红色-	
86	0	red_11.png	resource/image/artfont/art_numberival.plist	红色+	
87	0	yellow_00.png	resource/image/artfont/art_numberival.plist	黄色0	
88	0	yellow_01.png	resource/image/artfont/art_numberival.plist	黄色1	
89	0	yellow_02.png	resource/image/artfont/art_numberival.plist	黄色2	
90	0	yellow_03.png	resource/image/artfont/art_numberival.plist	黄色3	
91	0	yellow_04.png	resource/image/artfont/art_numberival.plist	黄色4	
92	0	yellow_05.png	resource/image/artfont/art_numberival.plist	黄色5	
93	0	yellow_06.png	resource/image/artfont/art_numberival.plist	黄色6	
94	0	yellow_07.png	resource/image/artfont/art_numberival.plist	黄色7	
95	0	yellow_08.png	resource/image/artfont/art_numberival.plist	黄色8	
96	0	yellow_09.png	resource/image/artfont/art_numberival.plist	黄色9	
97	0	yellow_10.png	resource/image/artfont/art_numberival.plist	黄色-	
98	0	yellow_11.png	resource/image/artfont/art_numberival.plist	黄色+	
99	0	blue_00.png	resource/image/artfont/art_numberival.plist	蓝色0	
100	0	blue_01.png	resource/image/artfont/art_numberival.plist	蓝色1	
101	0	blue_02.png	resource/image/artfont/art_numberival.plist	蓝色2	
102	0	blue_03.png	resource/image/artfont/art_numberival.plist	蓝色3	
103	0	blue_04.png	resource/image/artfont/art_numberival.plist	蓝色4	
104	0	blue_05.png	resource/image/artfont/art_numberival.plist	蓝色5	
105	0	blue_06.png	resource/image/artfont/art_numberival.plist	蓝色6	
106	0	blue_07.png	resource/image/artfont/art_numberival.plist	蓝色7	
107	0	blue_08.png	resource/image/artfont/art_numberival.plist	蓝色8	
108	0	blue_09.png	resource/image/artfont/art_numberival.plist	蓝色9	
109	0	blue_10.png	resource/image/artfont/art_numberival.plist	蓝色-	
110	0	blue_11.png	resource/image/artfont/art_numberival.plist	蓝色+	
111	0	green_00.png	resource/image/artfont/art_numberival.plist	绿色0	
112	0	green_01.png	resource/image/artfont/art_numberival.plist	绿色1	
113	0	green_02.png	resource/image/artfont/art_numberival.plist	绿色2	
114	0	green_03.png	resource/image/artfont/art_numberival.plist	绿色3	
115	0	green_04.png	resource/image/artfont/art_numberival.plist	绿色4	
116	0	green_05.png	resource/image/artfont/art_numberival.plist	绿色5	
117	0	green_06.png	resource/image/artfont/art_numberival.plist	绿色6	
118	0	green_07.png	resource/image/artfont/art_numberival.plist	绿色7	
119	0	green_08.png	resource/image/artfont/art_numberival.plist	绿色8	
120	0	green_09.png	resource/image/artfont/art_numberival.plist	绿色9	
121	0	green_10.png	resource/image/artfont/art_numberival.plist	绿色-	
122	0	green_11.png	resource/image/artfont/art_numberival.plist	绿色+	
123	0	itemuse_00.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：0	
124	0	itemuse_01.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：1	
125	0	itemuse_02.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：2	
126	0	itemuse_03.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：3	
127	0	itemuse_04.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：4	
128	0	itemuse_05.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：5	
129	0	itemuse_06.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：6	
130	0	itemuse_07.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：7	
131	0	itemuse_08.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：8	
132	0	itemuse_09.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：9	
133	0	itemuse_10.png	resource/image/artfont/art_itemuse.plist	正常使用物品字库：+	
134	0	itemuse_cri_00.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：0	
135	0	itemuse_cri_01.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：1	
136	0	itemuse_cri_02.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：2	
137	0	itemuse_cri_03.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：3	
138	0	itemuse_cri_04.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：4	
139	0	itemuse_cri_05.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：5	
140	0	itemuse_cri_06.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：6	
141	0	itemuse_cri_07.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：7	
142	0	itemuse_cri_08.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：8	
143	0	itemuse_cri_09.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：9	
144	0	itemuse_cri_10.png	resource/image/artfont/art_itemuse.plist	物品暴击字库：+	
