ShapeId	展示缩放系数（*100）	骨骼文件	骨骼文件（非战斗过程）	贴图文件	特效骨骼文件(人前)	特效贴图文件	特效骨骼文件(人后)	特效贴图文件	动作表路径	特效ID	完成情况（备注，最后一列）	普攻类型	注释
1	80	resource/spine/bsbp1.json	resource/spine/bsbp1-wt.json	resource/spine/daxiaoshou01.atlas	resource/spine/tx-bsbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-bsbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	53	枭兽
11	80	resource/spine/bsbp1.json	resource/spine/bsbp1-wt.json	resource/spine/yuanguyeren03.atlas	resource/spine/tx-bsbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-bsbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	53	远古野人
21	80	resource/spine/bsbp.json	resource/spine/bsbp-wt.json	resource/spine/yanshikuilei02.atlas	resource/spine/tx-bsbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-bsbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	53	岩石傀儡
31	80	resource/spine/btbp.json	resource/spine/btbp-wt.json	resource/spine/cailangren05.atlas	resource/spine/tx-btbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-btbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	48	豺狼首领
201	80	resource/spine/btbp.json	resource/spine/btbp-wt.json	resource/spine/niutourenqiuzhang.atlas	resource/spine/tx-btbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-btbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	58	牛头人酋长
202	80	resource/spine/btbp.json	resource/spine/btbp-wt.json	resource/spine/niutourenqiuzhang02.atlas	resource/spine/tx-btbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-btbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	58	牛头人酋长2
211	100	resource/spine/btbp2.json	resource/spine/btbp2-wt.json	resource/spine/dijingsiliezhe01.atlas	resource/spine/tx-btbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-btbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	45	地精撕裂者1
212	100	resource/spine/btbp2.json	resource/spine/btbp2-wt.json	resource/spine/dijingsiliezhe02.atlas	resource/spine/tx-btbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-btbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	45	真地精撕裂者2
213	100	resource/spine/btbp2.json	resource/spine/btbp2-wt.json	resource/spine/dijingsiliezhe03.atlas	resource/spine/tx-btbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-btbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	45	真地精撕裂者3
221	100	resource/spine/nbbp.json	resource/spine/nbbp-wt.json	resource/spine/anyemowang01.atlas	resource/spine/tx-nbbp-a.json	resource/spine/tx-a.atlas	resource/spine/tx-nbbp-b.json	resource/spine/tx-b.atlas	resource/data/action_zhongzhuang.txt	-1	1	57	暗夜魔王1
