id	图片路径	关卡长条图	关卡小图	BOSS关卡小图	三星奖励小图	特效1	特效2	特效3	背景音乐ID	名字ID	备注
1	resource/image/scn/scn_dajiaotang.jpg	resource/image/sonmission/scene5.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2001	2002	-1	0	375	晴雪城
2	resource/image/scn/scn_chenshuizhihai.jpg	resource/image/sonmission/scene4.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2003	-1	-1	0	376	沉睡之海
3	resource/image/scn/scn_yingchenfeixu.jpg	resource/image/sonmission/scene10.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2032	-1	-1	0	377	银叶森林
4	resource/image/scn/scn_maiguzhidi.jpg	resource/image/sonmission/scene8.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2025	2026	-1	0	378	埋骨地
5	resource/image/scn/scn_qingxuecheng.jpg	resource/image/sonmission/scene7.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2035	-1	-1	0	379	戮尽之地
6	resource/image/scn/scn_tujinzhidi.jpg	resource/image/sonmission/scene9.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2031	-1	-1	0	380	龙冢
7	resource/image/scn/scn_yinyesenlin.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2027	-1	-1	0	381	大教堂
8	resource/image/scn/scn_lanxinbingchuan.jpg	resource/image/sonmission/scene2.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	-1	2012	-1	0	382	蓝心冰川
9	resource/image/scn/scn_longzhong.jpg	resource/image/sonmission/scene1.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2028	-1	-1	0	383	影承废墟
10	resource/image/scn/scn_zhuoshenshan.jpg	resource/image/sonmission/scene6.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2033	-1	-1	0	384	灼神山
11	resource/image/scn/scn_ziluolangaoyuan.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	-1	-1	-1	0	388	紫罗兰高原
12	resource/image/scn/scn_jididao.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2034	-1	-1	0	389	基迪岛
13	resource/image/scn/scn_lanxinbingchuan.jpg	resource/image/sonmission/scene2.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	-1	2012	-1	0	1206	尼西埃雪山
14	resource/image/scn/scn_chenshuizhihai.jpg	resource/image/sonmission/scene4.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2003	-1	-1	0	1207	黑暗之湖
15	resource/image/scn/scn_jididao.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2034	-1	-1	0	1208	荒狱丛林
30	resource/image/scn/scn_duikangditu.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2037	-1	-1	0	367	对抗地图
31	resource/image/scn/scn_yequ.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	-1	-1	-1	0	368	野区
32	resource/image/scn/scn_youhunta.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2036	-1	-1	0	369	幽魂塔
1001	resource/image/scn/scn_arena2.jpg	resource/image/sonmission/scene2.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	-1	-1	-1	0	385	角斗场
1002	resource/image/scn/scn_shilianzhita.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2029	-1	-1	0	386	试炼之塔
1003	resource/image/kuangdong/hunt_mining_bg.png	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	-1	-1	-1	0	389	矿洞战斗
1004	resource/image/scn/scn_boss.jpg	resource/image/sonmission/scene3.png	resource/image/newadventure/putongguanqia.png	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/sxjiangli.png	2038	-1	-1	0	1211	挑战boss
