id	层级	屏幕颜色(RGBA 以-分隔符)	淡入时间MS	持续时间MS	淡出时间MS	
1	7	0-0-0-255	200	700	200	待机
2	7	0-0-0-255	200	700	200	行走
3	7	0-0-0-255	200	700	200	受击
4	7	0-0-0-255	200	700	200	胜利
5	7	0-0-0-255	200	700	200	死亡
6	7	0-0-0-255	200	700	200	闪避
7	7	0-0-0-255	200	700	200	格挡
8	7	0-0-0-255	200	700	200	出场
9	7	0-0-0-255	200	700	200	眩晕
10	7	0-0-0-255	200	700	200	瞬移
11	7	0-0-0-255	200	700	200	选人激活
12	7	0-0-0-255	200	700	200	选人待激活
13	7	0-0-0-255	200	700	200	选人离场
14	7	0-0-0-255	200	700	200	选人进场
15	7	0-0-0-255	200	700	200	复活
16	7	0-0-0-255	200	700	200	辉耀
17	7	0-0-0-255	200	700	200	狂战士
18	7	0-0-0-255	200	700	200	上古封印
19	7	0-0-0-255	200	700	200	自然秩序
20	4	0-0-0-100	200	500000	200	狩猎之夜
21	7	255-50-50-150	100	100	100	炽魂
22	7	0-0-0-255	200	700	200	净化
23	4	0-0-0-255	200	700	200	幻影突袭
24	7	0-0-0-255	200	700	200	集中火力
25	4	0-0-0-255	100	100	100	淘汰之刃
26	4	0-0-0-255	300	1000	100	双刃剑
27	7	0-0-0-255	200	700	200	地震
28	7	0-0-0-255	200	700	200	火焰爆轰
29	7	0-0-0-255	200	700	200	雷霆之击
30	4	0-0-0-255	200	1245	500	神灭斩
31	7	0-0-0-255	200	700	200	洪流
32	7	0-0-0-255	200	700	200	诅咒
33	7	0-0-0-255	200	700	200	静默诅咒
34	7	0-0-0-255	200	700	200	割裂
35	7	0-0-0-255	200	700	200	投掷
36	7	0-0-0-255	200	700	200	法力燃烧
37	7	0-0-0-255	200	700	200	决斗
38	7	0-0-0-255	200	700	200	肉钩
39	7	0-0-0-255	200	700	200	盛宴
40	7	0-0-0-255	200	700	200	法力毁损
41	7	0-0-0-255	200	700	200	吸血
42	7	0-0-0-255	200	700	200	怒意狂击
43	7	0-0-0-255	200	700	200	秘法天球
44	7	0-0-0-255	200	700	200	重击
45	7	0-0-0-255	200	700	200	暗杀
46	7	0-0-0-255	200	700	200	静电场
47	7	0-0-0-255	200	700	200	妖术
48	7	0-0-0-255	200	700	200	冰封魔印
49	7	0-0-0-255	200	700	200	守护天使
50	7	0-0-0-255	200	700	200	虚无
51	7	0-0-0-255	200	700	200	折射
52	7	0-0-0-255	200	700	200	反击螺旋
53	7	255-255-255-150	200	700	200	洗礼
54	7	0-0-0-255	200	700	200	刺针扫射
55	7	0-0-0-255	200	700	200	重生
56	7	0-0-0-255	200	700	200	受击-投掷
57	7	0-0-0-255	200	700	200	普通攻击·单手
58	7	0-0-0-255	200	700	200	普通攻击·双刀
59	7	0-0-0-255	200	700	200	普通攻击·棍棒
60	7	0-0-0-255	200	700	200	普通攻击·重武
61	7	0-0-0-255	200	700	200	普通攻击·弓箭
62	7	0-0-0-255	200	700	200	普通攻击·枪刺
63	7	0-0-0-255	200	700	200	普通攻击·空手
