动作组ID	原地动作ID	"动作类型(0瞬发,1循环)"	移动过程动作ID	"动作类型(0瞬发,1循环)"	移动速度（像素/帧）	目标位置动作ID	"动作类型(0瞬发,1循环)"	返回过程动作ID	"动作类型(0瞬发,1循环)"	移动速度（像素/帧）	注释
1	45	0	-1	-1	-1	-1	-1	-1	-1	-1	辉耀
2	46	0	-1	-1	-1	-1	-1	-1	-1	-1	狂战士
3	47	0	-1	-1	-1	-1	-1	-1	-1	-1	上古封印
4	48	0	-1	-1	-1	-1	-1	-1	-1	-1	自然秩序
5	49	0	-1	-1	-1	-1	-1	-1	-1	-1	狩猎之夜
6	50	0	-1	-1	-1	-1	-1	-1	-1	-1	炽魂
7	51	0	-1	-1	-1	-1	-1	-1	-1	-1	净化
8	15	-1	-1	-1	-1	52	0	102	1	30	幻影突袭
9	53	0	-1	-1	-1	-1	-1	-1	-1	-1	集中火力
10	-1	-1	2	1	20	54	0	2	1	30	淘汰之刃
11	-1	-1	2	1	20	55	0	102	1	30	双刃剑
12	56	0	-1	-1	-1	-1	-1	-1	-1	-1	地震
13	57	0	-1	-1	-1	-1	-1	-1	-1	-1	火焰爆轰
14	58	0	-1	-1	-1	-1	-1	-1	-1	-1	雷霆之击
15	59	0	-1	-1	-1	-1	-1	-1	-1	-1	神灭斩
16	60	0	-1	-1	-1	-1	-1	-1	-1	-1	洪流
17	61	0	-1	-1	-1	-1	-1	-1	-1	-1	诅咒
18	62	0	-1	-1	-1	-1	-1	-1	-1	-1	静默诅咒
19	-1	-1	2	1	20	63	0	102	1	30	割裂
20	-1	-1	2	1	20	64	0	102	1	30	投掷
21	65	0	-1	-1	-1	-1	-1	-1	-1	-1	法力燃烧
22	66	0	-1	-1	-1	-1	-1	-1	-1	-1	决斗
23	67	0	-1	-1	-1	-1	-1	-1	-1	-1	肉钩
24	68	0	-1	-1	-1	-1	-1	-1	-1	-1	盛宴
25	69	0	-1	-1	-1	-1	-1	-1	-1	-1	法力毁损
26	70	0	-1	-1	-1	-1	-1	-1	-1	-1	吸血
27	71	0	-1	-1	-1	-1	-1	-1	-1	-1	怒意狂击
28	72	0	-1	-1	-1	-1	-1	-1	-1	-1	秘法天球
29	15	-1	-1	-1	-1	73	0	102	1	30	重击
30	74	0	-1	-1	-1	-1	-1	-1	-1	-1	暗杀
31	75	0	-1	-1	-1	-1	-1	-1	-1	-1	静电场
32	76	0	-1	-1	-1	-1	-1	-1	-1	-1	妖术
33	77	0	-1	-1	-1	-1	-1	-1	-1	-1	冰封魔印
34	78	0	-1	-1	-1	-1	-1	-1	-1	-1	守护天使
35	79	0	-1	-1	-1	-1	-1	-1	-1	-1	虚无
36	80	0	-1	-1	-1	-1	-1	-1	-1	-1	折射
37	81	0	-1	-1	-1	-1	-1	-1	-1	-1	反击螺旋
38	82	0	-1	-1	-1	-1	-1	-1	-1	-1	洗礼
39	83	0	-1	-1	-1	-1	-1	-1	-1	-1	刺针扫射
40	22	0	-1	-1	-1	-1	-1	-1	-1	-1	重生
41	81	0	-1	-1	-1	-1	-1	-1	-1	-1	真·反击螺旋
42	82	0	-1	-1	-1	-1	-1	-1	-1	-1	真·洗礼
43	83	0	-1	-1	-1	-1	-1	-1	-1	-1	真·针刺扫射
44	84	0	-1	-1	-1	-1	-1	-1	-1	-1	真·地震
45	-1	-1	2	1	20	92	0	102	1	30	普通攻击·空手
46	-1	-1	2	1	20	86	0	102	1	30	普通攻击·单手
47	-1	-1	2	1	20	87	0	102	1	30	普通攻击·双刀
48	-1	-1	2	1	20	88	0	102	1	30	普通攻击·棍棒
49	-1	-1	2	1	20	89	0	102	1	30	普通攻击·重武
50	90	0	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·弓箭
51	-1	-1	2	1	20	91	0	102	1	30	普通攻击·刺击
52	-1	-1	-1	-1	-1	81	0	102	1	30	肉钩反击
53	-1	-1	2	1	20	93	0	102	1	30	普通攻击·双拳
54	94	0	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·法杖
55	95	0	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·标枪
56	-1	-1	2	1	20	96	0	102	1	30	普通攻击·双斧
57	-1	-1	2	1	20	97	0	102	1	30	普通攻击·空手双爪
58	-1	-1	2	1	20	98	0	102	1	30	普通攻击·单手钝器
59	-1	-1	2	1	20	99	0	102	1	30	普通攻击·盾击
60	-1	-1	2	1	20	100	0	102	1	30	普通攻击·双爪连击
61	105	0	-1	-1	-1	-1	-1	-1	-1	-1	战魂起手式
62	106	0	-1	-1	-1	-1	-1	-1	-1	-1	真·能量黑洞
63	107	0	-1	-1	-1	-1	-1	-1	-1	-1	【战魂技能】最后遗言
64	108	0	-1	-1	-1	-1	-1	-1	-1	-1	【战魂技能】苍穹雷击
65	109	0	-1	-1	-1	-1	-1	-1	-1	-1	【战魂技能】衰老
66	110	0	-1	-1	-1	-1	-1	-1	-1	-1	战魂起手式
