特效ID	"特效层级
背景ZOrder     1
场景特效ZOrder 2
战斗UI标签ZOrder      3 or 4
技能面板 以及 加速 重播 退出 按钮 层级  15
攻击者层级ZOrder      10
受击者层级ZOrder      6"	播放方式(0 瞬发 1 持续)	音效触发时间点	触发音效ID(-1无音效)	"特效挂点
0－效果作用者
1－对方
2－屏幕底部中心点"	X偏移FLOAT	Y偏移FLOAT	是否伴随（0 不伴随 1 伴随）	Role效果触发时间点	Role颜色变化ID	动画ID	震动触发时间点MS	震动ID	注释	是否场景特效
1	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	待机	
2	11	0	0	-1	0	-100	20	0	0	-1	2	0	-1	行走	
3	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	受击	
4	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	胜利	
5	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	死亡	
6	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	闪避	
7	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	格挡	
8	11	0	0	-1	0	262	184	0	0	-1	8	0	-1	出场	
9	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	眩晕	
10	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	瞬移	
11	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	选人激活	
12	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	选人待激活	
13	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	选人离场	
14	11	0	0	-1	0	262	184	0	0	-1	-1	0	-1	选人进场	
15	12	0	0	-1	0	262	184	0	0	-1	15	0	-1	复活	
16	11	0	0	-1	0	262	184	0	0	-1	16	0	-1	辉耀	
17	11	0	0	-1	0	262	184	0	0	-1	17	0	-1	狂战士	
18	11	0	0	-1	0	262	184	0	0	-1	18	0	-1	上古封印	
19	11	0	0	-1	0	262	184	0	0	-1	19	0	-1	自然秩序	
20	11	0	0	-1	0	262	184	0	0	-1	20	0	-1	狩猎之夜	
21	11	0	0	-1	0	262	184	0	0	-1	21	0	-1	炽魂	
22	11	0	0	-1	0	262	184	0	0	-1	22	0	-1	净化	
23	11	0	0	-1	0	-92	184	0	0	-1	23	0	-1	幻影突袭	
24	11	0	0	-1	0	262	184	0	0	-1	24	0	-1	集中火力	
25	12	0	0	-1	0	-92	184	0	0	-1	25	0	-1	淘汰之刃	
26	11	0	0	-1	0	-92	184	0	0	-1	26	0	-1	双刃剑	
27	11	0	0	-1	0	262	184	0	0	-1	27	0	-1	地震	
28	11	0	0	-1	0	262	184	0	0	-1	28	0	-1	火焰爆轰	
29	11	0	0	-1	0	262	184	0	0	-1	29	0	-1	雷霆之击	
30	11	0	0	-1	0	262	184	0	0	-1	30	0	-1	神灭斩	
31	11	0	0	-1	0	262	184	0	0	-1	31	0	-1	洪流	
32	11	0	0	-1	0	262	184	0	0	-1	32	0	-1	诅咒	
33	11	0	0	-1	0	262	184	0	0	-1	33	0	-1	静默诅咒	
34	11	0	0	-1	0	-92	184	0	0	-1	34	0	-1	割裂	
35	11	0	0	-1	0	-92	184	0	0	-1	35	0	-1	投掷	
36	11	0	0	-1	0	262	184	0	0	-1	36	0	-1	法力燃烧	
37	11	0	0	-1	0	262	184	0	0	-1	37	0	-1	决斗	
38	11	0	0	-1	0	262	184	0	0	-1	38	0	-1	肉钩	
39	11	0	0	-1	0	262	184	0	0	-1	39	0	-1	盛宴	
40	11	0	0	-1	0	262	184	0	0	-1	40	0	-1	法力毁损	
41	11	0	0	-1	0	262	184	0	0	-1	41	0	-1	吸血	
42	11	0	0	-1	0	262	184	0	0	-1	42	0	-1	怒意狂击	
43	11	0	0	-1	0	262	184	0	0	-1	43	0	-1	秘法天球	
44	11	0	0	-1	0	-92	184	0	0	-1	44	0	-1	重击	
45	11	0	0	-1	0	262	184	0	0	-1	45	0	-1	暗杀	
46	11	0	0	-1	0	262	184	0	0	-1	46	0	-1	静电场	
47	11	0	0	-1	0	262	184	0	0	-1	47	0	-1	妖术	
48	11	0	0	-1	0	262	184	0	0	-1	48	0	-1	冰封魔印	
49	11	0	0	-1	0	262	184	0	0	-1	49	0	-1	守护天使	
50	11	0	0	-1	0	262	184	0	0	-1	50	0	-1	虚无	
51	11	0	0	-1	0	262	184	0	0	-1	51	0	-1	折射	
52	11	0	0	-1	0	262	184	0	0	-1	52	0	-1	反击螺旋	
53	11	0	0	-1	0	262	184	0	0	-1	53	0	-1	洗礼	
54	11	0	0	-1	0	262	184	0	0	-1	54	0	-1	刺针扫射	
55	5	0	0	-1	0	262	184	0	0	-1	55	0	-1	重生b	
56	7	0	0	-1	0	262	184	0	0	-1	56	0	-1	受击-投掷	
57	11	0	0	-1	0	-92	184	0	0	-1	57	0	-1	普通攻击·单手	
58	11	0	0	-1	0	-92	184	0	0	-1	58	0	-1	普通攻击·双刀	
59	11	0	0	-1	0	-92	184	0	0	-1	59	0	-1	普通攻击·棍棒	
60	11	0	0	-1	0	-92	184	0	0	-1	60	0	-1	普通攻击·重武	
61	11	0	0	-1	0	262	184	0	0	-1	61	0	-1	普通攻击·弓箭	
