技能ID	技能名称SYSID	技能图标	技能动画组ID	tooltips：发动时机	tooltips：伤害	tooltips：效果描述	tooltips：持续时间	tooltips：发动限制	tooltips：专精效果	客户端显示位置X	客户端显示位置Y	受击动作时间点	受击特效时间点	给自己驻留的BufferID	
1	300	19	1	0	0	0	0	0	0	10	1	0	0	-1	辉耀
2	301	20	2	0	0	0	0	0	0	2	1	0	0	-1	狂战士
3	302	21	3	0	0	0	0	0	0	5	3	600	600	-1	上古封印
4	303	22	4	0	0	0	0	0	0	4	2	600	600	-1	自然秩序
5	304	23	5	0	0	0	0	0	0	9	1	0	0	-1	狩猎之夜
6	305	24	6	0	0	0	0	0	0	8	3	0	0	-1	炽魂
7	306	25	7	0	0	0	0	0	0	6	2	500	500	-1	净化
8	307	26	8	0	0	0	0	0	0	9	4	1760	1760	-1	幻影突袭
9	308	27	9	0	0	0	0	0	0	9	3	533	580	-1	集中火力
10	309	28	10	0	0	0	0	0	0	2	4	2075	2075	-1	淘汰之刃
11	310	29	11	0	0	0	0	0	0	1	1	1728	1728	-1	双刃剑
12	311	30	12	0	0	0	0	0	0	3	4	767	767	-1	地震
13	312	31	13	0	0	0	0	0	0	3	1	1800	1800	-1	火焰爆轰
14	313	32	14	0	0	0	0	0	0	3	2	800	800	-1	雷霆之击
15	314	33	15	0	0	0	0	0	0	8	1	1245	1245	-1	神灭斩
16	315	34	16	0	0	0	0	0	0	3	3	2400	2400	-1	洪流
17	316	35	17	0	0	0	0	0	0	4	1	600	600	-1	诅咒
18	317	36	18	0	0	0	0	0	0	5	4	600	600	-1	静默诅咒
19	318	37	19	0	0	0	0	0	0	1	2	1787	1787	-1	割裂
20	319	38	20	0	0	0	0	0	0	10	3	600	2350	-1	投掷
21	320	39	21	0	0	0	0	0	0	5	1	600	600	-1	法力燃烧
22	321	40	22	0	0	0	0	0	0	10	4	996	996	-1	决斗
23	322	41	23	0	0	0	0	0	0	1	3	1167	1167	-1	肉钩
24	323	42	24	0	0	0	0	0	0	1	4	0	0	-1	盛宴
25	324	43	25	0	0	0	0	0	0	5	2	0	0	-1	法力毁损
26	325	44	26	0	0	0	0	0	0	2	2	0	0	-1	吸血
27	326	45	27	0	0	0	0	0	0	2	3	0	0	-1	怒意狂击
28	327	46	28	0	0	0	0	0	0	8	4	0	0	-1	秘法天球
