id	soundType	soundID	循环播放(0瞬时 1 循环)	文件路径	背景音量(0-10)	注释	是否完成
0	1	0	1	resource/media/fight.mp3	-1	战斗音乐	1
1	1	1	1	resource/media/beijing.mp3	8	背景音乐	1
2	1	2	1	resource/media/pata.mp3	-1	爬塔音乐	1
3	1	3	1	resource/media/denglu.mp3	-1	登陆音乐	1
4	2	4	0	resource/media/win.mp3	-1	胜利音乐	1
5	2	5	0	resource/media/lose.mp3	-1	失败音乐	1
6	2	6	0	resource/media/xingzou.wav	-1	行走	1
7	2	7	0	resource/media/siwang.wav	-1	死亡	1
8	2	8	0	resource/media/chuchang.wav	-1	出场	1
9	2	9	0	resource/media/gedang.mp3	-1	格挡	1
10	2	10	0	resource/media/shouji.mp3	-1	受击	1
11	2	11	0	resource/media/shanbi.mp3	-1	闪避	1
12	2	12	0	resource/media/xuanyun.mp3	-1	眩晕	1
13	2	13	0	resource/media/skill_fuhuo.mp3	-1	复活	1
14	2	14	0	resource/media/skill_huiyao.wav	-1	辉耀	1
15	2	15	0	resource/media/skill_kuangzhan.mp3	-1	狂战士	1
16	2	16	0	resource/media/skill_fengyin.mp3	-1	上古封印	1
17	2	17	0	resource/media/skill_zhixu.wav	-1	自然秩序	1
18	2	18	0	resource/media/skill_shoulie.wav	-1	狩猎之夜	1
19	2	19	0	resource/media/skill_chihun.mp3	-1	炽魂	1
20	2	20	0	resource/media/skill_jinghua.mp3	-1	净化	1
21	2	21	0	resource/media/skill_tuxi.wav	-1	幻影突袭	1
22	2	22	0	resource/media/skill_jizhong.mp3	-1	集中火力	1
23	2	23	0	resource/media/skill_taotai.wav	-1	淘汰之刃	1
24	2	24	0	resource/media/skill_shuangjian.wav	-1	双刃剑	1
25	2	25	0	resource/media/skill_dizhen_a.mp3	-1	地震	1
26	2	26	0	resource/media/skill_huoyan.wav	-1	火焰爆轰	1
27	2	27	0	resource/media/skill_leiting.mp3	-1	雷霆之击	1
28	2	28	0	resource/media/skill_shenzhan.wav	-1	神灭斩	1
29	2	29	0	resource/media/skill_hongliu.mp3	-1	洪流	1
30	2	30	0	resource/media/skill_zuzhou.mp3	-1	诅咒	1
31	2	31	0	resource/media/skill_jingmo.mp3	-1	静默诅咒	1
32	2	32	0	resource/media/skill_gelie.mp3	-1	割裂	1
33	2	33	0	resource/media/skill_touzhi.wav	-1	投掷	1
34	2	34	0	resource/media/skill_ranshao.wav	-1	法力燃烧	1
35	2	35	0	resource/media/skill_juedou.mp3	-1	决斗	1
36	2	36	0	resource/media/skill_rougou.mp3	-1	肉钩	1
37	2	37	0	resource/media/skill_zhongji.mp3	-1	重击	1
38	2	38	0	resource/media/skill_ansha.mp3	-1	暗杀	1
39	2	39	0	resource/media/skill_jingdian.wav	-1	静电场	1
40	2	40	0	resource/media/skill_yaoshu.mp3	-1	妖术	1
41	2	41	0	resource/media/skill_bingfeng.wav	-1	冰封魔印	1
42	2	42	0	resource/media/skill_shouhu.mp3	-1	守护天使	1
43	2	43	0	resource/media/skill_xuwu.mp3	-1	虚无	1
44	2	44	0	resource/media/skill_fanji.mp3	-1	反击螺旋	1
45	2	45	0	resource/media/skill_xili.wav	-1	洗礼	1
46	2	46	0	resource/media/skill_cizhen.wav	-1	刺针扫射	1
47	2	47	0	resource/media/skill_danshou.mp3	-1	普通攻击·单手	1
48	2	48	0	resource/media/skill_shuangdao.mp3	-1	普通攻击·双刀	1
49	2	49	0	resource/media/skill_fashu.mp3	-1	普通攻击·远程法术	1
50	2	50	0	resource/media/skill_zhongwu.wav	-1	普通攻击·重武	1
51	2	51	0	resource/media/skill_gongjian.mp3	-1	普通攻击·弓箭	1
52	2	52	0	resource/media/skill_ciji.mp3	-1	普通攻击·枪刺	1
53	2	53	0	resource/media/skill_kongshou.mp3	-1	普通攻击·空手	1
54	2	54	0	resource/media/common_click.wav	-1	通用界面开启	1
55	2	55	0	resource/media/common_colse.mp3	-1	通用界面关闭	1
56	2	56	0	resource/media/common_open.mp3	5	通用点击	1
57	2	57	0	resource/media/mainscn_tower.mp3	-1	点击爬塔	1
58	2	58	0	resource/media/menu_open.mp3	-1	菜单展开	1
59	2	59	0	resource/media/menu_colse.mp3	-1	菜单缩起	1
60	2	60	0	resource/media/msg_complete.mp3	-1	操作成功提示对话框	1
61	2	61	0	resource/media/msg_error.wav	-1	操作错误提示对话框	1
62	2	62	0	resource/media/msg_inform.wav	-1	提示对话框	1
63	2	63	0	resource/media/msg_warning.wav	-1	警告对话框	1
64	2	64	0	resource/media/hero_get.wav	-1	英雄召唤音效	1
65	2	65	0	resource/media/hero_up.wav	-1	英雄升级动画音效	1
66	2	66	0	resource/media/equip_up_a.wav	-1	装备升级动画音效a	1
67	2	67	0	resource/media/level_up.wav	-1	人物升级动画音效	1
68	2	68	0	resource/media/skill_dizhen_b.wav	-1	地震	1
69	2	69	0	resource/media/equip_xilian.mp3	-1	装备洗炼动画音效	1
70	2	70	0	resource/media/skill_dandao.wav	-1	单手钝器	1
71	2	71	0	resource/media/skill_zuzhou_b.wav	-1	诅咒爆	1
72	2	72	0	resource/media/equip_up_b.wav	-1	装备升级动画音效b	1
73	2	73	0	resource/media/dianjin.wav	-1	点金	1
