langId	Text-cn
1	尚未登录
2	登录成功
3	注册成功
4	绑定账号成功
5	绑定账号失败
6	装备等级不能高于当前人物等级的2倍
7	英雄等级不能高于当前人物等级
8	游客
9	其它错误
10	验证服务器异常
11	91用户
12	非游客账号，无需绑定
13	该账号下已经有角色
14	尊敬的用户，您的登陆已失效，请重新登录!
15	网络拥堵，请稍后再试
16	矿    洞
17	姓名不能为空
18	正在连接服务器，请稍等
19	背包
20	限时活动
21	登录公告
22	已守卫%d场，剩%d场机会
23	%d人参与
24	进度%d/%d
25	%d级开启
26	通关有几率获得
27	重置进度
28	开始闯关
29	继续闯关
30	消耗1场机会
31	秘宝商店
32	移除队员
33	查看资料
34	雇佣佣兵
35	召唤苦工
36	开始挑战
37	解散队伍
38	创建队伍
39	离开队伍
40	加入
41	战力: %d
42	恭喜您，购买【%s】成功
43	购买【%s】失败，请稍后再试
44	开始购买验证，请等待…
45	系统错误，购买【%s】失败
46	购买中，请等待
47	尚未同步商品信息，请稍后购买
48	铜质宝箱
49	银质宝箱
50	金质宝箱
51	免费
52	需要VIP%d
53	活动时间
54	活动介绍
55	<a type="text" fontsize="18" fontname="ArialRoundedMTBold" fontcolor="{255,255,255}" text="[活动截止倒计时]"></a>   %d天%d小时%d分钟
56	需要花费%d钻石才能领取宝箱，是否领取？
57	%d秒后默认领取铜质宝箱
58	无进度
59	购买成功
60	稍后重试
61	该订单已经加过钱了
62	订单无效
63	金矿采集
64	苦 工
65	地精矿区
66	矮人矿区
67	巨龙矿区
68	采集时间 %d小时
69	金币产量 %d
70	每%d分钟增加一次寻宝机会
71	剩余%d/%d次
72	进入
73	寻 宝
74	寻宝时可以遇到宝箱、宝藏猎人和其他寻宝的玩家。<br><a type="text" fontsize="22" fontname="ArialRoundedMTBold" fontcolor="{169,217,89}" text="掠夺宝藏猎人可获得装备、能量石和战魂道具"></a>
75	已装备
76	装备名字
77	等级
78	类型
79	攻击
80	随机属性
81	宝石信息
82	说明文字
83	升级
84	洗练出的属性的最大值取决于装备的等级
85	洗练费用
86	洗练
87	英雄列表
88	装备列表
89	物品列表
90	攻击
91	攻速
92	命中
93	闪避
94	破甲
95	护甲
96	暴击
97	韧性
98	玩家信息
99	出战英雄
100	英雄技能
101	力量
102	敏捷
103	智力
104	点力量增加1%HP
105	点敏捷增加1%速度
106	点智力增加1%MP
107	每升一级
108	触发概率
109	（
110	）
111	升级
112	强化
113	强化据说这里有两行字，但我还不知道是什么字！
114	新的技能
115	新的专精
116	剩余挑战次数
117	冒险
118	全部扫荡
119	扫荡5次
120	扫荡20次
121	扫荡次数:%d/%d
122	次战斗
123	金币
124	经验
125	英雄经验
126	扫荡
127	你的挑战次数用尽了
128	你的体力不足
129	背包或装备栏空间不足
130	调整技能
131	更换装备
132	无体力消耗
133	%d
134	%d/%d
135	消耗%d点体力
136	名字在2个字母到6个汉字之间！
137	背包空间不足，去出售一些物品吧！
138	装备栏空间不足，去强化下装备吧！
139	【英雄背包】空间不足，去强化下英雄吧！
140	低级野区有几率获得2倍收益
141	高级野区必定能获得2倍收益，有几率获得4倍收益
142	试试运气
143	低级野区
144	高级野区
145	冷却时间:%s
146	冒险奖励:
147	有几率获得:
148	输入的字符过长，请重新输入。
150	前面占位
151	这是一位帅气的英雄。
152	这是一位超级无敌猥琐的英雄。
153	这是一位阿斯利康大家哈盛开的的英雄。
154	这是一位哦饿哦诶与的英雄。
155	黑夜给我了黑色眼睛，我却长成了熊猫。
156	私聊
157	查看资料
158	添加好友
159	对
160	我
161	说
162	我对%s说
163	%s对我说
164	你确定要删除你的好友吗？
165	%d/%d
166	已领取星星奖励
167	世界
168	私聊
169	发送
170	普通
171	精英
172	挑战
173	扫荡
174	领取
175	三星奖励
176	【世界】
177	【私聊】
178	【系统】
180	前面占位。
181	物品合成
182	撼地神牛：生命值高，力量反击型英雄。
183	敌法师：攻速高，敏捷速度型英雄。
184	水晶室女：擅长法术攻击，智力爆发型英雄。
185	全部
186	～
187	提升战力
188	物品合成
189	使用等级：
190	出售价格：
191	出售
192	使用
193	召唤祭坛
194	城    门
195	神    庙
196	神秘商人
197	角 斗 场
198	远古遗迹
199	试 炼 塔
200	(每升一级
201	)
202	点力量增加1%HP
203	点敏捷增加1%速度
204	点智力增加1%MP
205	属性
206	触发概率
207	攻击
208	屠魔
209	装备
210	HP
211	MP
212	我的好友
213	申请列表
214	推荐好友
215	查找
216	忽略全部
217	同意全部
218	同意
219	忽略
220	刷新
222	攻速
223	英雄战魂
224	确定
225	%d~%d
226	+%d (最大+%d)
227	%d件套装属性：
228	%d (每升一级+%d)发
229	%d 点力量增加1%%HP
230	%d 点敏捷增加1%%速度
231	%d 点智力增加1%%MP
232	%s触发概率+%d
233	已选材料
234	装备升级
235	装备进阶
236	装备洗练
237	%d 点%s增加1%%攻击
238	献 祭
239	后可以开启高级献祭，高级献祭可以召唤更强大的英雄!
240	后可以开启神圣献祭，神圣献祭可以召唤更强大的英雄!
241	装备评分
242	合成物品
243	合成需求
244	合成
245	花费
246	重置
247	加点
248	Lv
249	消耗的素材卡
250	选取素材卡
251	购买素材卡
252	升级
253	点击以选取要进化的英雄
254	力量成长值
255	游戏注册
256	服务器选择
257	服务器
258	新服
259	火爆
260	维护中
261	暂未开启
262	关闭注册
263	创建角色
264	用户名
265	密 码
266	登 陆
267	注册
268	忘记密码
269	4-16个字母或数字
270	注 册
271	游戏登录
272	输入用户名
273	输入密码
274	再次输入密码
275	技能效果
276	发动时机
277	发动几率
278	消    耗
279	专精效果
280	强化需求
281	敏捷成长值
282	智力成长值
283	强化费用
284	请输入数量：
285	确认
286	MAX
287	%d次%d个青铜契约
288	%d次%d个白银契约
289	%d次%d个黄金契约
290	等级上限：    %d
291	%s:%s:%s后免费
292	免费
293	免费(今日剩余%d次)
294	需要:
295	需要: 青铜契约
296	需要: 白银契约
297	需要: 黄金契约
298	%s  +%d
299	%d (每升一级+%.2f)
300	辉耀
301	狂战士
302	上古封印
303	自然秩序
304	狩猎之夜
305	炽魂
306	净化
307	幻影突袭
308	集中火力
309	淘汰之刃
310	双刃剑
311	地震
312	火焰爆轰
313	雷霆
314	神灭斩
315	洪流
316	诅咒
317	静默诅咒
318	割裂
319	投掷
320	法力燃烧
321	决斗
322	肉钩
323	盛宴
324	法力毁损
325	吸血
326	怒意狂击
327	秘法天球
328	重击
329	暗杀
330	静电场
331	妖术
332	冰封魔印
333	守护天使
334	虚无
335	折射
336	反击螺旋
337	洗礼
338	针刺扫射
339	重生
340	被动技能
341	开场发动
342	自己行动前
343	对方攻击前
344	对方施法前
345	对方施法前
346	对方行动前
347	自己行动时
348	攻击后追加
349	攻击后追加
350	施法后追加
351	行动后追加
352	死亡时发动
353	+%d%%触发几率
354	无专精效果
355	选择装备
356	仅显示已装备
357	%s LV.%d
358	下一级:%s+%d
359	消耗:%d信仰点数
360	信仰
361	祈愿
362	温泉可以恢复60点体力，到时间记得来哦！
363	开放时间：
364	中午12点-14点
365	下午18点-20点
366	立即进入
367	对抗地图
368	野区
369	幽魂塔
370	提升出战英雄
371	%d点
372	下一级:
373	建议等级：%d
374	Lv.%d
375	晴雪城
376	沉睡之海
377	银叶森林
378	埋骨地
379	戮尽之地
380	龙冢
381	大教堂
382	蓝心冰川
383	影承废墟
384	灼神山
385	角斗场
386	传承之塔
387	重置信仰点数
388	紫罗兰高原
389	基迪岛
390	生命信仰
391	减少10分钟
392	减少1小时
393	减少一半时间
394	请选择加速道具
395	信仰点数
396	信仰等级上限
397	提升一下战力再来吧！
398	装备评分
399	英雄评分
400	信仰
401	点金
402	一星
403	二星
404	快速登录
405	5-16个字母或数字
406	点击可选择服务器
407	当前角色
408	当前服务器
409	%d/%d
410	+%d
411	训练评分:
412	高级献祭
413	%d次
414	点击任意位置关闭界面
415	更新公告
416	旧密码
417	新密码
418	确认新密码
