langId	Text-cn
1	Haven't Logged In 
2	Login Successful
3	Sign-up Successful
4	Account Binding Successful
5	Account Binding Failed
6	Equipment level cannot exceed twice the level of the current character.
7	The hero level cannot exceed the level of the current character.
8	Visitor
9	Other Error
10	Verification Server Abnormality
11	91 User
12	This is not a visitor account. You don't have to bind this account.
13	There is a character on this account.
14	Dear user, your login has expired. Please log in again!
15	Network error. Please try again later.
16	Mine
17	Please enter a name!
18	Connecting… Please wait for a while. 
19	Backpack
20	Timed Event
21	Login Msg.
22	%d chances used. %d chances left.
23	%d players participating
24	Progress: %d/%d
25	Unlocks at Lv.%d
26	After completing it, you may get 
27	Reset Progress
28	Begin
29	Continue
30	Consumes 1 chance
31	Secret Shop
32	Remove Party Member
33	View Profile
34	Hire Mercenary
35	Summon Peon
36	Begin Challenge
37	Disband Party
38	Establish a Party
39	Leave Party
40	Join
41	Fighting Capacity: %d
42	Congratulations! You have successfully purchased [%s].
43	Failed to purchase [%s]. Please try again later.
44	Verifying purchase... Please wait for a while.
45	System error. Failed to purchase [%s].
46	Purchasing... Please wait.
47	The item information hasn't been synchronized. Please try again later.
48	Bronze Chest
49	Silver Chest
50	Gold Chest
51	Free
52	Requires VIP %d
53	Event Time
54	Event Introduction
55	<a type="text" fontsize="18" fontname="ArialRoundedMTBold" fontcolor="{255,255,255}" text="[Remaining Time]"></a>   %d days %d hours %d minutes
56	You have to pay %d Diamonds to receive this chest. Continue?
57	You will automatically receive a Bronze Chest in %d seconds.
58	No Progress
59	Purchase Successful
60	Try Again Later
61	该订单已经加过钱了
62	Invalid Order
63	Gold Collect
64	Peon
65	Goblin Mine
66	Dwarf Mine
67	Dragon Mine
68	Collection Time: %d hours
69	Gold Produced: %d
70	Every %d minutes, Treasure chances will increase by 1.
71	%d/%d chances left
72	Enter
73	Treasure
74	There are treasures, orc miners and other Treasureers in the Mine. You need to prepare yourself before the Treasure.
75	Equipped
76	Equipment Name
77	Level
78	Type
79	Atk
80	Random Attributes
81	Gem Information
82	Explanation
83	Level-up
84	The maximum attribute after refinement depends on equipment level.
85	Refinement Cost
86	Refinement
87	Hero List
88	Equipment List
89	Item List
90	Atk
91	AS
92	Hit
93	Dodge
94	AP
95	Armor
96	Crit
97	Ten
98	Player Information
99	Hero Equipment
100	Hero Skill
101	Str
102	Agi
103	Int
104	 points of Str increase HP by 1%
105	 points of Agi increase Speed by 1%
106	 points of Int increase MP by 1%
107	Every Level
108	Activation Chance
109	(
110	)
111	Level-up
112	Enhancement
113	It is said that there are two lines here, but I don't know what they are.
114	New Skill
115	New Specialization
116	Challenge Chances Left
117	Adventure
118	Wipeout All
119	Use Wipeout 5 times
120	Use Wipeout 20 times
121	Wipeout: %d/%d
122	 battles
123	Gold
124	EXP
125	Hero EXP
126	Wipeout
127	You have used up your Challenge Chances.
128	Insufficient Stamina
129	Insufficient Backpack or Equipment Slots
130	Adjust Skill
131	Change Equipment
132	No Stamina Cost
133	%d
134	%d/%d
135	Costs %d Stamina
136	The name has to be between 2 letters and 6 Chinese characters!
137	Insufficient Backpack space. Why don't you sell some items first?
138	Insufficient Equipment slots. Go and enhance your Equipment!
139	Insufficient [Hero Backpack] space. Go and enhance your Heroes!
140	You may get double rewards in low-level zones.
141	You will get double rewards in high-level zones, and may even get quadruple rewards!
142	Try Your Luck
143	Low-level Zone
144	High-level Zone
145	Cooldown: %s
146	Adventure Reward:
147	You may get:
148	Too long. Please try again.
150	前面占位
151	This is a handsome Hero.
152	This is a super ugly Hero.
153	这是一位阿斯利康大家哈盛开的的英雄。
154	这是一位哦饿哦诶与的英雄。
155	The night granted me dark eyes, but then I turned into a panda…
156	Private Chat
157	View Profile
158	Add Friend
159	对
160	我
161	说
162	To %s:
163	%s: 
164	Are you sure you want to delete your friend?
165	%d/%d
166	You have received a Star Reward.
167	World
168	Private Chat
169	Send
170	Common
171	Elite
172	Challenge
173	Wipeout
174	Receive
175	3 Star Reward
176	[World]
177	[Private Chat]
178	[System]
180	前面占位。
181	Item Synthesis
182	Stonehoof: High HP. A Str Hero who excels at counter attacks.
183	Anti-Mage: High AS. A speedy Agi Hero.
184	Ice Maiden: Good at magic attacks. An Int Hero who can deal massive burst damage.
185	All
186	-
187	Increase Fighting Capacity
188	Item Synthesis
189	Usage Level:
190	Price:
191	Sell
192	Use
193	Altar
194	Gate
195	Temple
196	Merchant
197	Colosseum
198	Ancient
199	Tower
200	(Every Level
201	)
202	 points of Str increase HP by 1%
203	 points of Agi increase Speed by 1%
204	 points of Int increase MP by 1%
205	Attribute
206	Activation Chance
207	Atk
208	Demon Slaughter
209	Equipment
210	HP
211	MP
212	Friends
213	Apply List
214	Recommended Friends
215	Search
216	Ignore All
217	Accept All
218	Accept
219	Ignore
220	Refresh
222	AS
223	Change Hero
224	Confirm
225	%d-%d
226	+%d (Maximum +%d)
227	%d Piece Bonus:
228	%d (Increased by +%d every level) Uses
229	%d Str increase HP by 1%% 
230	%d Agi increase Speed by 1%% 
231	%d Int increase MP by 1%% 
232	%s Activation Chance +%d
233	Selected Materials
234	Upgrade
235	Promotion
236	Refinement
237	%d %s increase Atk by 1%%
238	Immolation
239	 unlocks Advanced Immolation that can summon more powerful Heroes.
240	 unlocks Sacred Immolation that can summon more powerful Heroes.
241	Equipment Rating
242	Synthesize Item
243	Synthesis Requirement
244	Synthesis
245	Cost
246	Reset
247	Add Point
248	Lv
249	Material Card Consumed
250	Select Material Card
251	Purchase Material Card
252	Level Up
253	Click to select the Hero you want to evolve.
254	Str Growth
255	Game Sign-up
256	Select Server
257	Server
258	New Server
259	Hot
260	Under Maintenance
261	Temporarily Unavailable
262	Sign-up Closed
263	Create Character
264	User Name
265	Password
266	Login
267	Sign-up
268	Forgot Password
269	4-16 letters or numbers.
270	Sign-up
271	Game Login
272	Enter User Name
273	Enter Password
274	Enter Password Again
275	Skill Effect
276	Time of Use
277	Chance
278	Cost
279	Specialization Effect
280	Enhancement Requirement
281	Agi Growth
282	Int Growth
283	Enhancement Cost
284	Please enter the number:
285	Confirm
286	MAX
287	%d Bronze Covenants %d times.
288	%d Silver Covenants %d times.
289	%d Gold Covenants %d times.
290	Level Limit: %d
291	Free after %s:%s:%s
292	Free
293	Free (Chances left today: %d)
294	Need:
295	Need: Bronze Covenant
296	Need: Silver Covenant
297	Need: Gold Covenant
298	%s +%d
299	%d (+%.2f every level)
300	Radiance
301	Berserker
302	Elder Seal
303	Natural Order
304	Dead of Night
305	Burning Soul
306	Clarify
307	Assault
308	Focused Fire
309	Culling Blade
310	Double Edge
311	Earthquake
312	Fireblast
313	Thunder
314	Laguna Blade
315	Torrent
316	Curse
317	Curse of Silence
318	Rupture
319	Toss
320	Mana Burn
321	Duel
322	Meat Hook
323	Feast
324	Mana Break
325	Lifesteal
326	Fury Swipes
327	Arcane Orb
328	Bash
329	Assassinate
330	Kinetic Field
331	Hex
332	Frozen Sigil
333	Guardian Angel
334	Void
335	Dispersion
336	Counter Helix
337	Purification
338	Quillburst
339	Revive
340	Passive Skill
341	Used at the beginning of battle
342	Before hero takes action
343	Before enemy attacks
344	Before enemy casts a spell
345	Before enemy casts a spell
346	Before enemy takes action
347	When hero takes action
348	After hero attacks
349	After hero attacks
350	After hero casts a spell
351	After hero takes action
352	Used upon death
353	+%d%% Activation Chance
354	No Specialization Effect
355	Select Equipment
356	Display equipped items only
357	%s Lv.%d
358	Next Level: %s+%d
359	Cost: %d Faith
360	Faith
361	Prayer
362	Hot Springs can restore 60 Stamina. Don't forget to visit!
363	Opening Time:
364	12:00 - 14:00
365	18:00 - 20:00
366	Enter Now
367	PvP Map
368	Wilds
369	Ghost Tower
370	Enhance Current Hero
371	%d Points
372	Next Level:
373	Suggested Level: %d
374	Lv.%d
375	Sun Snow
376	Sea
377	Forest
378	Boneyard
379	Fire Land
380	Grave
381	Church
382	Glacier
383	Ruins
384	Hills
385	Colosseum
386	Tower of Succession
387	Reset Faith Points
388	Highlands
389	Island
390	Life Faith
391	Reduce by 10 minutes.
392	Reduce by 1 hour.
393	Reduce time by 50%
394	Please select acceleration item.
395	Faith Points
396	Faith Level Limit
397	Try increasing your Fighting Capacity first!
398	Equipment Rating
399	Hero Rating
400	Faith
401	Exchange
402	1 Star
403	2 Star
404	Quick Login
405	5-16 letters or numbers.
406	Click to select server.
407	Current Character
408	Current Server
409	%d/%d
410	+%d
411	Training Rating:
412	Advanced Immolation
413	%d times
414	Click anywhere to close the interface.
415	Update Announcement
416	Old Password
417	New Password
418	Confirm New Password
419	New Characters: Phantom, Kael, Upgraded Admiral, Blood Elf Wizard, Elven Wizard, Dark Mage, Undead Mage, Archmage, Silencer. You can go to the Altar to summon these new characters. Added new skill special effect for Radiance, Kinetic Field, and Hex. Modified the skill special effect for Culling Blade. Added scene special effect for Glacier and building special effect for main scene. Modified some actions and bugs. Added Hills. Added Reconnection, Refinement, Attribute Training and Update Announcement functions. Changed the interfaces of Hero Enhancement and Hero Selection. Addressed several Skill bugs. New statistics charts for Characters, Heroes, Equipment, Skills, Faith and Monsters.
420	New message received from the server.
421	High-level Card Hint
422	Are you sure you want to devour materials of 5 Stars or above?
423	Tower Challenges Today:
424	Are you sure you want to log off?
425	Attribute Training Explanation
426	1. Increase Attribute Technique by using a Training Book.
427	2. Attribute Technique will be converted into Attributes according to a certain rate.
428	3. You can set Main Attributes in the Attribute interface. The conversion rate of the main Attribute will be doubled.
429	How to get Training Books
430	1. Exchange for Reputation at the shop in the Colosseum.
431	2. Purchase from the Shop.
432	My Fighting Capacity:
433	My Ranking
434	My Reputation
435	Quest Progress:
436	Bonus Reward
437	%d/%d
438	Previous Ranking:
439	Challenge Chances Left Today:
440	Connection timeout. Please try again later.
441	Select the Starting Level
442	1st Floor
443	40th Floor
444	80th Floor
445	120th Floor
446	160th Floor
447	You will get lots of EXP if the challenge succeeds, and you will be rewarded handsomely in the Treasure Chest interface if you complete certain floors.
448	Current Floor:
449	Total EXP:
450	Chest Reward of Next Phase:
451	You accumulate rewards via diamond resetting.
452	Synthesizing high-star level equipment will cost lots of Trial Crystals. The improvement will become greater as the star level gets higher.
453	Daily Limited Supply
454	Tower Chances Hint
455	You don't have any chances left today.
456	You have used up today's free chances. Do you want to use items to increase your chances?
457	Item Quantity Hint
458	Insufficient items. Do you wish to spend some Diamonds to enter the Tower?
459	Ranking Reward
460	%d Reputation
461	Collection Time
462	Ranking: %d
463	Fighting Capacity: %d
464	Lv.%d
465	Cooldown: 
466	Chances Left Today: %d 
467	[%s]
468	Just Now
469	Yesterday
470	%d days ago
471	You were defeated!
472	You won!
473	Ranking unchanged
474	Ranking decreased to %d
475	Ranking increased to %d
476	 challenged you
477	%02d:%02d:%02d
478	You challenged 
479	Lock Information
480	Locked number has reached the maximum limit.
481	Please select a suitable server.
482	Server is under maintenance. Please select a suitable server.
483	Please enter the correct account name and password.
484	Sign-up succeeded.
485	Sign-up failed. Please try again.
486	The password you entered is incorrect.
487	You can enter the game quickly as a visitor and bind your account later.
488	5-16 letters, numbers or underscores.
489	4-16 characters.
490	Please enter Changyou Passport...
491	The account name is empty.
492	The password is empty.
493	You need to confirm your password.
494	The length of your account name must be between 5-16 characters.
495	The length of your password must be between 5-16 characters.
496	This is an emergency! Let's go to Sun Snow and find some information about the [Ancient Relic] immediately!
497	This is a world where people worship strength. You may find familiar heroes here, but it will all seem strange to you. Please, just believe in yourself!
498	You have to keep improving your power to earn respect! Before you set out, I've prepared a [gift] for you. Why don't you open it now?
499	You have seen this [weapon] before, haven't you? Though it is not the sharpest in the armory, it will be of great help to you.
500	Isn't it a nice weapon? Now, we can test its true power. Set out, my warrior!
501	Click the [Set Out] button in the upper right corner to start your journey!
502	This is our world.<br>Now click the [Sun Snow] button to begin the battle.
503	You'll meet a new monster every step you advance. Now, make your first move!
504	How does it feel, warrior? You've got a new [skill]. Every time you level up, you will get a skill, until you have 40 skills. Let's equip it now.
505	Click the Function button, then click the skill icon to enter the skill interface. You can also enter the skill interface via the skill button on the left of your portrait.
506	The upper part of the interface is the skill list, and the lower part is the skill slot. Please click the skill icon and drag it into the skill slot below. 
507	Good, your strength has improved again. I have another gift for you, and I hope it will help you in your journey. Go and check your Backpack!
508	Level Packs can be opened every 10 levels. Don't ignore them! Now, you shall challenge a more powerful opponent.
509	You have enough Honor to increase your Leadership now. Go and check the Hero interface.
510	You can directly go to the level you want to challenge via Quick Set Out.
511	Click the [skill button] on the left of your portrait to quickly adjust your skills.
512	Hmm, you got an EXP Bead? Let's see what it can do.
513	Click the Function button, and then click the [Enhancement] icon to enter the interface.
514	It's a material used for [Equipment Upgrading]. You can increase the level of your equipment by consuming other equipment and EXP Beads.
515	You have grown stronger. Let's see the [Main Quest] rewards.
516	Congratulations, you have reached Lv10. New function [Altar] has been unlocked.
517	Congratulations, you have reached Lv20. New function [Colosseum] has been unlocked.
518	Congratulations, you have reached Lv27. New function [Capture] has been unlocked.
519	Congratulations, you have reached Lv30. New function [Ancient] has been unlocked.
520	Congratulations, you have reached Lv32. New function [Temple] has been unlocked.
521	Congratulations, you have reached Lv40. New function [Tower] has been unlocked.
522	Check your quest interface when you don't know what to do next. You can get handsome rewards after completing quests.
523	Congratulations, you have reached Lv25. New function [Treasure] has been unlocked in the [Mine].
524	Congratulations, you have reached Lv25. New function [Gold Collecting] has been unlocked in the [Mine].
525	Total Fighting Capacity:
526	Hero Rating:
527	Fighting Capacity:
528	Faith Rating:
529	Soul Refinement Rating:
530	Equipment Rating:
531	Attribute Training Rating:
