窗口ID	窗口名称	窗口Z序列	是否模态	窗口背景资源plist	窗口卸载时是否立刻释放的背景资源(0:不释放；1:立刻释放)	窗口UI资源plist	窗口卸载时是否立刻释放的UI资源(0:不释放；1:立刻释放)	窗口打开音效ID	窗口关闭音效ID	注释
1	StartWindow	1	0					-1	-1	开始界面
2	LoadingWindow	1000	0					-1	-1	Loading窗口
3	DTTimedGrayWindow	1000	0					-1	-1	倒计时隔绝层
4	RoleStatusWindow	3	1					-1	-1	没用
5	MessageBoxWindow	501	1					62	-1	消息框
6	LogoWindow	1	0					-1	-1	没用
7	HomeWindow	1	0					-1	-1	没用
8	AthleticsWindow	1	0					-1	-1	战斗窗口
9	AthleticResultWindow	1	0					4	5	战斗结算窗口
10	SelectRoleWindow	1	0					-1	-1	选人窗口
11	HeroLvUpWindow	1	0					-1	-1	英雄升级窗口
12	LevelupNormalWindow	5	0					67	-1	正常升级窗口
13	PESWindow	1	0					-1	-1	装备窗口
14	RoleSkinSelectWindow	1	0					-1	-1	选外套窗口
15	SelectSkillWindow	5	0					-1	-1	选技能窗口
16	MissionWindow	1	0					-1	-1	世界地图窗口
17	SonMissionWindow	1	0					-1	-1	选择关卡窗口
18	MassacreWindow	2	0					-1	-1	扫荡窗口
19	SelectCardListWindow	1	0					-1	-1	选卡片窗口
20	HerobarWindow	1	0					-1	-1	献祭窗口
21	SelectServerWindow	1	0					-1	-1	选择服务器窗口
22	InputNumWindow	1	1					-1	-1	输入数量窗口
23	resultheroup	1	0					-1	-1	英雄升级结果窗口
24	HeroTechnology	1	0					-1	-1	科技窗口
25	EquipmentSelectWindow	1	0					-1	-1	选择装备窗口
26	EquipmentSelectCardWindow	1	0					-1	-1	选择装备卡片窗口
27	SystemsetWindow	1	0					-1	-1	系统设置窗口
28	ArenaWindow	1	0					-1	-1	竞技场窗口
29	ChatWindow	3	0					-1	-1	聊天窗口
30	NoticeBoxWindow	500	0					-1	-1	提示框窗口
31	ShopWindow	1	0					-1	-1	商店窗口
32	EffectWindow	1000	0					-1	-1	飘字特效窗口
33	ClimbTowerWindow	1	0					-1	-1	爬塔窗口
34	BagWindow	1	0					-1	-1	背包窗口
35	ShopinputNumWindow	1	0					-1	-1	商店数字输入窗口
36	RevenueWindow	4	0					-1	-1	征收窗口
37	GuideWindow	500	1					-1	-1	新手引导窗口
38	TipsWindow	11	0					62	-1	Tips窗口
39	MarketWindow	1	0					-1	-1	商城窗口
40	CommunicationWaittingWindow	1000	0					-1	-1	战斗等待窗口
41	HeroTipsWindow	1	0					-1	-1	英雄Tips窗口
42	TeamBattleWindow	1	0					-1	-1	组队副本窗口
43	TeamSelectWindow	1	0					-1	-1	队伍选择窗口
44	FriendWindow	1	0					-1	-1	好友窗口
45	PlayerTipsWindow	3	0					-1	-1	好友信息Tips窗口
46	RankWindow	2	0					-1	-1	排行榜窗口
47	EmailWindow	1	0					-1	-1	邮件窗口
48	ServantWindow	1	1					-1	-1	奴隶窗口
49	NetObjectTipsWindow	5	0					-1	-1	物品Tips窗口
50	EquipTipsWindow	1	0					54	-1	装备Tips窗口
51	WriteEmailWindow	1	0					-1	-1	写信窗口
52	ErrorTipsWindow	501	0					-1	-1	错误提示窗口
53	BattleCapabilityWindow	1	0					-1	-1	战力提升窗口
54	HelpWindow	10	0					-1	-1	帮助界面
55	MainTaskWindow	3	0					-1	-1	主线任务窗口
56	AnnouncementWindow	500	0					-1	-1	公告窗口
57	LimitedActivityWindow	1	0					-1	-1	限时活动窗口
58	RechargeWindow	1	0					-1	-1	充值窗口
59	RechargeWarnWindow	1	0					-1	-1	充值绑定账号提示窗口
60	VipWindow	2	0					-1	-1	Vip窗口
61	TempleWindow	1	0					-1	-1	神庙窗口
62	ConvictionWindow	1	0					-1	-1	信仰窗口
63	ForcePushTaskRewardWindow	4	0					-1	-1	服务推送任务奖励窗口
64	MineAreaWindow	1	0					-1	-1	矿区窗口
65	ActivttyWindow	2	0					-1	-1	活动主窗口
66	SpringView	1	0					-1	-1	温泉活动窗口
67	HeroIllustratedWindow	1	0					-1	-1	英雄图鉴窗口
68	LessResourceWindow	10	0					-1	-1	资源不足窗口
69	HELeadershipLvUpWindow	2	0					69	-1	领导力升级窗口
70	AltarWindow	1	0					-1	-1	献祭窗口
71	GainHeroWindow	3	0					65	-1	获得英雄窗口
72	HeroAdvancedWindow	1	0					-1	-1	英雄进阶
73	GainSoulDebriWindow	3	0					65	-1	获得灵魂碎片窗口
74	CheckHELeaderWindow	1	0					-1	-1	查看当前统率力窗口
75	MultiRewardWindow	10	0					-1	-1	多个物品奖励窗口
76	FirstRechGiftWindow	3	0					-1	-1	首充礼包活动窗口
77	NewEquipremindWindow	499	0					-1	-1	新装备提醒窗口
78	ArenaRewardWindow	2	0					-1	-1	竞技场奖励窗口
79	LevelUpRewardActivityWindow	1	0					-1	-1	升级奖励活动窗口
80	ShopTipsWindow	5	0					-1	-1	商店Tips窗口
81	BossScoreWindow	1	0					-1	-1	Boss积分窗口
82	LoginActivityWindow	3	0					-1	-1	每日登陆活动窗口
83	HeroSoulWindow	1	0					-1	-1	战魂激活窗口
84	ExchangeActivityWindow	1	0					-1	-1	兑换奖励活动窗口
85	GrowupPlanWindow	1	0					-1	-1	成长计划活动窗口
86	SoulTipsWindow	5	0					54	-1	战魂Tips窗口
87	AppStoreWaitWindow	10000	0					-1	-1	AppStore购买等待窗口
88	VipGiftWindow	1	0					-1	-1	Vip礼包窗口
89	TenCallWindow	3	0					-1	-1	十连抽窗口
90	GainCallItemWindow	3	0					-1	-1	召唤获得物品
91	TeamInfoWindow	1	0					-1	-1	队伍信息窗口
