VIP级别	当前VIP页行ID	SYSLANGID	FSYLEID	备注
1	0	1111	105	可以开启【VIP钻石袋】
1	1	1112	83	每天体力购买次数增加至4次
1	2	1113	83	每天矿洞寻宝购买次数增加至2次
1	3	1110	105	每天可领取50000金币
1	4	12011	83	每天神秘商店可购买刷新次数增加至20
2	0	1125	83	包含VIP1所有特权
2	1	12010	105	可以购买成长计划
2	2	1123	83	每天可用钻石清除精英关卡挑战次数
2	3	1121	83	每天高级野区点金次数增加至10次
2	4	1120	83	每天可领取100000金币
2	5	12012	83	每天神秘商店可购买刷新次数增加至25
3	0	1135	83	包含VIP1-2所有特权
3	1	1134	83	好友上限增加至40个
3	2	1132	83	每天矿洞寻宝购买次数增加至6次
3	3	1131	83	每天体力购买次数增加至4次
3	4	1130	83	每天可领取150000金币
3	5	12013	83	每天神秘商店可购买刷新次数增加至30
4	0	1146	83	包含VIP1-3所有特权
4	1	1144	83	每天祈愿次数增加至20次
4	2	1142	83	每天精英关卡清除次数增加至2次
4	3	1141	83	每天高级野区点金次数增加至20次
4	4	1140	83	每天可领取200000金币
4	5	12014	83	每天神秘商店可购买刷新次数增加至35
5	0	1157	83	包含VIP1-4所有特权
5	1	1156	105	可以对奴隶进行【压榨】操作
5	2	1154	83	每天祈愿次数增加至30次
5	3	1152	83	每天矿洞寻宝购买次数增加至12次
5	4	1151	83	每天体力购买次数增加至12次
5	5	1150	83	每天可领取250000金币
5	6	12015	83	每天神秘商店可购买刷新次数增加至40
6	0	1167	83	包含VIP1-5所有特权
6	1	1166	83	好友上限增加至50个
6	2	1163	83	每天精英关卡清除次数增加至3次
6	3	1162	83	每天高级野区点金次数增加至40次
6	4	1161	83	每天矿洞寻宝购买次数增加至24次
6	5	1160	83	每天可领取300000金币
6	6	12016	83	每天神秘商店可购买刷新次数增加至45
7	0	1176	83	包含VIP1-6所有特权
7	1	1175	83	每天祈愿次数增加至40次
7	2	1174	83	每天精英关卡清除次数增加至4次
7	3	1172	83	每天矿洞寻宝购买次数增加至36次
7	4	1171	83	每天体力购买次数增加至24次
7	5	1170	83	每天可领取350000金币
7	6	12017	83	每天神秘商店可购买刷新次数增加至50
8	0	1187	83	包含VIP1-7所有特权
8	1	1204	105	上线全服广播
8	2	1185	83	每天祈愿次数增加至50次
8	3	1184	83	每天精英关卡清除次数增加至5次
8	4	1182	83	每天高级野区点金次数增加至60次
8	5	1181	83	每天矿洞寻宝购买次数增加至48次
8	6	1180	83	每天可领取400000金币
8	7	12018	83	每天神秘商店可购买刷新次数增加至55
9	0	1195	83	包含VIP1-8所有特权
9	1	1194	83	好友上限增加至60个
9	2	1192	83	每天高级野区点金次数增加至80次
9	3	1191	83	每天体力购买次数增加至36次
9	4	1190	83	每天可领取450000金币
9	5	12019	83	每天神秘商店可购买刷新次数增加至60
10	0	1205	83	包含VIP1-9所有特权
10	1	1202	83	每天高级野区点金次数增加至100次
10	2	1201	83	每天体力购买次数增加至48次
10	3	1200	83	每天可领取500000金币
10	4	12020	83	每天神秘商店可购买刷新次数增加至70

