INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	1	-10	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	背景
1	0	10	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newhuifu/wenquan_diban.png	0	0	0	0	0.5	0.5	535	354	568	315	512	384	533.33	315	507.73	315	-1	小背景
2	0	10	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1013	650	1046	605	990	680	1011.33	605	985.73	605	-1	关闭按钮
3	0	100	1	0	CScrollView	-20	1	0	0	0	0	0	0	0	0	0	0	170	450	0	0	63	120	96	81	40	150	61.33	81	35.73	81	-1	cell框
4	0	10	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newhuifu/smzq_anniu_xzkuang.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	选择框图片
5	0	20	1	0	MaskNode	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	-45	0	-45	0	-45	0	-45	0	-45	-1	活动文字
6	0	10	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/uparrow.png	0	0	0	0	0.5	0.5	150	585	180	545	130	615	150	545	124.4	545	-1	向上箭头
7	0	10	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/downarrow.png	0	0	0	0	0.5	0.5	150	100	180	60	130	130	150	60	124.4	60	-1	向下箭头
8	0	10	1	180	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	150	585	180	545	130	615	150	545	124.4	545	-1	上骨骼箭头动画
9	0	20	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	150	100	180	60	130	130	150	60	124.4	60	-1	下骨骼箭头动画
