INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CPriorityLayerColor	-40	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	灰层
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/xianji_tanchukuang.png	0	0	0	0	0.5	0.5	564	387	568	366	512	430	533.33	366	507.73	366	-1	主背景
2	0	6	1	0	CCLabelTTF	0	1	0	48	0	0	0	0	0	0	0	0	0	0	1	0.5	582	527	586	506	530	570	551.33	506	525.73	506	-1	标题文字
3	0	6	1	0	CCLabelTTF	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	0.5	602	527	606	506	550	570	571.33	506	545.73	506	-1	标题等级文字
4	0	1	1	0	CMenuItemSprite	-41	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	452	217	456	196	400	260	421.33	196	395.73	196	-1	确定按钮
5	0	1	1	0	CMenuItemSprite	-41	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	676	217	680	196	624	260	645.33	196	619.73	196	-1	取消按钮
6	0	6	1	0	CCLabelTTF	0	1	983	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	452	217	456	196	400	260	421.33	196	395.73	196	-1	确定按钮文字
7	0	6	1	0	CCLabelTTF	0	1	996	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	676	217	680	196	624	260	645.33	196	619.73	196	-1	取消按钮文字
8	0	3	1	0	DTAwardBoard	-41	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	364	327	368	306	312	370	333.33	306	307.73	306	-1	碎片1
9	0	3	1	0	DTAwardBoard	-41	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	444	327	448	306	392	370	413.33	306	387.73	306	-1	碎片2
10	0	3	1	0	DTAwardBoard	-41	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	524	327	528	306	472	370	493.33	306	467.73	306	-1	碎片3
11	0	3	1	0	DTAwardBoard	-41	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	604	327	608	306	552	370	573.33	306	547.73	306	-1	碎片4
12	0	3	1	0	DTAwardBoard	-41	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	684	327	688	306	632	370	653.33	306	627.73	306	-1	碎片5
13	0	3	1	0	DTAwardBoard	-41	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	764	327	768	306	712	370	733.33	306	707.73	306	-1	碎片6
14	0	6	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	364	277	368	256	312	320	333.33	256	307.73	256	-1	碎片数量1
15	0	6	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	444	277	448	256	392	320	413.33	256	387.73	256	-1	碎片数量2
16	0	6	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	524	277	528	256	472	320	493.33	256	467.73	256	-1	碎片数量3
17	0	6	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	604	277	608	256	552	320	573.33	256	547.73	256	-1	碎片数量4
18	0	6	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	684	277	688	256	632	320	653.33	256	627.73	256	-1	碎片数量5
19	0	6	1	0	CCLabelTTF	0	1	0	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	764	277	768	256	712	320	733.33	256	707.73	256	-1	碎片数量6
20	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jdt_di.png	0	0	0	0	0.5	0.5	564	456	568	435	512	499	533.33	435	507.73	435	-1	进度条背景底框1
21	0	4	1	0	CProgressTimer	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jdt_lv.png	0	0	0.5	0	0	0	365	450	369	429	313	493	334.33	429	308.73	429	-1	进度条底框3
22	0	6	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	0	0.5	362	427	366	406	310	470	331.33	406	305.73	406	-1	当前力量文字
23	0	6	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	1	0.5	766	427	770	406	714	470	735.33	406	709.73	406	-1	下一级力量文字
24	0	6	1	0	CCLabelTTF	0	1	995	49	0	0	0	0	0	0	0	0	0	0	0	0.5	324	387	328	366	272	430	293.33	366	267.73	366	-1	点击碎片进行献祭文字
