INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS	
0	0	-1	1	0	CCSprite	0	1	13	27	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0.5	0.5	537	350	566	280	512	384	531.33	280	505.73	280	-1	背景底板	
1	0	0	1	0	CCSprite	0	1	13	27	0	0	0	0	0	resource/image/newarena/diban.png	0	0	0	0	0.5	0.5	537	350	566	280	512	384	531.33	280	505.73	280	-1	背景图片	
2	0	1	1	0	CMenuItemSprite	0	1	13	27	0	0	0	0	0	resource/image/newpublic/help.png	resource/image/newpublic/help_l.png	0	0	0	0.5	0.5	905	676	934	606	880	710	899.33	606	873.73	606	-1	帮助按钮	
3	0	1	1	0	CMenuItemSprite	0	1	13	27	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1005	676	1034	606	980	710	999.33	606	973.73	606	-1	关闭按钮	
4	0	2	1	0	CCSprite	0	1	13	27	0	0	0	0	0	resource/image/newpublic/tubiaomingchengdiban.png	0	0	0	0	0.5	0.5	542	596	571	526	517	630	536.33	526	510.73	526	-1	标题背景框	
5	0	3	1	0	CCLabelTTF	0	1	900	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	542	596	571	526	517	630	536.33	526	510.73	526	-1	标题内容	
6	0	1	1	0	CCSprite	0	1	13	42	0	0	0	0	0	resource/image/newarena/zengjiacishukuang.png	0	0	0	0	0.5	0.5	885	606	914	536	860	640	879.33	536	853.73	536	-1	今日挑战次数背景	
7	0	2	1	0	CCLabelTTF	0	1	13	42	0	0	0	0	0	0	0	0	0	0	0.5	0.5	885	606	914	536	860	640	879.33	536	853.73	536	-1	今天挑战次数文字 前缀	
8	1	2	1	0	CCLabelTTF	0	1	13	27	0	0	0	0	0	0	0	0	0	0	0.5	0.5	945	466	974	396	920	500	939.33	396	913.73	396	-1	无用	
9	0	2	1	0	CMenuItemSprite	0	1	13	27	0	0	0	0	0	resource/image/newarena/tianjia_zhengc.png	resource/image/newarena/tianjia_anxia.png	0	0	0	0.5	0.5	1005	606	1034	536	980	640	999.33	536	973.73	536	-1	增加次数按钮	
