INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
1	0	2	1	0	CPriorityLayerColor	-190	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	»Ò²ã
2	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	538	500	571	440	515	530	536.33	440	510.73	440	-1	È¦1
3	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	270	170	0.5	0.5	328	475	361	415	305	505	326.33	415	300.73	415	-1	±³¾°1
4	0	3	1	90	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	90	90	0.5	0.5	458	480	491	420	435	510	456.33	420	430.73	420	-1	¼ýÍ·1
5	0	5	1	0	CCLabelTTFMultiline	0	1	673	68	0	0	0	0	0	0	0	0	230	180	0.5	0.5	333	440	366	380	310	470	331.33	380	305.73	380	-1	ÎÄ×Ö1
6	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	973	600	1006	540	950	630	971.33	540	945.73	540	-1	È¦2
7	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	250	210	0.5	0.5	923	435	956	375	900	465	921.33	375	895.73	375	-1	±³¾°2
8	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	0	0	0.5	0.5	973	535	1006	475	950	565	971.33	475	945.73	475	-1	¼ýÍ·2
9	0	5	1	0	CCLabelTTFMultiline	0	1	675	68	0	0	0	0	0	0	0	0	200	180	0.5	0.5	923	420	956	360	900	450	921.33	360	895.73	360	-1	ÎÄ×Ö2
10	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	850	85	856	70	800	120	821.33	70	795.73	70	-1	È¦3
11	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	250	230	0.5	0.5	643	120	676	120	620	150	641.33	120	615.73	120	-1	±³¾°3
12	0	3	1	90	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	0	0	0.5	0.5	763	90	796	90	740	120	761.33	90	735.73	90	-1	¼ýÍ·3
13	0	5	1	0	CCLabelTTFMultiline	0	1	674	68	0	0	0	0	0	0	0	0	200	180	0.5	0.5	643	110	676	110	620	140	641.33	110	615.73	110	-1	ÎÄ×Ö3
14	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/npc.png	0	0	0	0	0.5	0.5	323	190	356	130	300	220	321.33	130	295.73	130	-1	ÈË
