INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-110	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	灰层
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newresult/shenglishibai_diban.png	0	0	0	0	0.5	0.5	512	400	512	300	512	400	512	300	512	300	-1	胜利背景
2	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/spine/bord.json	resource/spine/bord.atlas	0	0	0	0.5	0.5	570	380	570	280	570	380	570	280	570	280	-1	胜利标题
3	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/spine/star.json	resource/spine/star.atlas	0	0	0	0.5	0.5	510	400	510	300	510	400	510	300	510	300	-1	胜利星级
4	0	1	1	0	CCLabelTTF	0	1	4014	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	600	480	600	380	600	480	600	380	600	380	-1	胜利文字
5	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jingyan_icon.png	0	0	0	0	0.5	0.5	480	420	480	320	480	420	480	320	480	320	-1	经验图标
6	0	1	1	0	CCLabelTTF	0	1	2006	49	0	0	0	0	0	0	0	0	0	0	0	0.5	550	420	550	320	550	420	550	320	550	320	-1	经验值
7	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon_b.png	0	0	0	0	0.5	0.5	700	420	700	320	700	420	700	320	700	320	-1	金币图标
8	0	1	1	0	CCLabelTTF	0	1	2006	49	0	0	0	0	0	0	0	0	0	0	0	0.5	750	420	750	320	750	420	750	320	750	320	-1	金币值
9	1	5	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/sw_icon.png	0	0	0	0	0.5	0.5	480	420	480	320	480	420	480	320	480	320	-1	声望图标
10	1	5	1	0	CCLabelTTF	0	1	2006	49	0	0	0	0	0	0	0	0	0	0	0	0.5	550	420	550	320	550	420	550	320	550	320	-1	声望值
11	0	1	1	0	DTAwardBoard	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	500	330	500	230	500	330	500	230	500	230	-1	物品1图标
12	0	5	1	0	CCLabelTTF	0	1	2006	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	500	265	500	165	500	265	500	165	500	165	-1	物品1数量
13	0	1	1	0	DTAwardBoard	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	620	330	620	230	620	330	620	230	620	230	-1	物品2图标
14	0	1	1	0	CCLabelTTF	0	1	2006	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	620	265	620	165	620	265	620	165	620	165	-1	物品2数量
15	0	1	1	0	DTAwardBoard	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	740	330	740	230	740	330	740	230	740	230	-1	物品3图标
16	0	5	1	0	CCLabelTTF	0	1	2006	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	740	265	740	165	740	265	740	165	740	165	-1	物品3数量
17	0	5	1	0	CMenuItemSprite	-115	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	500	190	500	90	500	190	500	90	500	90	-1	重播按钮
18	0	1	1	0	CCLabelTTF	0	1	4009	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	500	190	500	90	500	190	500	90	500	90	-1	重播按钮文字
19	0	1	1	0	CMenuItemSprite	-115	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	700	190	700	90	700	190	700	90	700	90	-1	确定按钮
20	0	5	1	0	CCLabelTTF	0	1	4011	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	700	190	700	90	700	190	700	90	700	90	-1	确定按钮文字
21	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newresult/shenglishibai_diban.png	0	0	0	0	0.5	0.5	512	400	512	300	512	400	512	300	512	300	-1	失败背景
22	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newresult/shibai.png	0	0	0	0	0.5	0.5	550	620	550	520	550	620	550	520	550	520	-1	失败标题
