INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS	
0	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	360	568	320	512	384	533.33	320	507.73	320	-1	战斗背景	
1	0	4	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newathleticsui/vs_icon.png	0	0	0	0	0.5	0.5	538	653	568	581	512	709	533.33	581	507.73	581	-1	战斗Icon(双斧)	
2	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newathleticsui/vs_kuang.png	0	0	0	0	0.5	0.5	538	588	568	516	512	644	533.33	516	507.73	516	-1	战斗名称底框	
3	0	4	1	0	CCLabelTTF	0	1	0	107	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	588	568	516	512	644	533.33	516	507.73	516	-1	战斗名称	
4	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newathleticsui/touxxiang_dise.png	0	0	0	0	0.5	0.5	98	660	128	588	72	716	93.33	588	67.73	588	-1	左角色头像底板遮罩	
5	0	3	0.85	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	98	656	128	584	72	712	93.33	584	67.73	584	-1	左角色头像	
6	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newathleticsui/touxxiang_diban01.png	0	0	0	0	0.5	0.5	238	656	268	584	212	712	233.33	584	207.73	584	-1	左角色人物信息面板	
7	0	4	1	0	CCLabelTTF	0	1	0	76	0	0	0	0	0	0	0	0	0	0	0.5	0.5	157	691	187	619	131	747	152.33	619	126.73	619	-1	左角色等级	
8	0	4	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0.5	0.5	248	691	278	619	222	747	243.33	619	217.73	619	-1	左角色昵称	
9	1	4	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	188	598	218	526	162	654	183.33	526	157.73	526	-1	左组队头像坐标配置	
10	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newathleticsui/hongse_jindutiao_zd.png	0	0	0	0	0	0	146	652	176	580	120	708	141.33	580	115.73	580	-1	左角色血量背景	
11	0	4	1	0	CCLabelTTF	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0.5	0.5	288	660	318	588	262	716	283.33	588	257.73	588	-1	左角色血量数值	
12	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newathleticsui/lanse_jindutiao_zd.png	0	0	0	0	0	0	146	630	176	558	120	686	141.33	558	115.73	558	-1	左角色蓝量背景	
13	0	4	1	0	CCLabelTTF	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0.5	0.5	288	638	318	566	262	694	283.33	566	257.73	566	-1	左角色蓝量数值	
14	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newathleticsui/touxxiang_dise.png	0	0	0	0	0.5	0.5	978	660	1008	588	952	716	973.33	588	947.73	588	-1	右角色头像遮罩	
15	0	3	0.85	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	980	656	1010	584	954	712	975.33	584	949.73	584	-1	右角色头像	
16	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newathleticsui/touxxiang_diban01.png	0	0	0	0	0.5	0.5	838	656	868	584	812	712	833.33	584	807.73	584	-1	右角色人物信息面板	
