INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCLabelTTF	0	1	242	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	92	576	92	576	92	576	92	576	92	576	-1	合成物品
1	0	0	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newbag/name.png	0	0	140	64	0	0	143	485	143	485	143	485	143	485	143	485	-1	合成物品下面背景框
2	0	1	1	0	DTAwardBoard	-10	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	112	519	112	519	112	519	112	519	112	519	-1	框内物品底图
3	0	2	1	0	CCLabelTTF	0	1	243	81	0	0	0	0	0	0	0	0	0	0	0	0.5	153	520	153	520	153	520	153	520	153	520	-1	名称
4	0	0	1	0	CCLabelTTF	0	1	243	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	92	450	92	450	92	450	92	450	92	450	-1	合成需求
5	0	1	1	0	DTAwardBoard	-10	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	116	385	116	385	116	385	116	385	116	385	-1	需求物品框1
6	0	1	1	0	DTAwardBoard	-10	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	229	385	229	385	229	385	229	385	229	385	-1	需求物品框2
7	0	1	1	0	DTAwardBoard	-10	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	115	283	115	283	115	283	115	283	115	283	-1	需求物品框3
8	0	1	1	0	DTAwardBoard	-10	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	229	283	229	283	229	283	229	283	229	283	-1	需求物品框4
9	0	1	1	0	CCLabelTTF	0	1	243	7	0	0	0	0	0	0	0	0	0	0	0.5	0.5	112	337	112	337	112	337	112	337	112	337	-1	需求数值1
10	0	1	1	0	CCLabelTTF	0	1	243	7	0	0	0	0	0	0	0	0	0	0	0.5	0.5	230	337	230	337	230	337	230	337	230	337	-1	需求数值2
11	0	1	1	0	CCLabelTTF	0	1	243	7	0	0	0	0	0	0	0	0	0	0	0.5	0.5	112	238	112	238	112	238	112	238	112	238	-1	需求数值3
12	0	1	1	0	CCLabelTTF	0	1	243	7	0	0	0	0	0	0	0	0	0	0	0.5	0.5	230	238	230	238	230	238	230	238	230	238	-1	需求数值4
13	0	1	1	0	CCLabelTTF	0	1	245	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	115	210	115	210	115	210	115	210	115	210	-1	花费
14	0	1	1	0	CCLabelTTF	0	1	78	43	0	0	0	0	0	0	0	0	0	0	0	0.5	146	210	146	210	146	210	146	210	146	210	-1	花费值
15	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon_b.png	0	0	0	0	0.5	0.5	260	210	260	210	260	210	260	210	260	210	-1	金币
16	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	175	148	175	148	175	148	175	148	175	148	-1	合成按钮
17	0	2	1	0	CCLabelTTF	0	1	244	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	175	148	175	148	175	148	175	148	175	148	-1	合成字
