INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	背景
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newbag/floor.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	背景2
2	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1008	627	1038	606	982	670	1003.33	606	977.73	606	-1	关闭按钮
3	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newbag/beibao.png	0	0	0	0	0.5	0.5	544	603	574	582	518	646	539.33	582	513.73	582	-1	背包图
4	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/name_box1.png	0	0	0	0	0.5	0.5	538	557	568	536	512	600	533.33	536	507.73	536	-1	背包字底图
5	0	4	1	0	CCLabelTTF	0	1	19	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	557	568	536	512	600	533.33	536	507.73	536	-1	背包字
6	0	2	1	0	FAnimationButton	0	1	0	0	0	2037	0	0	0	resource/image/newbag/daoju.png	resource/image/newbag/daoju_l.png	0	59	62	0.5	0.5	389	597	419	576	363	640	384.33	576	358.73	576	-1	物品按钮
7	0	2	1	0	FAnimationButton	0	1	0	0	0	2037	0	0	0	resource/image/newbag/hecheng_zhengc.png	resource/image/newbag/hecheng_zhengc_l.png	0	59	62	0.5	0.5	691	597	721	576	665	640	686.33	576	660.73	576	-1	合成按钮
8	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/leftarrow.png	0	0	0	0	0.5	0.5	426	341	456	320	400	384	421.33	320	395.73	320	-1	向左
9	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/rightarrow.png	0	0	0	0	0.5	0.5	1016	341	1046	320	990	384	1011.33	320	985.73	320	-1	向右
10	0	3	1	90	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	426	341	456	320	400	384	421.33	320	395.73	320	-1	左骨骼箭头动画
11	0	3	1	-90	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	1016	341	1046	320	990	384	1011.33	320	985.73	320	-1	右骨骼箭头动画
12	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/page1.png	0	0	0	0	0.5	0.5	726	117	756	96	700	160	721.33	96	695.73	96	-1	页码底图
13	0	3	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	726	117	756	96	700	160	721.33	96	695.73	96	-1	页码值
14	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zuanshidiban.png	0	0	0	0	0.5	0.5	786	52	816	31	760	95	781.33	31	755.73	31	-1	钻石框
15	0	3	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	806	52	836	31	780	95	801.33	31	775.73	31	-1	钻石值
16	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbidiban.png	0	0	0	0	0.5	0.5	962	52	992	31	936	95	957.33	31	931.73	31	-1	金币框
17	0	3	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0.5	0.5	982	52	1012	31	956	95	977.33	31	951.73	31	-1	金币值
18	0	2	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	-43	56	-64	0	0	21.33	-64	-4.27	-64	-1	左侧挂载点
19	0	2	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	508	382	0	0	470	145	500	124	444	188	465.33	124	439.73	124	-1	右侧挂载点
20	0	5	0.8	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/qipao2.png	0	0	0	0	1	0.5	340	597	370	576	310	640	330	576	304.4	576	-1	指导回物品页箭头背板
21	0	6	0.8	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/diji.png	0	0	0	0	1	0.5	305	597	335	576	275	640	295	576	269.4	576	-1	指导回物品页文字
