INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	item1	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	9	298	9	298	9	298	9	298	9	298	-1	物品item1
1	0	0	1	0	item2	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	112	298	112	298	112	298	112	298	112	298	-1	物品item2
2	0	0	1	0	item3	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	215	298	215	298	215	298	215	298	215	298	-1	物品item3
3	0	0	1	0	item4	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	318	298	318	298	318	298	318	298	318	298	-1	物品item4
4	0	0	1	0	item5	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	421	298	421	298	421	298	421	298	421	298	-1	物品item5
5	0	0	1	0	item6	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	9	202	9	202	9	202	9	202	9	202	-1	物品item6
6	0	0	1	0	item7	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	112	202	112	202	112	202	112	202	112	202	-1	物品item7
7	0	0	1	0	item8	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	215	202	215	202	215	202	215	202	215	202	-1	物品item8
8	0	0	1	0	item9	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	318	202	318	202	318	202	318	202	318	202	-1	物品item9
9	0	0	1	0	item10	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	421	202	421	202	421	202	421	202	421	202	-1	物品item10
10	0	0	1	0	item11	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	9	107	9	107	9	107	9	107	9	107	-1	物品item11
11	0	0	1	0	item12	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	112	107	112	107	112	107	112	107	112	107	-1	物品item12
12	0	0	1	0	item13	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	215	107	215	107	215	107	215	107	215	107	-1	物品item13
13	0	0	1	0	item14	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	318	107	318	107	318	107	318	107	318	107	-1	物品item14
14	0	0	1	0	item15	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	421	107	421	107	421	107	421	107	421	107	-1	物品item15
15	0	0	1	0	item16	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	9	11	9	11	9	11	9	11	9	11	-1	物品item16
16	0	0	1	0	item17	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	112	11	112	11	112	11	112	11	112	11	-1	物品item17
17	0	0	1	0	item18	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	215	11	215	11	215	11	215	11	215	11	-1	物品item18
18	0	0	1	0	item19	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	318	11	318	11	318	11	318	11	318	11	-1	物品item19
19	0	0	1	0	item20	0	1	0	0	0	0	0	0	0	0	0	0	80	82	0	0	421	11	421	11	421	11	421	11	421	11	-1	物品item20
20	0	0	1	0	emptylock	0	1	0	0	0	0	0	0	0	resource/image/newpublic/c_normal.png	resource/image/newpublic/c_normal_l.png	resource/image/newpublic/key.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	空白和锁住图片定义
