INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	310	507.73	310	-1	背景1
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/diban.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	310	507.73	310	-1	背景2
2	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/biaoti_xianjiyuzhaohuan.png	0	0	0	0	0.5	0.5	538	623	568	602	512	666	533.33	592	507.73	592	-1	标题背景
3	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/boss/taofamw.png	0	0	0	0	0.5	0.5	538	623	568	602	512	666	533.33	592	507.73	592	-1	标题字
4	0	3	1	0	CCLabelTTFMultiline	0	1	0	91	0	0	0	0	0	0	0	0	500	200	0	1	166	557	196	536	140	600	161.33	526	135.73	526	-1	说明
5	0	3	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0	0	166	457	196	436	140	500	161.33	426	135.73	426	-1	倒计时
6	0	3	1	0	CCLabelTTF	0	1	0	117	0	0	0	0	0	0	0	0	0	0	0	0	296	457	326	436	270	500	291.33	426	265.73	426	-1	时间
7	0	3	1	0	DTAwardBoard	0	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	207	397	237	376	181	440	202.33	366	176.73	366	-1	兵1
8	0	3	1	0	DTAwardBoard	0	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	307	397	337	376	281	440	302.33	366	276.73	366	-1	兵2
9	0	3	1	0	DTAwardBoard	0	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	407	397	437	376	381	440	402.33	366	376.73	366	-1	兵3
10	0	3	1	0	DTAwardBoard	0	1	0	3	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	507	397	537	376	481	440	502.33	366	476.73	366	-1	兵4
11	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dikuang.png	0	0	0	0	0.5	0.5	616	397	646	376	590	440	611.33	366	585.73	366	-1	Boss底板
12	0	4	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dikuang.png	0	0	0	0	0.5	0.5	616	397	646	376	590	440	611.33	366	585.73	366	-1	Boss图片
13	0	5	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/waikuang.png	0	0	0	0	0.5	0.5	616	397	646	376	590	440	611.33	366	585.73	366	-1	Boss框
14	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/boss/renwu.png	0	0	0	0	0.5	0.5	646	341	676	320	620	384	641.33	310	615.73	310	-1	底板1
15	0	3	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0	0	306	287	336	266	280	330	301.33	256	275.73	256	-1	最高评分
16	0	3	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0	0	306	257	336	236	280	300	301.33	226	275.73	226	-1	当前排名
