INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newchat/liaotian_diban.png	0	0	490	328	0	0	0	0	0	0	0	0	0	0	0	0	-1	聊天底图
1	1	2	1	0	CTabMenuItemSprite	-16	1	0	0	0	0	0	0	0	resource/image/newchat/liaotian_tab_down.png	resource/image/newchat/liaotian_tab_up.png	0	105	55	0.5	0.5	58	362	58	362	58	362	58	362	58	362	-1	世界标签
2	1	3	1	0	CCLabelTTF	0	1	167	49	0	0	0	0	0	0	0	0	105	55	0.5	0.5	58	362	58	362	58	362	58	362	58	362	-1	世界标签文字
3	1	2	1	0	CTabMenuItemSprite	-16	1	0	0	0	0	0	0	0	resource/image/newchat/liaotian_tab_down.png	resource/image/newchat/liaotian_tab_up.png	0	105	55	0.5	0.5	185	362	185	362	185	362	185	362	185	362	-1	私聊标签
4	1	3	1	0	CCLabelTTF	0	1	168	49	0	0	0	0	0	0	0	0	105	55	0.5	0.5	185	362	185	362	185	362	185	362	185	362	-1	私聊标签图片
5	1	2	1	0	CMenuItemSprite	-16	1	0	0	0	0	0	0	0	resource/image/newchat/zuixiaohua_anniu_up.png	resource/image/newchat/zuixiaohua_anniu_down.png	0	105	55	0.5	0.5	660	365	660	365	660	365	660	365	660	365	-1	最小化按钮
6	1	6	1	0	CMenuItemSprite	-16	1	0	0	0	0	0	0	0	resource/image/newchat/liaotian_anniu_up.png	resource/image/newchat/liaotian_anniu_down.png	0	105	55	0.5	0.5	645	20	645	20	645	20	645	20	645	20	-1	发送按钮
7	1	6	1	0	CCLabelTTF	0	1	169	49	0	0	0	0	0	0	0	0	105	55	0.5	0.5	645	20	645	20	645	20	645	20	645	20	-1	发送按钮图片
8	1	5	1	0	CCEditBox	-16	1	0	49	0	0	0	0	0	resource/image/newchat/text_bg.png	resource/image/newchat/text_bg.png	0	470	40	1	0.5	600	20	600	20	600	20	600	20	600	20	-1	文本输入框
9	1	5	1	0	CCEditBox	-16	1	0	49	0	0	0	0	0	resource/image/newchat/text_bg.png	resource/image/newchat/text_bg.png	0	300	40	1	0.5	600	20	600	20	600	20	600	20	600	20	-1	文本输入框(缩小)
10	1	8	1	0	CLabelButton	-16	1	0	49	0	0	0	0	0	resource/image/newchat/liaotian_anniu_up.png	resource/image/newchat/liaotian_anniu_down.png	0	105	55	0.5	0.5	48	20	48	20	48	20	48	20	48	20	-1	频道
11	1	8	1	0	CLabelButton	-16	1	167	49	0	0	0	0	0	resource/image/newchat/liaotian_anniu_up.png	resource/image/newchat/liaotian_anniu_down.png	0	105	55	0.5	0.5	48	20	48	20	48	20	48	20	48	20	-1	频道(世界)
12	1	8	1	0	CLabelButton	-16	1	168	49	0	0	0	0	0	resource/image/newchat/liaotian_anniu_up.png	resource/image/newchat/liaotian_anniu_down.png	0	105	55	0.5	0.5	48	70	48	70	48	70	48	70	48	70	-1	频道（私人）
13	1	5	1	0	CCEditBox	-16	1	0	29	0	0	0	0	0	resource/image/newchat/text_bg.png	resource/image/newchat/text_bg.png	0	120	40	0.5	0.5	190	20	190	20	190	20	190	20	190	20	-1	名字框
14	1	6	1	0	CMenuItemSprite	-16	1	0	0	0	0	0	0	0	resource/image/newchat/xiangshangjiantou_anni_liaotian.png	resource/image/newchat/xiangshangjiantou_anni_liaotian_down.png	0	80	40	0	0.5	240	20	240	20	240	20	240	20	240	20	-1	名字框按钮
