INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CPriorityLayerColor	-150	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	遮罩层
1	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxzhb/chakan_diban.png	0	0	0	0	0.5	0.5	564	384	568	320	512	384	533.33	320	507.73	320	-1	"kHE_BG,"
2	0	4	1	0	CMenuItemSprite	-151	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	732	500	736	436	680	500	701.33	436	675.73	436	-1	关闭按钮
3	0	5	1	0	CCLabelTTF	0	1	6038	107	0	0	0	0	0	0	0	0	0	0	0	0.5	452	470	456	406	400	470	421.33	406	395.73	406	-1	当前统帅力：
4	0	5	1	0	CCLabelTTF	0	1	0	111	0	0	0	0	0	0	0	0	0	0	0	0.5	592	470	596	406	540	470	561.33	406	535.73	406	-1	当前统帅力内容
5	0	5	1	0	CCLabelTTF	0	1	6039	83	0	0	0	0	0	0	0	0	0	0	0	0.5	452	410	456	346	400	410	421.33	346	395.73	346	-1	出战英雄等级：
6	0	5	1	0	CCLabelTTF	0	1	0	84	0	0	0	0	0	0	0	0	0	0	0	0.5	602	410	606	346	550	410	571.33	346	545.73	346	-1	出战英雄等级内容
7	0	5	1	0	CCLabelTTF	0	1	6040	83	0	0	0	0	0	0	0	0	0	0	0	0.5	452	370	456	306	400	370	421.33	306	395.73	306	-1	基础HP：
8	0	5	1	0	CCLabelTTF	0	1	0	84	0	0	0	0	0	0	0	0	0	0	0	0.5	602	370	606	306	550	370	571.33	306	545.73	306	-1	基础HP内容
9	0	5	1	0	CCLabelTTF	0	1	6041	83	0	0	0	0	0	0	0	0	0	0	0	0.5	452	330	456	266	400	330	421.33	266	395.73	266	-1	基础MP：
10	0	5	1	0	CCLabelTTF	0	1	0	84	0	0	0	0	0	0	0	0	0	0	0	0.5	602	330	606	266	550	330	571.33	266	545.73	266	-1	基础MP内容
11	0	5	1	0	CCLabelTTF	0	1	6042	83	0	0	0	0	0	0	0	0	0	0	0	0.5	452	290	456	226	400	290	421.33	226	395.73	226	-1	基础攻击：
12	0	5	1	0	CCLabelTTF	0	1	0	84	0	0	0	0	0	0	0	0	0	0	0	0.5	602	290	606	226	550	290	571.33	226	545.73	226	-1	基础攻击内容
