INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newclimb/diban.png	0	0	0	0	0	0	55	0	108	-80	0	0	38.7	-80	13.1	-80	-1	背景
1	0	1	1	0	CCLabelTTF	0	1	438	48	0	0	0	0	0	0	0	0	0	0	0	0	115	480	168	400	60	480	98.7	400	73.1	400	-1	我的排名
2	0	1	1	0	CCLabelTTF	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	0	225	480	278	400	170	480	208.7	400	183.1	400	-1	排名数值
3	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hongseanniu_zhengc.png	resource/image/newpublic/hongseanniu_anxia.png	0	0	0	0.5	0.5	165	430	218	350	110	430	148.7	350	123.1	350	-1	排行榜按钮
4	0	2	1	0	CCLabelTTF	0	1	2000	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	165	430	218	350	110	430	148.7	350	123.1	350	-1	排行榜文字
5	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jiangli.png	resource/image/newpublic/jiangli_l.png	0	0	0	0.5	0.5	425	460	478	380	370	460	408.7	380	383.1	380	-1	宝箱按钮
6	0	0	1.2	0	SceneEffect	0	1	0	0	0	2056	0	0	0	0	0	0	0	0	0.5	0.5	425	460	478	380	370	460	408.7	380	383.1	380	-1	宝箱按钮后的闪光
7	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newclimb/getiao.png	0	0	0	0	0	0	97	380	150	300	42	380	80.7	300	55.1	300	-1	线1
8	0	1	1	0	CCLabelTTFMultiline	0	1	447	42	0	0	0	0	0	0	0	0	330	80	0	1	125	350	178	270	70	350	108.7	270	83.1	270	-1	说明文字
9	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newclimb/getiao.png	0	0	0	0	0	0	97	250	150	170	42	250	80.7	170	55.1	170	-1	线2
10	0	1	1	0	CCLabelTTF	0	1	439	49	0	0	0	0	0	0	0	0	0	0	1	0.5	320	185	380	105	275	185	310.7	105	285.1	105	-1	今日挑战次数
11	0	1	1	0	CCLabelTTF	0	1	0	97	0	0	0	0	0	0	0	0	0	0	0	0.5	335	185	395	105	290	185	325.7	105	300.1	105	-1	次数值
12	1	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zengjia_01.png	resource/image/newpublic/zengjia_02.png	0	0	0	0	0.5	380	185	440	105	340	185	370.7	105	345.1	105	-1	增加次数按钮
13	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_2_g.png	0	0	0.5	0.5	295	100	348	20	240	100	278.7	20	253.1	20	-1	开始按钮
14	0	2	1	0	CCLabelTTF	0	1	2001	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	295	100	348	20	240	100	278.7	20	253.1	20	-1	开始按钮文字
15	1	3	1	-90	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/dotajt.json	resource/spine/dotajt.atlas	zzdaiji	0	0	0.5	0.5	240	100	290	20	180	100	235	20	209.4	20	-1	骨骼箭头动画
