INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newclimb/diban.png	0	0	0	0	0	0	55	0	108	-80	0	0	38.7	-80	13.1	-80	-1	背景
1	0	1	1	0	CCLabelTTF	0	1	438	48	0	0	0	0	0	0	0	0	0	0	0	0	115	480	168	400	60	480	98.7	400	73.1	400	-1	我的排名
2	0	1	1	0	CCLabelTTF	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	0	225	480	278	400	170	480	208.7	400	183.1	400	-1	排名数值
3	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/hongseanniu_zhengc.png	resource/image/newpublic/hongseanniu_anxia.png	0	0	0	0.5	0.5	165	430	218	350	110	430	148.7	350	123.1	350	-1	排行榜按钮
4	0	2	1	0	CCLabelTTF	0	1	2000	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	165	430	218	350	110	430	148.7	350	123.1	350	-1	排行榜文字
5	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jiangli.png	resource/image/newpublic/jiangli_l.png	0	0	0	0.5	0.5	425	460	478	380	370	460	408.7	380	383.1	380	-1	宝箱按钮
6	0	0	1.2	0	SceneEffect	0	1	0	0	0	2056	0	0	0	0	0	0	0	0	0.5	0.5	425	460	478	380	370	460	408.7	380	383.1	380	-1	宝箱按钮后的闪光
7	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newclimb/getiao.png	0	0	0	0	0	0	97	380	150	300	42	380	80.7	300	55.1	300	-1	线1
8	0	1	1	0	CCLabelTTF	0	1	616	4	0	0	0	0	0	0	0	0	0	0	0	0	125	350	178	270	70	350	108.7	270	83.1	270	-1	下一层经验
9	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	275	350	328	270	220	350	258.7	270	233.1	270	-1	下一层经验值
