INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	ScaleSprite	0	1	0	0	0	0	0	0	0	resource/image/newclimb/bg.png	0	0	1024	0	0.5	0	535	-30	568	-94	512	0	533.33	-94	507.73	-94	-1	背景1
1	0	0	1	0	ScaleSprite	0	1	0	0	0	0	0	0	0	resource/image/newclimb/bg.png	0	0	1024	0	0.5	0	535	738	568	674	512	768	533.33	674	507.73	674	-1	背景2
2	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0	0	992	645	1055	560	940	690	981.33	560	946.73	560	-1	关闭按钮
3	0	1	0.6	0	MaskNode	0	1	0	0	0	0	0	0	120	0	0	0	230	192	0	0	220	190	256	190	200	190	221.33	190	195.73	190	-1	闯关的人
4	0	3	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	83	550	83	550	83	550	83	550	83	-1	右侧展示板挂载点
5	0	1	1	0	MaskNode	0	1	0	42	20	0	0	0	0	0	0	0	0	0	0.5	0	260	165	260	165	260	165	260	165	260	165	-1	地图层数字1
6	0	1	1	0	MaskNode	0	1	0	42	20	0	0	0	0	0	0	0	0	0	0.5	0	260	357	260	357	260	357	260	357	260	357	-1	地图层数字2
7	0	1	1	0	MaskNode	0	1	0	42	20	0	0	0	0	0	0	0	0	0	0.5	0	255	555	255	555	255	555	255	555	255	555	-1	地图层数字3
8	0	1	1	0	MaskNode	0	1	0	42	20	0	0	0	0	0	0	0	0	0	0.5	0	255	745	255	745	255	745	255	745	255	745	-1	地图层数字4
9	0	0	1	0	MaskNode	0	1	0	0	0	2023	0	0	100	0	0	0	0	0	0	0	220	165	250	165	180	150	216.33	180	190.73	180	-1	动画定义节点
10	0	3	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	奖励面板挂载点
