INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CPriorityLayerColor	0	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	26	-43	56	-64	0	0	21.33	-64	-4.27	-64	-1	灰层
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/rewarddiban.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	底板图片
2	0	1	1	0	CCLabelTTF	0	1	2046	84	0	0	0	0	0	0	0	0	0	0	0	0.5	226	477	256	456	200	520	221.33	456	195.73	456	-1	试练塔层数奖励文字
3	0	1	1	0	CCLabelTTF	0	1	2047	84	0	0	0	0	0	0	0	0	0	0	0	0.5	646	457	676	436	620	500	641.33	436	615.73	436	-1	我的最好成绩
4	0	1	1	0	CCLabelTTF	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	0.5	796	457	826	436	770	500	791.33	436	765.73	436	-1	我的最好成绩值
5	0	1	1	0	CCLabelTTF	0	1	2048	84	0	0	0	0	0	0	0	0	0	0	0	0.5	646	377	676	356	620	420	641.33	356	615.73	356	-1	我的排名
6	0	1	1	0	CCLabelTTF	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	0.5	756	377	786	356	730	420	751.33	356	725.73	356	-1	我的排名值
7	0	1	1	0	CCLabelTTF	0	1	2049	84	0	0	0	0	0	0	0	0	0	0	0	0.5	646	302	676	281	620	345	641.33	281	615.73	281	-1	下一阶段奖励
8	0	1	1	0	DTAwardBoard	-1	1	0	3	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	756	237	786	216	730	280	751.33	216	725.73	216	-1	奖励物品
9	0	1	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	756	177	786	156	730	220	751.33	156	725.73	156	-1	物品名称
10	0	1	1	0	CMenuItemSprite	-1	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	756	127	786	106	730	170	751.33	106	725.73	106	-1	领取按钮
11	0	1	1	0	CCLabelTTF	0	1	2051	104	0	0	0	0	0	0	0	0	0	0	0.5	0.5	756	127	786	106	730	170	751.33	106	725.73	106	-1	领取字
12	0	1	1	0	CCLabelTTF	0	1	0	88	0	0	0	0	0	0	0	0	0	0	0.5	0.5	756	77	786	56	730	120	751.33	56	725.73	56	-1	领取条件
13	0	1	1	0	CTableView	-1	0	0	0	0	0	0	0	0	0	0	0	500	390	0	0	186	73	216	52	160	116	181.33	52	155.73	52	-1	udTABLEVIEW
14	0	0	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	500	120	0	0	0	0	0	0	0	0	0	0	0	0	-1	udTABLEVIEWCELL
15	0	1	1	0	CMenuItemSprite	-1	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0	0	836	492	866	471	810	535	831.33	471	805.73	471	-1	关闭按钮
16	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newclimb/sltjli.png	0	0	0	0	0.5	0.5	538	541	568	520	512	584	533.33	520	507.73	520	-1	底板标题文字
17	0	0	1	0	CCSprite	0	1	13	0	0	0	0	0	0	resource/image/newpublic/segement.png	0	0	0	0	0	0	633	417	663	396	607	460	598.33	417	572.73	417	-1	 隔条
18	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/downarrow.png	0	0	0	0	0.5	0.5	380	45	420	20	360	86	380	23	354.4	23	-1	向下更多箭头
19	0	2	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jiantou_a.json	resource/spine/ui_jiantou_a.atlas	ui_jiantou_a	0	0	0.5	0.5	380	45	420	20	360	86	380	23	354.4	23	-1	下骨骼箭头动画
