INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxinyang/xinxikuang.png	0	0	0	0	0.5	0.5	432	337	436	316	380	380	401.33	316	375.73	316	-1	左背景
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/youxiakuang.png	0	0	0	0	0.5	0.5	902	537	906	516	850	580	871.33	516	845.73	516	-1	信仰点数背景
2	0	1	1	0	CCLabelTTF	0	1	395	84	0	0	0	0	0	0	0	0	0	0	0.5	0.5	832	537	836	516	780	580	801.33	516	775.73	516	-1	信仰点数文字
3	0	1	1	0	CCLabelTTF	0	1	70	49	0	0	0	0	0	0	0	0	0	0	0	0.5	902	537	906	516	850	580	871.33	516	845.73	516	-1	信仰点数
4	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/npc_xinyang.png	0	0	0	0	0.5	0.5	926	332	930	311	872	375	895.33	311	869.73	311	-1	人
5	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	902	177	906	156	850	220	871.33	156	845.73	156	-1	祈愿按钮
6	0	1	1	0	CCLabelTTF	0	1	361	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	902	177	906	156	850	220	871.33	156	845.73	156	-1	祈愿按钮文字
7	1	2	1	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/dotajt.json	resource/spine/dotajt.atlas	zzdaiji	0	0	0.5	0.5	902	195	906	170	850	240	871.33	170	845.73	170	-1	骨骼箭头动画
8	1	1	1	0	CCLabelTTF	0	1	70	49	0	0	0	0	0	0	0	0	0	0	1	0.5	902	122	906	100	850	165	871.33	100	845.73	100	-1	祈愿消耗钻石数量
9	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zs_icon_b.png	0	0	0	0	0	0.5	912	127	916	105	865	170	881.33	105	855.73	105	-1	祈愿消耗钻石图
10	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dengjikuang.png	0	0	0	0	0.5	0.5	822	197	826	176	770	240	791.33	176	765.73	176	-1	祈愿免费次数角标
11	1	1	1	0	CCLabelTTF	0	1	70	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	822	197	826	176	770	240	791.33	176	765.73	176	-1	祈愿免费次数
12	0	1	1	0	CCLabelTTF	0	1	357	49	0	0	0	0	0	0	0	0	0	0	0	0.5	192	217	196	196	140	260	161.33	196	135.73	196	-1	信仰名字等级
13	0	1	1	0	CCLabelTTF	0	1	358	84	0	0	0	0	0	0	0	0	0	0	0	0.5	192	187	196	166	140	230	161.33	166	135.73	166	-1	下一级属性提升
14	0	1	1	0	CCLabelTTF	0	1	359	85	0	0	0	0	0	0	0	0	0	0	0	0.5	192	157	196	136	140	200	161.33	136	135.73	136	-1	消耗信仰点数
15	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	602	177	606	156	550	220	571.33	156	545.73	156	-1	升级按钮
16	0	1	1	0	CCLabelTTF	0	1	83	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	602	177	606	156	550	220	571.33	156	545.73	156	-1	升级按钮文字
17	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/arrow_l.png	resource/image/newpublic/arrow_l_l.png	0	0	0	0.5	0.5	147	417	151	396	95	460	116.33	396	90.73	396	-1	左箭头
18	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/arrow_r.png	resource/image/newpublic/arrow_r_l.png	0	0	0	0.5	0.5	717	417	721	396	665	460	686.33	396	660.73	396	-1	右箭头
19	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/page1.png	0	0	0	0	0.5	0.5	422	277	426	256	370	320	391.33	256	365.73	256	-1	页签背景
20	0	1	1	0	CCLabelTTF	0	1	409	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	422	277	426	256	370	320	391.33	256	365.73	256	-1	页签数字数
