INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	3	1	0	CImMenuItemSpriteSI	-5	0	0	0	0	0	0	0	0	resource/image/newadventure/putongguanqia.png	0	0	0	0	0	0	5	0	5	0	5	0	5	0	5	0	-1	ÆÕÍ¨±³¾°
1	1	3	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newadventure/jingyingguanqia.png	resource/image/newadventure/putongguanqia.png	0	0	0	0.5	0.5	0	10	0	10	0	10	0	10	0	10	-1	¾«Ó¢±³¾°
2	1	3	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/newadventure/sxjiangli.png	0	0	0	0	0.5	0.5	0	10	0	10	0	10	0	10	0	10	-1	½±Àø±³¾°
3	0	3	1	0	CCLabelTTF	0	1	147	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	100	167	100	167	100	167	100	167	100	167	-1	Ð¡¹Ø¿¨Ãû³Æ
4	0	3	1	0	CSprite	0	1	0	0	0	0	0	0	0	resource/image/newadventure/xing_guanqia_liang.png	resource/image/newadventure/xing_guanqia_hui.png	0	0	0	0.5	0.5	55	110	55	110	55	110	55	110	55	110	-1	ÐÇÐÇ1
5	0	3	1	0	CSprite	0	1	0	0	0	0	0	0	0	resource/image/newadventure/xing_guanqia_liang.png	resource/image/newadventure/xing_guanqia_hui.png	0	0	0	0.5	0.5	95	110	95	110	95	110	95	110	95	110	-1	ÐÇÐÇ2
6	0	3	1	0	CSprite	0	1	0	0	0	0	0	0	0	resource/image/newadventure/xing_guanqia_liang.png	resource/image/newadventure/xing_guanqia_hui.png	0	0	0	0.5	0.5	135	110	135	110	135	110	135	110	135	110	-1	ÐÇÐÇ3
7	0	3	1	0	CCLabelTTF	0	1	147	16	0	0	0	0	0	0	0	0	0	0	0.5	0.5	90	60	90	60	90	60	90	60	90	60	-1	´ÎÊý±êÇ©
8	0	3	1	0	CCLabelTTF	0	1	147	16	0	0	0	0	0	0	0	0	0	0	0.5	0.5	90	35	90	35	90	35	90	35	90	35	-1	ÊýÖµ±êÇ©
9	0	4	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newadventure/xuanzhonng_guanqia.png	0	0	0	0	0	0	5	0	5	0	5	0	5	0	5	0	-1	¸ßÁÁÃÉ°å
10	0	5	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newadventure/jian.png	0	0	0	0	0.5	0.5	95	210	95	210	95	210	95	210	95	210	-1	Ë«µ¶
11	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newadventure/suo_guanqia.png	0	0	0	0	0.5	0.5	95	90	95	90	95	90	95	90	95	90	-1	ËøËø
12	0	6	1	0	CCLabelTTF	0	1	25	105	0	0	0	0	0	0	0	0	0	0	0.5	0.5	95	110	95	110	95	110	95	110	95	110	-1	ÊýÖµ±êÇ©
