INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newtouxiang/dik.png	0	0	0	0	0	0	25	630	25	630	25	630	25	630	25	630	-1	头像相框
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newtouxiang/touxxiang_dise.png	0	0	0	0	0	0	48	648	48	648	48	648	48	648	48	648	-1	头像相框底
2	0	2	0.85	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	101	695	101	695	101	695	101	695	101	695	-1	头像
3	0	5	1	0	CCLabelTTF	0	1	0	76	0	0	0	0	0	0	0	0	0	0	0.5	0.5	143	657	143	657	143	657	143	657	143	657	-1	等级值
4	0	5	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0.5	182	700	182	700	182	700	182	700	182	700	-1	钻石值
5	0	5	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0.5	310	700	310	700	310	700	310	700	310	700	-1	金币值
6	0	5	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0.5	182	725	182	725	182	725	182	725	182	725	-1	战力值
7	0	5	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0.5	310	725	310	725	310	725	310	725	310	725	-1	体力值
8	0	5	1	0	CCLabelTTF	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0.5	0.5	263	648	263	648	263	648	263	648	263	648	-1	名字
9	0	5	1	0	CProgressInnerBar	0	1	0	0	0	0	0	0	0	resource/image/newtouxiang/jindut.png	0	0	0	0	0	0	155	669	155	669	155	669	155	669	155	669	-1	经验条
10	0	2	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	战力提升秒数WIDTH配的秒注意只能小数点后一位
11	0	5	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newtouxiang/tj_zx.png	resource/image/newtouxiang/tj_ax.png	0	0	0	0.5	0.5	410	725	410	725	410	725	410	725	410	725	-1	增加体力按钮
