INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/beijingditu.png	0	0	0	0	0.5	0.5	540	360	568	320	512	384	533.33	320	507.73	320	-1	底板背景
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/floor1.png	0	0	0	0	0.5	0.5	540	360	568	320	512	384	533.33	320	507.73	320	-1	大木板背景
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newemail/kuang.png	0	0	0	0	0.5	0.5	540	406	568	366	512	430	533.33	366	507.73	366	-1	背景
3	0	10	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1018	640	1046	600	990	664	1011.33	600	985.73	600	-1	关闭按钮
4	0	2	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tab.png	resource/image/newpublic/tab_l.png	0	0	0	0.5	0.5	178	586	206	546	150	610	171.33	546	145.73	546	-1	系统按钮
5	0	2	1	0	CTabMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tab.png	resource/image/newpublic/tab_l.png	0	0	0	0.5	0.5	358	586	386	546	330	610	351.33	546	325.73	546	-1	个人按钮
6	0	5	1	0	CCLabelTTF	0	1	6002	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	178	586	206	546	150	610	171.33	546	145.73	546	-1	系统按钮文字
7	0	5	1	0	CCLabelTTF	0	1	6003	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	358	586	386	546	330	610	351.33	546	325.73	546	-1	个人按钮文字
8	0	3	1	0	CCSprite	0	1	0	96	0	0	0	0	0	resource/image/newemail/souk.png	0	0	0	0	0.5	0.5	688	506	716	466	660	530	681.33	466	655.73	466	-1	名字框
9	0	3	1	0	CCLabelTTF	0	1	6004	96	0	0	0	0	0	0	0	0	0	0	0.5	0.5	558	506	586	466	530	530	551.33	466	525.73	466	-1	发送人：
