INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newtips/zbtips_diban.png	0	0	0	0	0.5	0.5	564	341	568	320	512	384	533.33	320	507.73	320	-1	对比的已装备的背景
1	0	3	1	0	CCLabelTTF	0	1	0	46	0	0	0	0	0	0	0	0	0	0	0.5	0.5	592	491	596	470	540	534	561.33	470	535.73	470	-1	名字
2	0	2	1	0	CCLabelTTF	0	1	0	80	0	0	0	0	0	0	0	0	0	0	0	0.5	512	462	516	441	460	505	481.33	441	455.73	441	-1	武器类型名
3	0	3	1	0	HeroEquipBoard	0	1	0	101	0	0	0	0	0	resource/image/newpublic/c_normal.png	resource/image/newpublic/equip_01.png	resource/image/newpublic/dengjikuang.png	0	0	0	0	409	426	413	405	357	469	378.33	405	352.73	405	-1	"kEBOARD,"
4	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	426	385	430	364	374	428	395.33	364	369.73	364	-1	基本属性
5	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	518	385	522	364	466	428	487.33	364	461.73	364	-1	基本属性值
6	1	3	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	612	437	616	416	560	480	581.33	416	555.73	416	-1	金币数
7	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon_b.png	0	0	0	0	0	0.5	622	437	626	416	570	480	591.33	416	565.73	416	-1	金币图标
8	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	426	334	430	313	374	377	395.33	313	369.73	313	-1	附加1
9	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	518	334	522	313	466	377	487.33	313	461.73	313	-1	附加1值
10	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	426	307	430	286	374	350	395.33	286	369.73	286	-1	附加2
11	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	518	307	522	286	466	350	487.33	286	461.73	286	-1	附加2值
12	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	426	280	430	259	374	323	395.33	259	369.73	259	-1	附加3
13	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	518	280	522	259	466	323	487.33	259	461.73	259	-1	附加3值
14	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	426	253	430	232	374	296	395.33	232	369.73	232	-1	附加4
15	0	2	1	0	CCLabelTTF	0	1	0	42	0	0	0	0	0	0	0	0	0	0	0	0.5	518	253	522	232	466	296	487.33	232	461.73	232	-1	附加4值
16	1	3	1	0	CMenuItemSprite	-102	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	476	147	480	126	424	190	445.33	126	419.73	126	-1	出售按钮
17	1	4	1	0	CCLabelTTF	0	1	6013	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	476	147	480	126	424	190	445.33	126	419.73	126	-1	出售按钮文字
18	1	3	1	0	CMenuItemSprite	-102	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	652	147	656	126	600	190	621.33	126	595.73	126	-1	装备按钮
19	1	4	1	0	CCLabelTTF	0	1	6014	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	652	147	656	126	600	190	621.33	126	595.73	126	-1	装备按钮文字
20	1	3	1	0	CMenuItemSprite	-102	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	538	147	568	126	512	190	533.33	126	507.73	126	-1	卸载按钮
21	1	4	1	0	CCLabelTTF	0	1	6015	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	147	568	126	512	190	533.33	126	507.73	126	-1	卸载按钮文字
22	0	4	1	0	CMenuItemSprite	-102	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	722	529	726	508	670	572	691.33	508	665.73	508	-1	关闭按钮
23	1	2	1	0	CCLabelTTF	0	1	190	42	0	0	0	0	0	0	0	0	0	0	0	0.5	512	437	516	416	460	480	481.33	416	455.73	416	-1	"kPRICE,"
