INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/xxk1.png	0	0	0	0	0	0	411	179	441	158	385	222	406.33	158	380.73	158	-1	右背景
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jindutiao_di_xs.png	0	0	0	0	0	0	746	521	776	500	720	564	741.33	500	715.73	500	-1	经验条底图
2	0	1	1	0	CCProgressTimer	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jindutiao_xianjis.png	0	0	0	0	0	0	769	528	799	507	743	571	764.33	507	738.73	507	-1	经验条
3	0	1	1	0	DTAwardBoard	0	1	0	3	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	566	517	596	496	540	560	561.33	496	535.73	496	-1	装备背景
4	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	500	139	530	118	474	182	495.33	118	469.73	118	-1	选择按钮
5	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	resource/image/newpublic/button_g.png	0	0	0.5	0.5	666	139	696	118	640	182	661.33	118	635.73	118	-1	购买按钮
6	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dahongseanniu_down.png	resource/image/newpublic/dahongseanniu_up.png	resource/image/newpublic/dahongseanniu_downhui.png	0	0	0.5	0.5	944	139	974	118	918	182	939.33	118	913.73	118	-1	升级按钮
7	0	1	1	0	CCLabelTTF	0	1	4032	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	500	139	530	118	474	182	495.33	118	469.73	118	-1	选择按钮文字
8	0	1	1	0	CCLabelTTF	0	1	4004	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	666	139	696	118	640	182	661.33	118	635.73	118	-1	购买按钮文字
9	0	1	1	0	CCLabelTTF	0	1	4005	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	944	139	974	118	918	182	939.33	118	913.73	118	-1	升级按钮文字
10	0	1	1	0	CCLabelTTF	0	1	77	91	0	0	0	0	0	0	0	0	0	0	0	0.5	626	537	656	516	600	580	621.33	516	595.73	516	-1	等级文字
11	0	1	1	0	CCLabelTTF	0	1	77	81	0	0	0	0	0	0	0	0	0	0	0	0.5	671	537	701	516	645	580	666.33	516	640.73	516	-1	等级
12	0	1	1	0	CCLabelTTF	0	1	77	91	0	0	0	0	0	0	0	0	0	0	0	0.5	626	497	656	476	600	540	621.33	476	595.73	476	-1	主属性文字
13	0	1	1	0	CCLabelTTF	0	1	77	81	0	0	0	0	0	0	0	0	0	0	0	0.5	671	497	701	476	645	540	666.33	476	640.73	476	-1	主属性
14	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jinbi_icon_b.png	0	0	0	0	0	0.5	971	90	1001	69	945	133	966.33	69	940.73	69	-1	金币图标
15	0	1	1	0	CCLabelTTF	0	1	4005	83	0	0	0	0	0	0	0	0	0	0	1	0.5	966	90	996	69	940	133	961.33	69	935.73	69	-1	金币
16	0	5	1	0	CTableView	-5	0	0	0	0	0	0	0	0	0	0	0	520	240	0	0	461	187	491	166	435	230	456.33	166	430.73	166	-1	udTABLEVIEW
17	0	1	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	254	140	0	0	0	0	0	0	0	0	0	0	0	0	-1	udTABLEVIEWCELL
18	0	10	1	0	MaskNode	0	1	0	0	0	2024	0	0	0	resource/image/newpublic/zhuangbeishengji.png	0	0	0	0	0	0	545	368	575	350	522	410	540.33	350	514.73	350	-1	特效挂载点
19	1	5	1	0	CCLabelTTFMultiline	0	1	662	23	0	0	0	0	0	0	0	0	480	0	0.5	0	736	307	766	286	710	350	731.33	286	705.73	286	-1	无素材卡提示
20	1	5	1	0	CCLabelTTFMultiline	0	1	4034	23	0	0	0	0	0	0	0	0	480	0	0.5	0	736	307	766	286	710	350	731.33	286	705.73	286	-1	无经验珠提示
21	0	10	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	180	696	160	640	220	661.33	160	635.73	160	-1	特效挂载点
22	0	1	1	0	CPriorityLayerColor	0	1	0	0	0	0	0	0	125	0	0	0	550	220	0	0	445	195	475	180	420	240	440	175	414.4	175	-1	一键添加材料
23	0	1	1.5	0	CSkeletonAnimation	0	1	0	0	0	0	0	0	0	resource/spine/ui_jinengtianjia_a.json	resource/spine/ui_jinengtianjia_a.atlas	ui_jinengtianjia_a	0	0	0.5	0.5	625	295	655	280	550	350	620	275	594.4	275	-1	加号
24	0	1	1	0	CCLabelTTF	0	1	4031	23	0	0	0	0	0	0	0	0	550	220	0	0.5	675	295	705	280	600	350	670	275	644.4	275	-1	一键添加文字
