INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
1	0	1	1	0	CPriorityLayerColor	-190	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	»Ò²ã
2	0	2	1.5	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	320	480	350	420	290	480	315.33	410	289.73	410	-1	È¦1
3	0	3	1	270	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	-90	-90	0.5	0.5	383	500	420	460	320	500	385.33	460	359.73	460	-1	¼ýÍ·1
4	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	490	340	520	340	470	330	485.33	340	459.73	340	-1	È¦2
5	0	3	1	180	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	180	0	0.5	0.5	480	400	520	400	470	400	485.33	400	459.73	400	-1	¼ýÍ·2
6	1	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	500	190	0.5	0.5	750	150	750	130	725	150	715.33	130	689.73	130	-1	±³¾°1
7	1	3	1	0	CCLabelTTFMultiline	0	1	670	68	0	0	0	0	0	0	0	0	430	140	0.5	0.5	755	145	755	125	730	150	720.33	125	694.73	125	-1	ÎÄ×Ö1
8	0	2	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	500	210	0.5	0.5	628	500	665	500	565	500	630.33	500	604.73	500	-1	±³¾°2
9	0	3	1	0	CCLabelTTFMultiline	0	1	669	68	0	0	0	0	0	0	0	0	430	180	0.5	0.5	638	490	675	490	575	495	640.33	490	614.73	490	-1	ÎÄ×Ö2
10	1	2	2	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	370	160	400	110	350	160	365.33	110	339.73	110	-1	È¦3
11	1	3	1	270	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	180	0	0.5	0.5	505	160	505	120	480	160	470.33	120	444.73	120	-1	¼ýÍ·3
