INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-10	1	0	0	0	0	0	0	0	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	¸ô¾ø²ã
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/zhaohuangongyong_beijingtu.png	0	0	0	0	0.5	0.5	564	341	568	320	512	384	533.33	320	507.73	320	-1	"udBG,"
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/biaoti.png	0	0	0	0	0.5	0.5	564	617	568	596	512	660	533.33	596	507.73	596	-1	udBGTITLE
3	0	3	1	0	CMenuItemSprite	-13	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1037	612	1041	591	985	655	1006.33	591	980.73	591	-1	udCLOSEBTN
4	0	3	1	0	CCLabelTTF	0	1	285	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	922	119	926	98	870	162	891.33	98	865.73	98	-1	"udCONFIRMLB,"
5	0	2	1	0	CMenuItemSprite	-13	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	922	119	926	98	870	162	891.33	98	865.73	98	-1	"udCONFIRMBTN,"
6	0	3	1	0	CMenuItemSpriteSelected	-13	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_bg_2.png	resource/image/newpublic/toggle_2.png	0	0	0	0.5	0.5	125	109	129	88	73	152	94.33	88	68.73	88	-1	"udTOGGLE1,"
7	0	3	1	0	CMenuItemSpriteSelected	-13	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_bg_2.png	resource/image/newpublic/toggle_2.png	0	0	0	0.5	0.5	275	109	279	88	223	152	244.33	88	218.73	88	-1	"udTOGGLE2,"
8	0	3	1	0	CMenuItemSpriteSelected	-13	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_bg_2.png	resource/image/newpublic/toggle_2.png	0	0	0	0.5	0.5	425	109	429	88	373	152	394.33	88	368.73	88	-1	"udTOGGLE3,"
9	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/tubiaomingchengdiban.png	0	0	0	0	0.5	0.5	177	99	181	78	125	142	146.33	78	120.73	78	-1	"udTOGGLE1_BG1,"
