INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CImMenuItemSprite	-11	1	0	0	0	0	0	0	0	resource/image/newqianghua/xxk_x.png	resource/image/newqianghua/xxk_x.png	0	240	135	0	0	0	10	0	10	0	10	0	10	0	10	-1	背景1
1	0	1	1	0	CImMenuItemSprite	-11	1	0	0	0	0	0	0	0	resource/image/newqianghua/xxk_x.png	resource/image/newqianghua/xxk_x.png	0	240	135	0	0	296	10	296	10	296	10	296	10	296	10	-1	背景2
2	0	1	1	0	CImMenuItemSprite	-11	1	0	0	0	0	0	0	0	resource/image/newqianghua/xxk_x.png	resource/image/newqianghua/xxk_x.png	0	240	135	0	0	592	10	592	10	592	10	592	10	592	10	-1	背景3
3	0	2	1	0	HeroEquipBoard	0	1	0	92	0	0	0	0	0	resource/image/newpublic/c_normal.png	resource/image/newpublic/equip_01.png	resource/image/newpublic/dengjikuang.png	0	0	0.5	0.5	14	40	14	40	14	40	14	40	14	40	-1	item框1
4	0	2	1	0	HeroEquipBoard	0	1	0	92	0	0	0	0	0	resource/image/newpublic/c_normal.png	resource/image/newpublic/equip_02.png	resource/image/newpublic/dengjikuang.png	0	0	0.5	0.5	310	40	310	40	310	40	310	40	310	40	-1	item框2
5	0	2	1	0	HeroEquipBoard	0	1	0	92	0	0	0	0	0	resource/image/newpublic/c_normal.png	resource/image/newpublic/equip_03.png	resource/image/newpublic/dengjikuang.png	0	0	0.5	0.5	606	40	606	40	606	40	606	40	606	40	-1	item框3
6	0	3	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	0	0	100	97	100	97	100	97	100	97	100	97	-1	装备名称1
7	0	3	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	0	0	396	97	396	97	396	97	396	97	396	97	-1	装备名称2
8	0	3	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	0	0	692	97	692	97	692	97	692	97	692	97	-1	装备名称3
9	0	3	1	0	CCLabelTTF	0	1	0	46	0	0	0	0	0	0	0	0	0	0	0.5	0.5	56	25	56	25	56	25	56	25	56	25	-1	类型1
10	0	3	1	0	CCLabelTTF	0	1	0	46	0	0	0	0	0	0	0	0	0	0	0.5	0.5	352	25	352	25	352	25	352	25	352	25	-1	类型2
11	0	3	1	0	CCLabelTTF	0	1	0	46	0	0	0	0	0	0	0	0	0	0	0.5	0.5	648	25	648	25	648	25	648	25	648	25	-1	类型3
12	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/xuank.png	0	0	0	0	0	0.5	190	45	190	45	190	45	190	45	190	45	-1	选中1背景
13	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/xuank.png	0	0	0	0	0	0.5	486	45	486	45	486	45	486	45	486	45	-1	选中2背景
14	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/xuank.png	0	0	0	0	0	0.5	782	45	782	45	782	45	782	45	782	45	-1	选中3背景
15	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_2.png	0	0	0	0	0	0.5	190	45	190	45	190	45	190	45	190	45	-1	选中1
16	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_2.png	0	0	0	0	0	0.5	486	45	486	45	486	45	486	45	486	45	-1	选中2
17	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_2.png	0	0	0	0	0	0.5	782	45	782	45	782	45	782	45	782	45	-1	选中3
18	0	3	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star.png	0	0	1	0	0	0.5	100	68	100	68	100	68	100	68	100	68	-1	"cellSTAR1,"
19	0	3	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star.png	0	0	1	0	0	0.5	396	68	396	68	396	68	396	68	396	68	-1	"cellSTAR2,"
20	0	3	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star.png	0	0	1	0	0	0.5	692	68	692	68	692	68	692	68	692	68	-1	"cellSTAR3,"
