INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/xxk.png	0	0	0	0	0.5	0.5	726	327	756	306	700	370	721.33	306	695.73	306	-1	背景
1	0	1	1	0	CCLabelTTF	0	1	12022	83	0	0	0	0	0	0	0	0	0	0	0	0.5	521	529	551	508	495	572	516.33	508	490.73	508	-1	等级上限
2	0	1	1	0	CCLabelTTF	0	1	4000	84	0	0	0	0	0	0	0	0	0	0	1	0.5	721	529	751	508	695	572	716.33	508	690.73	508	-1	最低等级
3	1	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/huangsejiantou.png	0	0	0	0	0	0.5	741	529	771	508	715	572	736.33	508	710.73	508	-1	箭头
4	1	1	1	0	CCLabelTTF	0	1	4000	85	0	0	0	0	0	0	0	0	0	0	0	0.5	821	529	851	508	795	572	816.33	508	790.73	508	-1	最高等级
5	0	1	1	0	CCLabelTTF	0	1	4000	83	0	0	0	0	0	0	0	0	0	0	0	0.5	521	475	551	454	495	518	516.33	454	490.73	454	-1	属性1
6	0	1	1	0	CCLabelTTF	0	1	4000	84	0	0	0	0	0	0	0	0	0	0	1	0.5	721	475	751	454	695	518	716.33	454	690.73	454	-1	属性1最低值
7	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/huangsejiantou.png	0	0	0	0	0	0.5	741	475	771	454	715	518	736.33	454	710.73	454	-1	箭头1
8	0	1	1	0	CCLabelTTF	0	1	4000	85	0	0	0	0	0	0	0	0	0	0	0	0.5	821	475	851	454	795	518	816.33	454	790.73	454	-1	属性1最高值
9	0	1	1	0	CCLabelTTF	0	1	4000	83	0	0	0	0	0	0	0	0	0	0	0	0.5	521	421	551	400	495	464	516.33	400	490.73	400	-1	属性2
10	0	1	1	0	CCLabelTTF	0	1	4000	84	0	0	0	0	0	0	0	0	0	0	1	0.5	721	421	751	400	695	464	716.33	400	690.73	400	-1	属性2最低值
11	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/huangsejiantou.png	0	0	0	0	0	0.5	741	421	771	400	715	464	736.33	400	710.73	400	-1	箭头2
12	0	1	1	0	CCLabelTTF	0	1	4000	85	0	0	0	0	0	0	0	0	0	0	0	0.5	821	421	851	400	795	464	816.33	400	790.73	400	-1	属性2最高值
13	0	1	1	0	CCLabelTTF	0	1	4000	83	0	0	0	0	0	0	0	0	0	0	0	0.5	521	367	551	346	495	410	516.33	346	490.73	346	-1	属性3
14	0	1	1	0	CCLabelTTF	0	1	4000	84	0	0	0	0	0	0	0	0	0	0	1	0.5	721	367	751	346	695	410	716.33	346	690.73	346	-1	属性3最低值
15	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/huangsejiantou.png	0	0	0	0	0	0.5	741	367	771	346	715	410	736.33	346	710.73	346	-1	箭头3
16	0	1	1	0	CCLabelTTF	0	1	4000	85	0	0	0	0	0	0	0	0	0	0	0	0.5	821	367	851	346	795	410	816.33	346	790.73	346	-1	属性3最高值
17	0	1	1	0	CCLabelTTF	0	1	4000	83	0	0	0	0	0	0	0	0	0	0	0	0.5	521	313	551	292	495	356	516.33	292	490.73	292	-1	属性4
18	0	1	1	0	CCLabelTTF	0	1	4000	84	0	0	0	0	0	0	0	0	0	0	1	0.5	721	313	751	292	695	356	716.33	292	690.73	292	-1	属性4最低值
