INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/ycdk.png	0	0	0	0	0	0	406	150	436	129	380	193	402.33	129	376.73	129	-1	右侧底板
1	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/khd.png	0	0	0	0	0.5	0.5	716	417	746	396	690	460	712.33	396	686.73	396	-1	可获得标签
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/wzdiban.png	0	0	0	0	0.5	0.5	716	417	746	396	690	460	712.33	396	686.73	396	-1	可获得标签底板
3	0	1	1	0	DTAwardBoard	0	1	0	3	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0	0.5	586	472	616	451	560	515	582.33	451	556.73	451	-1	装备Icon
4	0	1	1	0	CCLabelTTF	0	1	11	48	0	0	0	0	0	0	0	0	0	0	0	0.5	676	507	706	486	650	550	672.33	486	646.73	486	-1	装备名称
5	0	1	1	0	CCLabelTTF	0	1	12	92	0	0	0	0	0	0	0	0	0	0	0	0.5	706	507	736	486	680	550	702.33	486	676.73	486	-1	装备等级
6	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/hdk.png	0	0	0	0	0	0	456	282	486	261	430	325	452.33	261	426.73	261	-1	物品1ICON底板
7	0	1	1	0	HeroEquipBoard	0	1	0	101	0	0	0	0	0	resource/image/newpublic/c_normal.png	resource/image/newpublic/equip_01.png	resource/image/newpublic/dengjikuang.png	0	0	0	0.5	481	297	511	276	455	340	477.33	276	451.73	276	-1	物品1Icon
8	0	1	1	0	CCLabelTTF	0	1	17	84	0	0	0	0	0	0	0	0	0	0	0	0.5	571	352	601	331	545	395	567.33	331	541.73	331	-1	物品1名称
9	0	2	1	0	CCLabelTTF	0	1	17	83	0	0	0	0	0	0	0	0	0	0	0	0.5	571	307	601	286	545	350	567.33	286	541.73	286	-1	物品1数目
10	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/hdk.png	0	0	0	0	0	0	736	282	766	261	710	325	732.33	261	706.73	261	-1	物品2ICON底板
11	0	1	1	0	DTAwardBoard	0	1	0	3	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0	0.5	761	297	791	276	735	340	757.33	276	731.73	276	-1	物品2Icon
12	0	1	1	0	CCLabelTTF	0	1	17	84	0	0	0	0	0	0	0	0	0	0	0	0.5	851	352	881	331	825	395	847.33	331	821.73	331	-1	物品2名称
13	0	2	1	0	CCLabelTTF	0	1	17	83	0	0	0	0	0	0	0	0	0	0	0	0.5	851	307	881	286	825	350	847.33	286	821.73	286	-1	物品2数目
14	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/hdk.png	0	0	0	0	0	0	456	172	486	151	430	215	452.33	151	426.73	151	-1	物品3ICON底板
15	0	1	1	0	DTAwardBoard	0	1	0	3	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0	0.5	481	187	511	166	455	230	477.33	166	451.73	166	-1	物品3Icon
16	0	1	1	0	CCLabelTTF	0	1	17	84	0	0	0	0	0	0	0	0	0	0	0	0.5	571	242	601	221	545	285	567.33	221	541.73	221	-1	物品3名称
17	0	2	1	0	CCLabelTTF	0	1	17	83	0	0	0	0	0	0	0	0	0	0	0	0.5	571	197	601	176	545	240	567.33	176	541.73	176	-1	物品3数目
18	0	1	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dahongseanniu_down.png	resource/image/newpublic/dahongseanniu_up.png	resource/image/newpublic/dahongseanniu_downhui.png	0	0	0.5	0.5	716	112	746	91	690	155	712.33	91	686.73	91	-1	分解按钮
19	0	1	1	0	CCLabelTTF	0	1	7036	104	0	0	0	0	0	0	0	0	0	0	0.5	0.5	716	112	746	91	690	155	712.33	91	686.73	91	-1	分解标签
20	0	1	1	0	CCLabelTTFMultiline	0	1	7040	83	0	0	0	0	0	0	0	0	500	0	0.5	1	716	377	746	356	690	420	712.33	356	686.73	356	-1	帮助文字
21	0	2	1	0	CAnimationSprite	0	1	0	0	0	2069	0	0	0	0	0	0	0	0	0	0.5	342	500	372	479	316	543	338.33	479	312.73	479	-1	分解特效
22	1	-2	1	0	CPriorityLayerColor	-24	1	0	0	0	0	0	0	0	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	灰层蒙板
