INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newqianghua/diban_2.png	0	0	0	0	0	0	400	222	430	201	374	265	395.33	201	369.73	201	-1	背景
1	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/suo_h.png	resource/image/newpublic/suo_c.png	0	0	0	0.5	0.5	491	492	521	471	465	535	486.33	471	460.73	471	-1	锁1
2	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/suo_h.png	resource/image/newpublic/suo_c.png	0	0	0	0.5	0.5	491	420	521	399	465	463	486.33	399	460.73	399	-1	锁2
3	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/suo_h.png	resource/image/newpublic/suo_c.png	0	0	0	0.5	0.5	491	346	521	325	465	389	486.33	325	460.73	325	-1	锁3
4	0	2	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/suo_h.png	resource/image/newpublic/suo_c.png	0	0	0	0.5	0.5	491	273	521	252	465	316	486.33	252	460.73	252	-1	锁4
5	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0	526	490	556	469	500	533	521.33	469	495.73	469	-1	属性1值
6	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0	526	418	556	397	500	461	521.33	397	495.73	397	-1	属性2值
7	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0	526	344	556	323	500	387	521.33	323	495.73	323	-1	属性3值
8	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0	526	271	556	250	500	314	521.33	250	495.73	250	-1	属性4值
9	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	1	526	490	556	469	500	533	521.33	469	495.73	469	-1	属性1最大值
10	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	1	526	418	556	397	500	461	521.33	397	495.73	397	-1	属性2最大值
11	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	1	526	344	556	323	500	387	521.33	323	495.73	323	-1	属性3最大值
12	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	1	526	271	556	250	500	314	521.33	250	495.73	250	-1	属性4最大值
13	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0	836	490	866	469	810	533	831.33	469	805.73	469	-1	新属性1值
14	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0	836	418	866	397	810	461	831.33	397	805.73	397	-1	新属性2值
15	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0	836	344	866	323	810	387	831.33	323	805.73	323	-1	新属性3值
16	0	1	1	0	CCLabelTTF	0	1	0	81	0	0	0	0	0	0	0	0	0	0	0	0	836	271	866	250	810	314	831.33	250	805.73	250	-1	新属性4值
