INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-40	1	0	0	0	0	0	0	200	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	遮罩层
1	0	6	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	322	568	301	512	365	533.33	301	507.73	301	-1	抽英雄特效
2	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/tanchumianban_zhaohuan.png	0	0	0	0	0.5	0.5	538	407	568	386	512	450	533.33	386	507.73	386	-1	背景
3	0	3	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	277	568	256	512	320	533.33	256	507.73	256	-1	英雄待机
4	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/huodexinyingxiong_tilte.png	0	0	0	0	0.5	0.5	538	562	568	541	512	605	533.33	541	507.73	541	-1	获得英雄名字标题精灵
5	0	5	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star_b.png	resource/image/newpublic/cards_star_a.png	0	-8	0	0	0	386	472	416	451	360	515	381.33	451	355.73	451	-1	星阶
6	0	3	1	0	CCSprite	0	1	0	0	0	6	0	0	0	resource/image/newpublic/li.png	0	0	0	0	0.5	0.5	706	467	736	446	680	510	701.33	446	675.73	446	-1	英雄类型图片
7	0	5	1	0	CCLabelTTF	0	1	6037	100	0	0	0	0	0	0	0	0	0	0	0	0.5	396	177	426	156	370	220	391.33	156	365.73	156	-1	气势：
8	0	5	1	0	CCLabelTTF	0	1	6036	100	0	0	0	0	0	0	0	0	0	0	0	0.5	396	217	426	196	370	260	391.33	196	365.73	196	-1	统率力：
9	0	5	1	0	CCLabelTTF	0	1	0	91	0	0	0	0	0	0	0	0	0	0	0	0.5	507	217	537	196	481	260	502.33	196	476.73	196	-1	统率力内容
10	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jindutiao_di_xs.png	0	0	0	0	0.5	0.5	600	177	630	156	574	220	595.33	156	569.73	156	-1	进度条底框
11	0	4	1	0	CProgressTimer	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jindutiao_xianjis.png	0	0	0.5	0	0	0	527	171	558	150	501	214	519.33	150	493.73	150	-1	进度条
12	0	5	1	0	CCLabelTTF	0	1	414	107	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	50	568	50	512	50	533.33	50	507.73	50	-1	点击关闭文字
13	0	5	1	0	CCLabelTTF	0	1	0	108	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	257	568	236	512	300	533.33	236	507.73	236	-1	英雄名字
