INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-40	1	0	0	0	0	0	0	200	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	遮罩层
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/tanchumianban_zhaohuan.png	0	0	0	0	0.5	0.5	538	407	568	386	512	450	533.33	386	507.73	386	-1	背景
2	0	3	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	277	568	256	512	320	533.33	256	507.73	256	-1	英雄待机
3	0	3	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	556	357	586	336	530	400	551.33	336	525.73	336	-1	帧特效节点
4	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/huodeyiyouyingxiong_title.png	0	0	0	0	0.5	0.5	538	562	568	541	512	605	533.33	541	507.73	541	-1	获得英雄名字标题精灵
5	0	5	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star_b.png	resource/image/newpublic/cards_star_a.png	0	-8	0	0	0	386	472	416	451	360	515	381.33	451	355.73	451	-1	星阶文字
6	0	3	1	0	CCSprite	0	1	0	0	0	6	0	0	0	resource/image/newpublic/li.png	0	0	1	0	0.5	0.5	706	467	736	446	680	510	701.33	446	675.73	446	-1	英雄类型图片
7	0	5	1	0	CCLabelTTF	0	1	985	100	0	0	0	0	0	0	0	0	1	0	1	0.5	576	197	606	176	550	240	571.33	176	545.73	176	-1	描述
8	0	5	1	0	CCLabelTTF	0	1	0	110	0	0	0	0	0	0	0	0	1	0	0	0.5	581	197	611	176	555	240	576.33	176	550.73	176	-1	蓝色文字
9	0	5	1	0	CCLabelTTF	0	1	414	107	0	0	0	0	0	0	0	0	1	0	0.5	0.5	538	50	568	50	512	50	533.33	50	507.73	50	-1	点击关闭文字
10	0	5	1	0	CCLabelTTF	0	1	0	108	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	257	568	236	512	300	533.33	236	507.73	236	-1	英雄名字
