INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/board.png	0	0	0	0	0	0	300	300	300	300	300	300	300	300	300	300	-1	"kBOARD,"
1	0	2	1	0	CCLabelTTFMultiline	0	1	0	45	0	0	0	0	0	0	0	0	400	204	0	0.5	292	102	292	102	292	102	292	102	292	102	-1	"kTEXT,"
2	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/npc.png	0	0	0	0	0	0	300	300	300	300	300	300	300	300	300	300	-1	"kNPC,"
3	0	0	1	0	CCLayerColor	0	1	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	"kMASK1,"
4	0	0	1	0	CCLayerColor	0	1	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	"kMASK2,"
5	0	0	1	0	CCLayerColor	0	1	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	"kMASK3,"
6	0	0	1	0	CCLayerColor	0	1	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	"kMASK4,"
7	0	0	1	0	CMenuItemSprite	-201	1	0	0	0	0	0	0	0	resource/image/newguide/tiaoguo_zc.png	resource/image/newguide/tiaoguo_ax.png	resource/image/newguide/tiaoguo_h.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	kSKIP
8	0	0	1	0	CTimeLabel	0	1	0	66	0	0	0	0	0	0	0	0	2	0	0	0	45	55	45	55	45	55	45	55	45	55	-1	µ¹¼ÆÊ±
9	0	5	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	kARROW
