INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS	
0	1	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newliebiao/xuankuang.png	0	0	0	0	0.5	0.5	80	56	80	56	80	56	80	56	80	56	-1	高亮选框	第一个人
1	0	2	0.77	0	DTHeroIcon	-5	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	80	70	80	70	80	70	80	70	80	70	-1	人物头像	
2	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	40	96	40	96	40	96	40	96	40	96	-1	人物类型	
3	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/mingchengdiban.png	0	0	0	0	0.5	0.5	80	16	80	16	80	16	80	16	80	16	-1	名称地框	
4	0	3	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	80	16	80	16	80	16	80	16	80	16	-1	名称文字	
5	1	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newliebiao/xuankuang.png	0	0	0	0	0.5	0.5	220	56	220	56	220	56	220	56	220	56	-1	高亮选框	第二个人
6	1	2	0.77	0	DTHeroIcon	-5	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	220	70	220	70	220	70	220	70	220	70	-1	人物头像	
7	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	180	96	180	96	180	96	180	96	180	96	-1	人物类型	
8	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/mingchengdiban.png	0	0	0	0	0.5	0.5	220	16	220	16	220	16	220	16	220	16	-1	名称地框	
9	1	3	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	220	16	220	16	220	16	220	16	220	16	-1	名称文字	
10	1	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newliebiao/xuankuang.png	0	0	0	0	0.5	0.5	360	56	360	56	360	56	360	56	360	56	-1	高亮选框	第三个人
11	1	2	0.77	0	DTHeroIcon	-5	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	360	70	360	70	360	70	360	70	360	70	-1	人物头像	
12	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	320	96	320	96	320	96	320	96	320	96	-1	人物类型	
13	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/mingchengdiban.png	0	0	0	0	0.5	0.5	360	16	360	16	360	16	360	16	360	16	-1	名称地框	
14	1	3	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	360	16	360	16	360	16	360	16	360	16	-1	名称文字	
15	1	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newliebiao/xuankuang.png	0	0	0	0	0.5	0.5	500	56	500	56	500	56	500	56	500	56	-1	高亮选框	第四个人
16	1	2	0.77	0	DTHeroIcon	-5	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	500	70	500	70	500	70	500	70	500	70	-1	人物头像	
17	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	460	96	460	96	460	96	460	96	460	96	-1	人物类型	
18	1	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/mingchengdiban.png	0	0	0	0	0.5	0.5	500	16	500	16	500	16	500	16	500	16	-1	名称地框	
19	0	3	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	500	16	500	16	500	16	500	16	500	16	-1	名称文字	
