INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0.5	0.5	538	363	568	320	512	384	533.33	320	507.73	320	-1	背景底色
1	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/diban.png	0	0	0	0	0.5	0.5	538	363	568	320	512	384	533.33	320	507.73	320	-1	背景木板
2	0	-1	1	0	CMenuItemSprite	-5	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1004	679	1034	606	978	700	999.33	606	973.73	606	-1	关闭按钮
3	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxjijie/biaoti.png	0	0	0	0	0.5	0.5	538	639	568	596	512	660	533.33	596	507.73	596	-1	标题背景
4	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxjijie/1jifazhen.png	0	0	0	0	0.5	0	216	299	246	256	190	320	211.33	256	185.73	256	-1	第一个人背景
5	0	-1	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	216	363	246	320	190	384	211.33	320	185.73	320	-1	第一个结点
6	0	-1	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star_b.png	resource/image/newpublic/cards_star_a.png	0	-8	0	0	0	116	289	146	246	90	310	111.33	246	85.73	246	-1	第一个文字
7	0	-1	1	0	CCGrapSprite	0	1	0	0	0	1	0	0	0	resource/image/newpublic/jt.png	0	0	0	0	0.5	0.5	377	449	407	406	351	470	372.33	406	346.73	406	-1	第一个箭头
8	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxjijie/2jifazhen.png	0	0	0	0	0.5	0	538	299	568	256	512	320	533.33	256	507.73	256	-1	第二个人背景
9	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxjijie/2jifazhen_g.png	0	0	0	0	0.5	0	538	299	568	256	512	320	533.33	256	507.73	256	-1	第二个人背景暗下
10	0	1	1	0	CAnimationSprite	0	1	0	0	0	2030	0	0	0	0	0	0	0	0	0.5	0	538	229	568	186	512	250	533.33	186	507.73	186	-1	第二个人特效
11	0	-1	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	363	568	320	512	384	533.33	320	507.73	320	-1	第二个结点
12	0	-1	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star_b.png	resource/image/newpublic/cards_star_a.png	0	-8	0	0	0	438	289	468	246	412	310	433.33	246	407.73	246	-1	第二个文字
13	0	-1	1	0	CCGrapSprite	0	1	0	0	0	1	0	0	0	resource/image/newpublic/jt.png	0	0	0	0	0.5	0.5	699	449	729	406	673	470	694.33	406	668.73	406	-1	第二个箭头
14	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxjijie/3jifazhen.png	0	0	0	0	0.5	0	860	299	890	256	834	320	855.33	256	829.73	256	-1	第三个人背景
15	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxjijie/3jifazhen_g.png	0	0	0	0	0.5	0	860	299	890	256	834	320	855.33	256	829.73	256	-1	第三个人背景暗下
16	0	1	1	0	CAnimationSprite	0	1	0	0	0	2030	0	0	0	0	0	0	0	0	0.5	0	860	229	890	186	834	250	855.33	186	829.73	186	-1	第三个人特效
17	0	-1	1	0	CCNode	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	860	363	890	320	834	384	855.33	320	829.73	320	-1	第三个结点
18	0	-1	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star_b.png	resource/image/newpublic/cards_star_a.png	0	-8	0	0	0	760	289	790	246	734	310	755.33	246	729.73	246	-1	第三个文字
19	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxjijie/xinxikuang.png	0	0	0	0	0.5	0.5	538	189	568	146	512	210	533.33	146	507.73	146	-1	物品底板
20	0	-1	1	0	DTAwardBoard	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	306	189	336	146	280	210	301.33	146	275.73	146	-1	第一个物品
21	0	-1	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	306	135	336	92	280	156	301.33	92	275.73	92	-1	第一个物品数目
22	0	-1	1	0	DTAwardBoard	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	406	189	436	146	380	210	401.33	146	375.73	146	-1	第二个物品
23	0	-1	1	0	CCLabelTTF	0	1	0	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	406	135	436	92	380	156	401.33	92	375.73	92	-1	第二个物品数目
24	0	-1	1	0	DTAwardBoard	0	1	0	1	0	0	0	0	0	resource/image/newpublic/subscript_s.png	0	0	0	0	0.5	0.5	506	189	536	146	480	210	501.33	146	475.73	146	-1	第三个物品
