INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	1	5	1	0	SceneEffect	0	1	0	0	0	2013	0	0	0	0	0	0	0	0	0.5	0.5	538	367	568	320	512	384	533.33	320	507.73	320	-1	精灵节点
1	1	0	1	0	CPriorityLayerColor	-20	1	0	0	0	0	0	0	125	0	0	0	1136	440	0	0	0	157	0	0	0	157	0	0	0	0	-1	遮罩层
2	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/zhaohuangongyong_beijingtu.png	0	0	0	0	0.5	0.5	538	367	568	346	512	410	533.33	346	507.73	346	-1	主背景
3	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/xianji_ditu_002.png	0	0	0	0	0.5	0.5	538	341	568	320	512	384	533.33	320	507.73	320	-1	底框背景
4	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/biaoti.png	0	0	0	0	0.5	0.5	538	657	568	572	512	700	533.33	572	507.73	572	-1	标题底框
5	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/yingxiongxianji_title.png	0	0	0	0	0.5	0.5	546	654	576	569	520	697	541.33	569	515.73	569	-1	标题文字
6	0	1	1	0	CMenuItemSprite	-21	1	0	0	0	0	0	0	0	resource/image/newpublic/kuaisuhuicheng_up.png	resource/image/newpublic/kuaisuhuicheng_down.png	0	0	0	0.5	0.5	991	662	1021	577	965	705	986.33	577	960.73	577	-1	快速回城按钮
7	0	1	1	0	CMenuItemSpriteSI	-21	1	0	0	0	0	0	0	0	resource/image/newxianji/zhaohuan_up.png	0	0	0.9	0.9	0.5	0.5	986	57	1016	68	960	100	981.33	68	955.73	68	-1	英雄召唤按钮
8	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dengjikuang.png	0	0	0	0	0.5	0.5	141	507	171	486	115	550	136.33	486	110.73	486	-1	等级底框1
9	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dengjikuang.png	0	0	0	0	0.5	0.5	473	507	503	486	447	550	468.33	486	442.73	486	-1	等级底框2
10	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/dengjikuang.png	0	0	0	0	0.5	0.5	805	507	835	486	779	550	800.33	486	774.73	486	-1	等级底框3
11	0	5	1	0	CCLabelTTF	0	1	0	101	0	0	0	0	0	0	0	0	0	0	0.5	0.5	141	507	171	486	115	550	136.33	486	110.73	486	-1	等级文字1
12	0	5	1	0	CCLabelTTF	0	1	0	101	0	0	0	0	0	0	0	0	0	0	0.5	0.5	473	507	503	486	447	550	468.33	486	442.73	486	-1	等级文字2
13	0	5	1	0	CCLabelTTF	0	1	0	101	0	0	0	0	0	0	0	0	0	0	0.5	0.5	805	507	835	486	779	550	800.33	486	774.73	486	-1	等级文字3
14	0	5	1	0	CCLabelTTF	0	1	769	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	206	507	236	486	180	550	201.33	486	175.73	486	-1	图腾文字1
15	0	5	1	0	CCLabelTTF	0	1	770	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	538	507	568	486	512	550	533.33	486	507.73	486	-1	图腾文字2
16	0	5	1	0	CCLabelTTF	0	1	771	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	870	507	900	486	844	550	865.33	486	839.73	486	-1	图腾文字3
17	0	5	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	0	0.5	276	432	306	411	250	475	271.33	411	245.73	411	-1	加成文字1
18	0	5	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	0	0.5	608	432	638	411	582	475	603.33	411	577.73	411	-1	加成文字2
19	0	5	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	0	0.5	940	432	970	411	914	475	935.33	411	909.73	411	-1	加成文字3
