INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxzhb/xiangxixinxi_diban.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	"kHE_BG,"
1	0	1	1	0	CCLabelTTF	0	1	0	99	0	0	0	0	0	0	0	0	0	0	0	0.5	60	130	60	130	60	130	60	130	60	130	-1	"kHE_STRENGTH,"
2	0	1	1	0	CCLabelTTF	0	1	0	99	0	0	0	0	0	0	0	0	0	0	0	0.5	176	130	176	130	176	130	176	130	176	130	-1	"kHE_DEX,"
3	0	1	1	0	CCLabelTTF	0	1	0	99	0	0	0	0	0	0	0	0	0	0	0	0.5	284	130	284	130	284	130	284	130	284	130	-1	"kHE_INTELLIGENCE,"
4	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	60	80	60	80	60	80	60	80	60	80	-1	"kHE_ATTACK,"
5	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	60	100	60	100	60	100	60	100	60	100	-1	"kHE_HP,"
6	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	176	24	176	24	176	24	176	24	176	24	-1	"kHE_HIT,"
7	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	60	24	60	24	60	24	60	24	60	24	-1	"kHE_PJ,"
8	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	284	24	284	24	284	24	284	24	284	24	-1	"kHE_BJ,"
9	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	250	100	250	100	250	100	250	100	250	100	-1	"kHE_MP,"
10	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	250	80	250	80	250	80	250	80	250	80	-1	"kHE_SPEED,"
11	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	176	48	176	48	176	48	176	48	176	48	-1	"kHE_DODGE,"
12	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	60	48	60	48	60	48	60	48	60	48	-1	"kHE_ARMOR,"
13	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	284	48	284	48	284	48	284	48	284	48	-1	"kHE_UNCRIT,"
