INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCLabelTTFMultiline	0	1	783	100	0	0	0	0	0	0	0	0	360	0	0	0	80	460	80	460	80	460	80	460	80	460	-1	"kHINT,"
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxzhb/jianbiandikuang.png	0	0	0	0	0.5	0.5	200	360	200	360	200	360	200	360	200	360	-1	"kBAR_RISK,"
2	1	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxzhb/jianbiandikuang.png	0	0	0	0	0.5	0.5	200	240	200	240	200	240	200	240	200	240	-1	"kBAR_FUBEN,"
3	1	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxzhb/jianbiandikuang.png	0	0	0	0	0.5	0.5	200	120	200	120	200	120	200	120	200	120	-1	"kBAR_TOWER,"
4	0	0	1	0	CCLabelTTF	0	1	742	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	200	360	200	360	200	360	200	360	200	360	-1	"kNAME_RISK,"
5	1	0	1	0	CCLabelTTF	0	1	743	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	200	240	200	240	200	240	200	240	200	240	-1	"kNAME_FUBEN,"
6	1	0	1	0	CCLabelTTF	0	1	744	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	200	120	200	120	200	120	200	120	200	120	-1	"kNAME_TOWER,"
7	0	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jiantou_zhengc.png	0	0	0	0	0.5	0.5	370	355	370	355	370	355	370	355	370	355	-1	"kBTN_RISK,"
8	1	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jiantou_zhengc.png	0	0	0	0	0.5	0.5	370	235	370	235	370	235	370	235	370	235	-1	"kBTN_FUBEN,"
9	1	0	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/jiantou_zhengc.png	0	0	0	0	0.5	0.5	370	115	370	115	370	115	370	115	370	115	-1	"kBTN_TOWER,"
