INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/background.png	0	0	0	0	0.5	0.5	564	341	568	320	512	384	533.33	320	507.73	320	-1	背景底板
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newliebiao/dibanxin.png	0	0	0	0	0.5	0.5	564	341	568	320	512	384	533.33	320	507.73	320	-1	背景蒙板
2	0	2	1	0	CMenuItemSprite	-5	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	1030	627	1034	606	978	670	999.33	606	973.73	606	-1	关闭按钮
3	0	2	1	0	CMenuItemSpriteSelected	-5	1	0	0	0	0	0	0	0	resource/image/newpublic/toggle_bg_2.png	resource/image/newpublic/toggle_2.png	0	0	0	0.5	0.5	126	597	130	576	74	640	95.33	576	69.73	576	-1	复选框
4	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/zengjiacishukuang.png	0	0	0	0	0.5	0.5	228	597	232	576	176	640	197.33	576	171.73	576	-1	显示全部英雄底板
5	0	1	1	0	CCLabelTTF	0	1	960	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	228	597	232	576	176	640	197.33	576	171.73	576	-1	显示全部英雄文字
6	0	2	1	0	CTabMenuItemSprite	-5	1	0	0	0	0	0	0	0	resource/image/newliebiao/yeqian_zhengc.png	resource/image/newliebiao/yeqian_xuanze.png	0	0	0	0.5	0.5	142	535	146	514	90	578	111.33	514	85.73	514	-1	全部按钮
7	0	3	1	0	CCLabelTTF	0	1	185	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	142	535	146	514	90	578	111.33	514	85.73	514	-1	全部文字
8	0	2	1	0	CTabMenuItemSprite	-5	1	0	0	0	0	0	0	0	resource/image/newliebiao/yeqian_zhengc.png	resource/image/newliebiao/yeqian_xuanze.png	0	0	0	0.5	0.5	247	535	251	514	195	578	216.33	514	190.73	514	-1	力量按钮
9	0	3	1	0	CCLabelTTF	0	1	101	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	247	535	251	514	195	578	216.33	514	190.73	514	-1	力量文字
10	0	2	1	0	CTabMenuItemSprite	-5	1	0	0	0	0	0	0	0	resource/image/newliebiao/yeqian_zhengc.png	resource/image/newliebiao/yeqian_xuanze.png	0	0	0	0.5	0.5	352	535	356	514	300	578	321.33	514	295.73	514	-1	敏捷按钮
11	0	3	1	0	CCLabelTTF	0	1	102	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	352	535	356	514	300	578	321.33	514	295.73	514	-1	敏捷文字
12	0	2	1	0	CTabMenuItemSprite	-5	1	0	0	0	0	0	0	0	resource/image/newliebiao/yeqian_zhengc.png	resource/image/newliebiao/yeqian_xuanze.png	0	0	0	0.5	0.5	457	535	461	514	405	578	426.33	514	400.73	514	-1	智力按钮
13	0	3	1	0	CCLabelTTF	0	1	103	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	457	535	461	514	405	578	426.33	514	400.73	514	-1	智力文字
