INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	8	1	0	CCardsStarProgress	0	1	0	0	0	6	0	0	0	resource/image/newpublic/cards_star_b.png	resource/image/newpublic/cards_star_a.png	0	-8	0	0	0	-110	130	-110	130	-110	130	-110	130	-110	130	-1	星阶
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/duiwuxinxi/fazhen.png	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	英雄底座
2	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/suo.png	0	0	0	0	0.5	0.5	0	-10	0	-10	0	-10	0	-10	0	-10	-1	锁
3	0	3	1	0	CCLabelTTF	0	1	6086	120	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	-165	0	-165	0	-165	0	-165	0	-165	-1	开启等级
4	1	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/duiwuxinxi/mck.png	0	0	0	0	0.5	0.5	-30	-125	-30	-125	-30	-125	-30	-125	-30	-125	-1	名字底框
5	0	7	1	0	CCLabelTTF	0	1	0	22	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	-125	0	-125	0	-125	0	-125	0	-125	-1	英雄名字
6	0	4	1	0	CCLabelTTF	0	1	0	111	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	-165	0	-165	0	-165	0	-165	0	-165	-1	战力数值
7	0	4	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/duiwuxinxi/zl.png	0	0	0	0	0.5	0.5	-60	-165	-60	-165	-60	-165	-60	-165	-60	-165	-1	战力图标
8	0	5	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/duiwuxinxi/hanniu_1.png	resource/image/duiwuxinxi/hanniu_2.png	0	0	0	0.5	0.5	0	-125	0	-125	0	-125	0	-125	0	-125	-1	换英雄按钮
9	1	6	1	0	CCLabelTTF	0	1	6083	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	-125	0	-125	0	-125	0	-125	0	-125	-1	换英雄按钮文字
10	0	5	0.8	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/lvseanniu_anxia.png	0	0	0	0.5	0.5	-90	-215	-90	-215	-90	-215	-90	-215	-90	-215	-1	换装备按钮
11	0	6	1	0	CCLabelTTF	0	1	6084	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	-90	-215	-90	-215	-90	-215	-90	-215	-90	-215	-1	换装备按钮文字
12	0	5	0.8	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/lvseanniu_anxia.png	0	0	0	0.5	0.5	0	-215	0	-215	0	-215	0	-215	0	-215	-1	换战魂按钮
13	0	6	1	0	CCLabelTTF	0	1	6093	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	-215	0	-215	0	-215	0	-215	0	-215	-1	换战魂按钮文字
14	0	5	0.8	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/button_2.png	resource/image/newpublic/lvseanniu_anxia.png	0	0	0	0.5	0.5	90	-215	90	-215	90	-215	90	-215	90	-215	-1	换技能按钮
15	0	6	1	0	CCLabelTTF	0	1	6085	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	90	-215	90	-215	90	-215	90	-215	90	-215	-1	换技能按钮文字
16	0	7	1	0	MaskNode	0	1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	-80	0	-80	0	-80	0	-80	0	-80	-1	英雄节点
17	0	5	1	0	CMenuItemSprite	0	1	0	0	0	0	0	0	0	resource/image/duiwuxinxi/hanniu_1.png	resource/image/duiwuxinxi/hanniu_2.png	0	0	0	0.5	0.5	0	-165	0	-165	0	-165	0	-165	0	-165	-1	换英雄按钮
18	0	6	1	0	CCLabelTTF	0	1	6083	83	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	-165	0	-165	0	-165	0	-165	0	-165	-1	换英雄按钮文字
