INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/zhaohuangongyong_beijingtu.png	0	0	0	0	0.5	0.5	538	367	568	346	512	410	533.33	346	507.73	346	-1	主背景
1	1	-1	1	0	CPriorityLayerColor	-20	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	遮罩层
2	1	5	1	0	SceneEffect	0	1	0	0	0	2013	0	0	0	0	0	0	0	0	0.5	0.5	538	298	568	256	512	384	533.33	256	507.73	256	-1	精灵节点
3	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/biaoti.png	0	0	0	0	0.5	0.5	538	657	568	572	512	700	533.33	572	507.73	572	-1	标题底框
4	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newxianji/yingxiongzhaohuan_title.png	0	0	0	0	0.5	0.5	546	654	576	569	520	697	541.33	569	515.73	569	-1	标题文字
5	0	1	1	0	CMenuItemSprite	-21	1	0	0	0	0	0	0	0	resource/image/newpublic/kuaisuhuicheng_up.png	resource/image/newpublic/kuaisuhuicheng_down.png	0	0	0	0.5	0.5	991	662	1021	577	965	705	986.33	577	960.73	577	-1	快速回城按钮
6	0	1	1	0	CMenuItemSpriteSI	-21	1	0	0	0	0	0	0	0	resource/image/newxianji/xianji_up.png	0	0	0.9	0.9	0.5	0.5	986	57	1016	68	960	100	981.33	68	955.73	68	-1	英雄献祭按钮
7	0	3	1	0	FAnimationButton	0	1	0	0	0	2054	0	0	0	resource/image/newxianji/zhaohuan_jianzhukuang.png	resource/image/newxianji/zhaohuan_jianzhukuang.png	resource/image/newxianji/zhaohuan_jianzhukuang.png	115	104	0.5	0.5	366	364	396	322	340	450	361.33	322	335.73	322	-1	底板按钮1
8	1	3	1	0	FAnimationButton	0	1	0	0	0	2054	0	0	0	resource/image/newxianji/zhaohuan_jianzhukuang.png	resource/image/newxianji/zhaohuan_jianzhukuang.png	resource/image/newxianji/zhaohuan_jianzhukuang.png	115	104	0.5	0.5	538	364	568	322	512	450	533.33	322	507.73	322	-1	底板按钮2
9	0	3	1	0	FAnimationButton	0	1	0	0	0	2054	0	0	0	resource/image/newxianji/zhaohuan_jianzhukuang.png	resource/image/newxianji/zhaohuan_jianzhukuang.png	resource/image/newxianji/zhaohuan_jianzhukuang.png	115	104	0.5	0.5	710	364	740	322	684	450	705.33	322	679.73	322	-1	底板按钮3
