INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
1	0	1	1	0	CPriorityLayerColor	-190	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	»Ò²ã
2	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	828	545	836	531	780	595	801.33	531	775.73	531	-1	È¦1
3	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	400	150	0.5	0.5	728	410	736	396	680	460	701.33	396	675.73	396	-1	±³¾°1
4	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	0	0	0.5	0.5	688	480	696	466	640	530	661.33	466	635.73	466	-1	¼ýÍ·1
5	0	5	1	0	CCLabelTTFMultiline	0	1	692	68	0	0	0	0	0	0	0	0	350	180	0.5	0.5	728	365	736	351	680	415	701.33	351	675.73	351	-1	ÎÄ×Ö1
6	0	3	1	0	CCScale9Sprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/yindaokuang.png	0	0	270	130	0.5	0.5	680	185	680	160	620	230	645.33	155	619.73	155	-1	±³¾°2
7	0	3	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	0	0	0.5	0.5	838	480	846	466	790	530	811.33	466	785.73	466	-1	¼ýÍ·2
8	0	5	1	0	CCLabelTTFMultiline	0	1	693	68	0	0	0	0	0	0	0	0	230	100	0.5	0.5	685	175	685	145	625	215	650.33	140	624.73	140	-1	ÎÄ×Ö2
9	0	2	0.8	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	688	545	696	531	640	595	661.33	531	635.73	531	-1	È¦2
10	0	3	0.9	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/npc.png	0	0	0	0	0.5	0.5	380	230	380	216	330	280	345.33	216	319.73	216	-1	ÈË
11	0	2	1.2	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/huangse_quan.png	0	0	0	0	0.5	0.5	900	175	900	155	850	220	865.33	150	839.73	150	-1	È¦3
12	0	3	1	90	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newguide/jiantou_shang.png	0	0	0	0	0.5	0.5	810	185	810	155	750	230	775.33	150	749.73	150	-1	¼ýÍ·3
