INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/scn/mainbg_1.jpg	0	0	0	0	0	0	0	-43	0	-64	0	0	0	-64	0	-64	-1	大地图1
1	0	-1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/scn/mainbg_2.jpg	0	0	0	0	0	0	1000	-43	1000	-64	1000	0	1000	-64	1000	-64	-1	大地图2
2	0	1	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/homescene/bar.png	0	0	1	1	0.5	0.5	230	205	230	184	230	250	230	184	230	184	-1	祭坛
3	0	0	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/homescene/door.png	0	0	1	1	0.5	0.5	750	440	750	415	750	480	750	415	750	415	-1	城门
4	0	0	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/homescene/home.png	0	0	1	1	0.5	0.5	245	432	245	411	245	475	245	411	245	411	-1	神庙
5	0	0	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/homescene/market.png	0	0	1	1	0.5	0.5	1027	192	1027	171	1027	235	1027	171	1027	171	-1	神秘商人
6	0	0	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/homescene/pkplace.png	0	0	1	1	0.5	0.5	570	277	570	260	570	320	570	260	570	260	-1	竞技场
7	0	0	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/homescene/tdoor.png	0	0	1	1	0.5	0.5	1030	452	1030	435	1030	500	1030	435	1030	435	-1	远古遗迹
8	0	0	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/homescene/tower.png	0	0	1	1	0.5	0.5	1520	467	1520	446	1520	510	1520	446	1520	446	-1	试炼之塔
9	0	0	1	0	CMenuItemSpriteSI	0	1	0	0	0	0	0	0	0	resource/image/homescene/mine.png	0	0	1	1	0.5	0.5	1507	169	1507	125	1507	190	1507	125	1507	125	-1	矿洞
10	0	1	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/homescene/bar.png	resource/image/homescene/bar_gray.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	祭坛文件存储节点
11	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/homescene/door.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	城门文件存储节点
12	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/homescene/home.png	resource/image/homescene/home_gray.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	神庙文件存储节点
13	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/homescene/market.png	resource/image/homescene/market_gray.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	神秘商人文件存储节点
14	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/homescene/pkplace.png	resource/image/homescene/pkplace_gray.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	竞技场文件存储节点
15	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/homescene/tdoor.png	resource/image/homescene/tdoor_gray.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	远古遗迹文件存储节点
16	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/homescene/tower.png	resource/image/homescene/tower_gray.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	试炼之塔文件存储节点
17	0	0	1	0	MaskNode	0	1	0	0	0	0	0	0	0	resource/image/homescene/mine.png	resource/image/homescene/mine_gray.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	矿洞文件存储节点
18	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/homescene/buildingtitlebg.png	0	0	0	0	0	0	200	97	200	76	200	140	200	76	200	76	-1	祭坛标题背景
19	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/homescene/buildingtitlebg.png	0	0	0	0	0	0	798	373	798	352	798	416	798	352	798	352	-1	城门标题背景
20	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/homescene/buildingtitlebg.png	0	0	0	0	0	0	270	337	270	316	270	380	270	316	270	316	-1	神庙标题背景
