INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CPriorityLayerColor	-30	1	0	0	0	0	0	0	125	0	0	0	1136	768	0	0	0	0	0	0	0	0	0	0	0	0	-1	"kGRAYLAYER,"
1	0	0	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newyxzhb/tongshuailishengji.png	0	0	0	0	0.5	0.5	564	407	568	386	512	450	533.33	386	507.73	386	-1	"kBOXBG,"
2	0	1	1	0	CMenuItemSprite	-31	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	564	201	568	180	512	244	533.33	180	507.73	180	-1	"kBTN,"
3	0	2	1	0	CCLabelTTF	0	1	224	49	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	201	568	180	512	244	533.33	180	507.73	180	-1	"kBTN_LABEL,"
4	0	1	1	0	CCLabelTTF	0	1	0	102	0	0	0	0	0	0	0	0	0	0	0.5	0.5	564	417	568	396	512	460	533.33	396	507.73	396	-1	"kHINT,"
5	0	1	1	0	CCLabelTTF	0	1	6039	49	0	0	0	0	0	0	0	0	0	0	0	0.5	402	377	406	356	350	420	371.33	356	345.73	356	-1	出战英雄等级：
6	0	1	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	1	0.5	582	377	586	356	530	420	551.33	356	525.73	356	-1	旧英雄等级
7	0	1	1	0	CCLabelTTF	0	1	0	85	0	0	0	0	0	0	0	0	0	0	0	0.5	652	377	656	356	600	420	621.33	356	595.73	356	-1	新英雄等级
8	0	1	1	0	CCLabelTTF	0	1	6040	49	0	0	0	0	0	0	0	0	0	0	0	0.5	402	342	406	321	350	385	371.33	321	345.73	321	-1	基础HP：
9	0	1	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	1	0.5	582	342	586	321	530	385	551.33	321	525.73	321	-1	旧基础HP
10	0	1	1	0	CCLabelTTF	0	1	0	85	0	0	0	0	0	0	0	0	0	0	0	0.5	652	342	656	321	600	385	621.33	321	595.73	321	-1	新基础HP
11	0	1	1	0	CCLabelTTF	0	1	6041	49	0	0	0	0	0	0	0	0	0	0	0	0.5	402	307	406	286	350	350	371.33	286	345.73	286	-1	基础MP：
12	0	1	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	1	0.5	582	307	586	286	530	350	551.33	286	525.73	286	-1	旧基础MP
13	0	1	1	0	CCLabelTTF	0	1	0	85	0	0	0	0	0	0	0	0	0	0	0	0.5	652	307	656	286	600	350	621.33	286	595.73	286	-1	新础MP
14	0	1	1	0	CCLabelTTF	0	1	6042	49	0	0	0	0	0	0	0	0	0	0	0	0.5	402	272	406	251	350	315	371.33	251	345.73	251	-1	基础攻击：
15	0	1	1	0	CCLabelTTF	0	1	0	103	0	0	0	0	0	0	0	0	0	0	1	0.5	582	272	586	251	530	315	551.33	251	525.73	251	-1	旧基础攻击
16	0	1	1	0	CCLabelTTF	0	1	0	85	0	0	0	0	0	0	0	0	0	0	0	0.5	652	272	656	251	600	315	621.33	251	595.73	251	-1	新础攻击
17	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/huangsejiantou.png	0	0	0	0	0	0.5	592	377	596	356	540	420	561.33	356	535.73	356	-1	"kARROW1,"
18	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/huangsejiantou.png	0	0	0	0	0	0.5	592	342	596	321	540	385	561.33	321	535.73	321	-1	"kARROW2,"
19	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/huangsejiantou.png	0	0	0	0	0	0.5	592	307	596	286	540	350	561.33	286	535.73	286	-1	"kARROW3,"
20	0	2	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/huangsejiantou.png	0	0	0	0	0	0.5	592	272	596	251	540	315	561.33	251	535.73	251	-1	"kARROW4,"
