INDEX	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	0	1	0	CPriorityLayerColor	-170	1	0	0	0	0	0	0	125	0	0	0	1136	768	0.5	0.5	0	0	0	0	0	0	0	0	0	0	-1	灰层
1	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newzybuzu/ziyuanbuzu_diban.png	0	0	0	0	0.5	0.5	535	404	568	394	512	434	533.33	394	507.73	394	-1	背景
2	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/biaoti_xianjiyuzhaohuan.png	0	0	0	0	0.5	0.5	598	515	631	505	575	545	596.33	505	570.73	505	-1	标题背景
3	0	1	1	0	CCLabelTTF	0	1	784	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	598	515	631	505	575	545	596.33	505	570.73	505	-1	标题
4	0	1	1	0	CMenuItemSprite	-190	1	0	0	0	0	0	0	0	resource/image/newpublic/close.png	resource/image/newpublic/close_l.png	0	0	0	0.5	0.5	813	520	846	510	790	550	811.33	510	785.73	510	-1	关闭按钮
5	0	1	1	0	CCLabelTTFMultiline	0	1	780	49	0	0	0	0	0	0	0	0	250	0	0.5	0.5	623	420	656	410	600	450	621.33	410	595.73	410	-1	上文字
6	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/datouxiangkuang.png	0	0	0	0	0.5	0.5	563	340	596	330	540	370	561.33	330	535.73	330	-1	物品背景
7	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newpublic/c_normal.png	0	0	0	0	0.5	0.5	563	340	596	330	540	370	561.33	330	535.73	330	-1	物品
8	0	1	1	0	CCLabelTTF	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0.5	0.5	563	280	596	270	540	310	561.33	270	535.73	270	-1	物品数量
9	0	5	1	0	CMenuItemSprite	-190	1	0	0	0	0	0	0	0	resource/image/newpublic/dahongseanniu_down.png	resource/image/newpublic/dahongseanniu_up.png	0	0	0	0.5	0.5	523	220	556	210	500	250	521.33	210	495.73	210	-1	去玩别的按钮
10	0	5	1	0	CCLabelTTF	0	1	782	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	523	220	556	210	500	250	521.33	210	495.73	210	-1	去玩别的按钮文字
11	0	1	1	0	CMenuItemSprite	-175	1	0	0	0	0	0	0	0	resource/image/newpublic/button.png	resource/image/newpublic/button_l.png	0	0	0	0.5	0.5	703	220	736	210	680	250	701.33	210	675.73	210	-1	确认按钮
12	0	1	1	0	CCLabelTTF	0	1	285	48	0	0	0	0	0	0	0	0	0	0	0.5	0.5	703	220	736	210	680	250	701.33	210	675.73	210	-1	确认文字
13	0	1	1	0	CPriorityLayerColor	-180	1	0	0	0	0	0	0	0	0	0	0	1136	768	0.5	0.5	23	-30	56	-40	0	0	21.33	-40	-4.27	-40	-1	去玩别的灰层
14	0	1	1	0	CPriorityLayerColor	-185	1	0	0	0	0	0	0	0	0	0	0	305	298	0.5	0.5	333	60	366	50	310	90	331.33	50	305.73	50	-1	转盘灰层
15	0	1	1	0	CCSprite	0	1	0	0	0	0	0	0	0	resource/image/newzybuzu/yuandikuang_tishi.png	0	0	0	0	0.5	0.5	192	165	195	165	190	160	195	165	195	165	-1	转盘背景
16	0	1	1	0	CMenuItemSprite	-190	1	0	0	0	0	0	0	0	resource/image/newzybuzu/yuanguyiji_01.png	resource/image/newzybuzu/yuanguyiji_02.png	resource/image/newzybuzu/yuanguyiji_03.png	0	0	0.5	0.5	187	285	190	285	185	280	190	285	190	285	-1	去玩别的按钮上
17	0	1	1	0	CMenuItemSprite	-190	1	0	0	0	0	0	0	0	resource/image/newzybuzu/kuangdong_01.png	resource/image/newzybuzu/kuangdong_02.png	resource/image/newzybuzu/kuangdong_03.png	0	0	0.5	0.5	187	55	190	55	185	50	190	55	190	55	-1	去玩别的按钮下
18	0	1	1	0	CMenuItemSprite	-190	1	0	0	0	0	0	0	0	resource/image/newzybuzu/jingjichang_01.png	resource/image/newzybuzu/jingjichang_02.png	resource/image/newzybuzu/jingjichang_03.png	0	0	0.5	0.5	52	170	55	170	50	165	55	170	55	170	-1	去玩别的按钮左
19	0	1	1	0	CMenuItemSprite	-190	1	0	0	0	0	0	0	0	resource/image/newzybuzu/shilianzhita_01.png	resource/image/newzybuzu/shilianzhita_02.png	resource/image/newzybuzu/shilianzhita_03.png	0	0	0.5	0.5	332	170	335	170	330	165	335	170	335	170	-1	去玩别的按钮右
